"Название товара","Ссылка на продавца","Ссылка на чат"
"Clases de Frances en Melilla ","https://es.wallapop.com/item/clases-de-frances-en-melilla-870637346","https://es.wallapop.com/app/chat?itemId=8z84pw4g4163"
"Samsung Galaxy s 23","https://es.wallapop.com/item/samsung-galaxy-s-23-870637333","https://es.wallapop.com/app/chat?itemId=xzorw3rvvwz9"
"Televisión Samsung de 32 pulgadas ","https://es.wallapop.com/item/television-samsung-de-32-pulgadas-870637219","https://es.wallapop.com/app/chat?itemId=vjrrmordnwjk"
"vajilla camping","https://es.wallapop.com/item/vajilla-camping-870637208","https://es.wallapop.com/app/chat?itemId=qzmy0oy4qozv"
"congelador THC 9/220SL FRIGOCON,S.A.","https://es.wallapop.com/item/congelador-thc-9-220sl-frigocon-s-a-870637217","https://es.wallapop.com/app/chat?itemId=wzvnd0nyw7jl"
"catalizador seat leon 1.6 mk1 105 cv","https://es.wallapop.com/item/catalizador-seat-leon-1-6-mk1-105-cv-870637475","https://es.wallapop.com/app/chat?itemId=nz001w0vydzo"
"Carro de bebe, chico","https://es.wallapop.com/item/carro-de-bebe-chico-870638213","https://es.wallapop.com/app/chat?itemId=pj950x55pmze"
"carricoche bebé ","https://es.wallapop.com/item/carricoche-bebe-870638015","https://es.wallapop.com/app/chat?itemId=36exmpxx8qzd"
"Renault Clio 2008","https://es.wallapop.com/item/renault-clio-2008-870638014","https://es.wallapop.com/app/chat?itemId=4z412n110wzy"
"Chaqueta de cuero","https://es.wallapop.com/item/chaqueta-de-cuero-870637975","https://es.wallapop.com/app/chat?itemId=nz001w008rzo"
"vendo","https://es.wallapop.com/item/vendo-870637541","https://es.wallapop.com/app/chat?itemId=wzvnd0nlv4jl"
"Swatch X Omega Mercury ","https://es.wallapop.com/item/swatch-x-omega-mercury-870637509","https://es.wallapop.com/app/chat?itemId=xzorw3rvd5z9"
"Sandalias CHIKA10 piel 39","https://es.wallapop.com/item/sandalias-chika10-piel-39-870637697","https://es.wallapop.com/app/chat?itemId=mzn87o8vdkzn"
"bateria","https://es.wallapop.com/item/bateria-870637676","https://es.wallapop.com/app/chat?itemId=w67yn7ygow6x"
"busco trabajo de limpieza por horas ","https://es.wallapop.com/item/busco-trabajo-de-limpieza-por-horas-870637250","https://es.wallapop.com/app/chat?itemId=pzprxgr18963"
"Dos teléfonos samsung j5 ' samsung j3","https://es.wallapop.com/item/dos-telefonos-samsung-j5-samsung-j3-870637578","https://es.wallapop.com/app/chat?itemId=nzx0gw0yg7z2"
"Deportivos Puma","https://es.wallapop.com/item/deportivos-puma-870637545","https://es.wallapop.com/app/chat?itemId=3zl1pk19xnjx"
"Sofá y butacas","https://es.wallapop.com/item/sofa-y-butacas-870637141","https://es.wallapop.com/app/chat?itemId=wzvnd0nyodjl"
"Alfombra AnimalPrint","https://es.wallapop.com/item/alfombra-animalprint-870637134","https://es.wallapop.com/app/chat?itemId=8j3ek5eyq8z9"
"Amaca de bebe","https://es.wallapop.com/item/amaca-de-bebe-870637128","https://es.wallapop.com/app/chat?itemId=w67yn7yd086x"
"6 Proyectores diapositivas para recambios o repara","https://es.wallapop.com/item/6-proyectores-diapositivas-para-recambios-o-repara-870637738","https://es.wallapop.com/app/chat?itemId=4z412n1gprzy"
"Bicicleta Rockrider St 520","https://es.wallapop.com/item/bicicleta-rockrider-st-520-870637726","https://es.wallapop.com/app/chat?itemId=pzprxgr10l63"
"zapatillas niña","https://es.wallapop.com/item/zapatillas-nina-870637871","https://es.wallapop.com/app/chat?itemId=ejkknekkx1jx"
