"Название товара","Ссылка на продавца","Ссылка на чат"
"jaula de pájaros ","https://es.wallapop.com/item/jaula-de-pajaros-870969380","https://es.wallapop.com/app/chat?itemId=qzmy0py3wlzv"
"vendo","https://es.wallapop.com/item/vendo-870969374","https://es.wallapop.com/app/chat?itemId=pzprxwr1mm63"
"Silla ligera","https://es.wallapop.com/item/silla-ligera-870969361","https://es.wallapop.com/app/chat?itemId=pj950v5glkze"
"Escritorio y silla ","https://es.wallapop.com/item/escritorio-y-silla-870970320","https://es.wallapop.com/app/chat?itemId=wzy5gq54rej5"
"Moneda Suiza ","https://es.wallapop.com/item/moneda-suiza-870970313","https://es.wallapop.com/app/chat?itemId=pj950v5mm2ze"
"gran turismo 7 totalmente nuevo para ps5","https://es.wallapop.com/item/gran-turismo-7-totalmente-nuevo-para-ps5-870970304","https://es.wallapop.com/app/chat?itemId=w67ynky4476x"
"Batidora de Mano 500W + Vaso","https://es.wallapop.com/item/batidora-de-mano-500w---vaso-870969989","https://es.wallapop.com/app/chat?itemId=wzvndqnne4jl"
"SE VENDE LOTE DE MUEBLES","https://es.wallapop.com/item/se-vende-lote-de-muebles-870968201","https://es.wallapop.com/app/chat?itemId=mzn8708g7kzn"
" tacones n°39","https://es.wallapop.com/item/tacones-n39-870968202","https://es.wallapop.com/app/chat?itemId=pzprxwryx463"
"Reportaje de comunión","https://es.wallapop.com/item/reportaje-de-comunion-870969262","https://es.wallapop.com/app/chat?itemId=4z412q1gqwzy"
"bicicleta ","https://es.wallapop.com/item/bicicleta-870969880","https://es.wallapop.com/app/chat?itemId=qzmy0pyynxzv"
"Redmi buds 3 pro","https://es.wallapop.com/item/redmi-buds-3-pro-870968040","https://es.wallapop.com/app/chat?itemId=v6g23e20omze"
"Elevador de columna completo Preme (ELEV300+ELEV30","https://es.wallapop.com/item/elevador-de-columna-completo-preme-elev300-elev30-870968027","https://es.wallapop.com/app/chat?itemId=nz001y0g8dzo"
"Compra de cobre ","https://es.wallapop.com/item/compra-de-cobre-870967880","https://es.wallapop.com/app/chat?itemId=qzmy0py9gozv"
"vestido ","https://es.wallapop.com/item/vestido-870967884","https://es.wallapop.com/app/chat?itemId=9jd21e2xd46k"
"Local/Oficina en alquiler","https://es.wallapop.com/item/local-oficina-en-alquiler-870970196","https://es.wallapop.com/app/chat?itemId=e65gd9g8m0jo"
"jacuzzi hinchable 6 personas ","https://es.wallapop.com/item/jacuzzi-hinchable-6-personas-870970193","https://es.wallapop.com/app/chat?itemId=3zl1pn18e2jx"
"La caricia de la oscuridad","https://es.wallapop.com/item/la-caricia-de-la-oscuridad-870970159","https://es.wallapop.com/app/chat?itemId=0j23oq33mn6y"
"Wii con mando i Disco","https://es.wallapop.com/item/wii-con-mando-i-disco-870970151","https://es.wallapop.com/app/chat?itemId=nz001y00n7zo"
"Robot de cocina Taurus Mycook Next","https://es.wallapop.com/item/robot-de-cocina-taurus-mycook-next-870969028","https://es.wallapop.com/app/chat?itemId=w67ynkyg8y6x"
"álbum de itzy Guess who","https://es.wallapop.com/item/album-de-itzy-guess-who-870969013","https://es.wallapop.com/app/chat?itemId=pj950v5y80ze"
"Sudadera Blue Banana x Disney","https://es.wallapop.com/item/sudadera-blue-banana-x-disney-870969008","https://es.wallapop.com/app/chat?itemId=qzmy0py42ozv"
"Cama matrimonio","https://es.wallapop.com/item/cama-matrimonio-870968562","https://es.wallapop.com/app/chat?itemId=4z412q1v1mzy"
"Renault Clio 2005","https://es.wallapop.com/item/renault-clio-2005-870968564","https://es.wallapop.com/app/chat?itemId=v6g23e242lze"
"Maquina de coser","https://es.wallapop.com/item/maquina-de-coser-870969609","https://es.wallapop.com/app/chat?itemId=xzorw7rrk7z9"
"puertas ","https://es.wallapop.com/item/puertas-870969574","https://es.wallapop.com/app/chat?itemId=pzprxwr1ll63"
