"Название товара","Ссылка на продавца","Ссылка на чат"
"Bolsos","https://es.wallapop.com/item/bolsos-872747811","https://es.wallapop.com/app/chat?itemId=0j23olkv3r6y"
"Real Madrid Shirt","https://es.wallapop.com/item/real-madrid-shirt-872747735","https://es.wallapop.com/app/chat?itemId=0j23olkv9m6y"
"Sudadera Miercoles ","https://es.wallapop.com/item/sudadera-miercoles-872747451","https://es.wallapop.com/app/chat?itemId=nz001lxk1vzo"
"Sudadera off white","https://es.wallapop.com/item/sudadera-off-white-872747401","https://es.wallapop.com/app/chat?itemId=mzn87xmdpgzn"
"Sudadera calavera R.E.D.","https://es.wallapop.com/item/sudadera-calavera-r-e-d-872747920","https://es.wallapop.com/app/chat?itemId=wzy5g0vkxpj5"
"vestido fuccia ","https://es.wallapop.com/item/vestido-fuccia-872747856","https://es.wallapop.com/app/chat?itemId=qzmy0w15mgzv"
"Converse All Star Lift High Platform Negro","https://es.wallapop.com/item/converse-all-star-lift-high-platform-negro-872747328","https://es.wallapop.com/app/chat?itemId=w67ynl92786x"
"chaqueton Adidas ","https://es.wallapop.com/item/chaqueton-adidas-872747201","https://es.wallapop.com/app/chat?itemId=mzn87xmdlkzn"
"Gorro Luis vuitton ","https://es.wallapop.com/item/gorro-luis-vuitton-872748449","https://es.wallapop.com/app/chat?itemId=mzn87xm53kzn"
"Camiseta real Madrid vintage","https://es.wallapop.com/item/camiseta-real-madrid-vintage-872748418","https://es.wallapop.com/app/chat?itemId=x6qd1o20mnjy"
"se vende zapatillas nuevas ","https://es.wallapop.com/item/se-vende-zapatillas-nuevas-872748390","https://es.wallapop.com/app/chat?itemId=x6qd1o20dqjy"
"zapatos sin estrenar numero41","https://es.wallapop.com/item/zapatos-sin-estrenar-numero41-872748336","https://es.wallapop.com/app/chat?itemId=9jd21r4l7d6k"
"vestido corto con dibujo de cuerdas","https://es.wallapop.com/item/vestido-corto-con-dibujo-de-cuerdas-872748297","https://es.wallapop.com/app/chat?itemId=mzn87xm540zn"
"Zapatillas nike air force 1 crater ","https://es.wallapop.com/item/zapatillas-nike-air-force-1-crater-872748250","https://es.wallapop.com/app/chat?itemId=pzprxm30l563"
