"Название товара","Ссылка на продавца","Ссылка на чат"
"PS5","https://es.wallapop.com/item/ps5-869625591","https://es.wallapop.com/app/chat?itemId=vjrrmqdn88jk"
"Monitor PC 17""","https://es.wallapop.com/item/monitor-pc-17-869623435","https://es.wallapop.com/app/chat?itemId=0j23o4yxpv6y"
"MONITOR ASUS 24 PULGADAS","https://es.wallapop.com/item/monitor-asus-24-pulgadas-869622892","https://es.wallapop.com/app/chat?itemId=wzy5g4n1d5j5"
"Portátil HP","https://es.wallapop.com/item/portatil-hp-869628496","https://es.wallapop.com/app/chat?itemId=e65gd833kkjo"
"iMac 27"" MID 2011 Monterrey","https://es.wallapop.com/item/imac-27-mid-2011-monterrey-869626823","https://es.wallapop.com/app/chat?itemId=ejkkn892o1jx"
"Portátil HP Pavilion 13''","https://es.wallapop.com/item/portatil-hp-pavilion-13-869643867","https://es.wallapop.com/app/chat?itemId=vjrrmqre19jk"
"Pack de tóners nuevos","https://es.wallapop.com/item/pack-de-toners-nuevos-869642955","https://es.wallapop.com/app/chat?itemId=p61ym4yyg765"
"Lenovo Y570","https://es.wallapop.com/item/lenovo-y570-869642728","https://es.wallapop.com/app/chat?itemId=w67yn4yyk56x"
"DE10-Lite","https://es.wallapop.com/item/de10-lite-869641786","https://es.wallapop.com/app/chat?itemId=4z412e1vmrzy"
"Impresora OKI C5100","https://es.wallapop.com/item/impresora-oki-c5100-869634411","https://es.wallapop.com/app/chat?itemId=0j23o4romr6y"
"Pg gamer poco uso","https://es.wallapop.com/item/pg-gamer-poco-uso-869633112","https://es.wallapop.com/app/chat?itemId=9jd21k5v0d6k"
"Vendo Gtx 1060 como nueva ","https://es.wallapop.com/item/vendo-gtx-1060-como-nueva-869632977","https://es.wallapop.com/app/chat?itemId=qjwpg4d99qzo"
"Amazon Alexa con monitor ","https://es.wallapop.com/item/amazon-alexa-con-monitor-869631481","https://es.wallapop.com/app/chat?itemId=xzorw2v35lz9"
"impresora Dcp 8065 DN","https://es.wallapop.com/item/impresora-dcp-8065-dn-869638154","https://es.wallapop.com/app/chat?itemId=nzx0g4yk95z2"
"ordenador portátil ","https://es.wallapop.com/item/ordenador-portatil-869636247","https://es.wallapop.com/app/chat?itemId=ejkkn8939qjx"
"vendo portátil con extras ","https://es.wallapop.com/item/vendo-portatil-con-extras-869635892","https://es.wallapop.com/app/chat?itemId=wzy5g47pv2j5"
"Tablet Lenovo M10 FHD PLUS","https://es.wallapop.com/item/tablet-lenovo-m10-fhd-plus-869635469","https://es.wallapop.com/app/chat?itemId=3zl1p89ry8jx"
"Wath","https://es.wallapop.com/item/wath-869648009","https://es.wallapop.com/app/chat?itemId=xzorw2rww4z9"
"Reloj garmin","https://es.wallapop.com/item/reloj-garmin-869647941","https://es.wallapop.com/app/chat?itemId=wzvnd4ndk1jl"
"MacBook Pro retina, 13 Pulgadas","https://es.wallapop.com/item/macbook-pro-retina-13-pulgadas-869645666","https://es.wallapop.com/app/chat?itemId=x6qd1mdx2yjy"
