"Название товара","Ссылка на продавца","Ссылка на чат"
"Masajeador de ojos","https://es.wallapop.com/item/masajeador-de-ojos-871213898","https://es.wallapop.com/app/chat?itemId=pzprxwnp1963"
"vendo cama nido.","https://es.wallapop.com/item/vendo-cama-nido-871213894","https://es.wallapop.com/app/chat?itemId=8z84p2mx1o63"
"Libros de caza de colección","https://es.wallapop.com/item/libros-de-caza-de-coleccion-871213887","https://es.wallapop.com/app/chat?itemId=36exme2lwkzd"
"cilindro venta en mano","https://es.wallapop.com/item/cilindro-venta-en-mano-871213862","https://es.wallapop.com/app/chat?itemId=4z412q7pylzy"
"Frigorífico","https://es.wallapop.com/item/frigorifico-871211873","https://es.wallapop.com/app/chat?itemId=mzn870y1xkzn"
"olla GM ","https://es.wallapop.com/item/olla-gm-871214769","https://es.wallapop.com/app/chat?itemId=3zl1pnqqrnjx"
"colección de muñecas ","https://es.wallapop.com/item/coleccion-de-munecas-871214035","https://es.wallapop.com/app/chat?itemId=0j23oqp51v6y"
"Epson stylus SX600 impresora fax multifunción ","https://es.wallapop.com/item/epson-stylus-sx600-impresora-fax-multifuncion-871214707","https://es.wallapop.com/app/chat?itemId=p61ymqnn1g65"
"Se vende visor bollo stirling 2,5-10x50","https://es.wallapop.com/item/se-vende-visor-bollo-stirling-2-5-10x50-871214690","https://es.wallapop.com/app/chat?itemId=x6qd1xpp2yjy"
"iPhone x igual a nuevo","https://es.wallapop.com/item/iphone-x-igual-a-nuevo-871214663","https://es.wallapop.com/app/chat?itemId=36exme22oqzd"
"Mesa escritorio Adapta blanco ","https://es.wallapop.com/item/mesa-escritorio-adapta-blanco-871214608","https://es.wallapop.com/app/chat?itemId=qzmy0prroxzv"
"computer","https://es.wallapop.com/item/computer-871213612","https://es.wallapop.com/app/chat?itemId=9jd21e3yq26k"
"PORTÁTIL MÉDIUM AKOYA","https://es.wallapop.com/item/portatil-medium-akoya-871213591","https://es.wallapop.com/app/chat?itemId=vjrrm10w34jk"
"FITFIU Bicicleta estatica","https://es.wallapop.com/item/fitfiu-bicicleta-estatica-871212508","https://es.wallapop.com/app/chat?itemId=qzmy0prddyzv"
"Kat Von D Aniversario","https://es.wallapop.com/item/kat-von-d-aniversario-871212485","https://es.wallapop.com/app/chat?itemId=pj950vo2pmze"
"Pantalones Armure Rupter Blue ","https://es.wallapop.com/item/pantalones-armure-rupter-blue-871212463","https://es.wallapop.com/app/chat?itemId=36exme27k8zd"
"cama alta(trato directo)","https://es.wallapop.com/item/cama-alta-trato-directo-871212440","https://es.wallapop.com/app/chat?itemId=v6g23e9xr7ze"
"META QUEST 2 (256 GB) CON 9 SUS ACCESORIOS ","https://es.wallapop.com/item/meta-quest-2-256-gb-con-9-sus-accesorios-871212399","https://es.wallapop.com/app/chat?itemId=nz001y5px3zo"
"Espejo","https://es.wallapop.com/item/espejo-871213022","https://es.wallapop.com/app/chat?itemId=8z84p2mdll63"
"Carrito bebé","https://es.wallapop.com/item/carrito-bebe-871214334","https://es.wallapop.com/app/chat?itemId=8j3ekr0n08z9"
"Barboir","https://es.wallapop.com/item/barboir-871214317","https://es.wallapop.com/app/chat?itemId=wzvndq1mmdjl"
"Frigorífico Combi KUBO KBC8480 WH","https://es.wallapop.com/item/frigorifico-combi-kubo-kbc8480-wh-871212354","https://es.wallapop.com/app/chat?itemId=nzx0gqoxm7z2"
"altavoz/karaoke","https://es.wallapop.com/item/altavoz-karaoke-871212349","https://es.wallapop.com/app/chat?itemId=mzn870yke7zn"
"Bicicleta de spinning y elíptica ","https://es.wallapop.com/item/bicicleta-de-spinning-y-eliptica-871212314","https://es.wallapop.com/app/chat?itemId=4z412q7xqvzy"
"Kawasaki Z400 2020","https://es.wallapop.com/item/kawasaki-z400-2020-871212702","https://es.wallapop.com/app/chat?itemId=pzprxwn4yk63"
"Temario Prefortia Ingreso Guardia Civil (2023)","https://es.wallapop.com/item/temario-prefortia-ingreso-guardia-civil-2023-871213220","https://es.wallapop.com/app/chat?itemId=wzy5gq3wm2j5"
"Ford Focus 2004","https://es.wallapop.com/item/ford-focus-2004-871213003","https://es.wallapop.com/app/chat?itemId=nz001y5k1ezo"
"cuna de viaje para bebe asalvo","https://es.wallapop.com/item/cuna-de-viaje-para-bebe-asalvo-871212905","https://es.wallapop.com/app/chat?itemId=qjwpgqk0qwzo"
"Toyota Yaris 2006","https://es.wallapop.com/item/toyota-yaris-2006-871212891","https://es.wallapop.com/app/chat?itemId=vjrrm10g19jk"
"Bapex Rolex Coca Cola","https://es.wallapop.com/item/bapex-rolex-coca-cola-871213348","https://es.wallapop.com/app/chat?itemId=e65gd9wnggjo"
"Caja registradora Casio TE-100","https://es.wallapop.com/item/caja-registradora-casio-te-100-871213341","https://es.wallapop.com/app/chat?itemId=wzvndq1ol1jl"
"reloj guess","https://es.wallapop.com/item/reloj-guess-871213278","https://es.wallapop.com/app/chat?itemId=nzx0gqo2lez2"
"Samsung Tab S6 LITE","https://es.wallapop.com/item/samsung-tab-s6-lite-871213274","https://es.wallapop.com/app/chat?itemId=pzprxwn0y963"
"Coqueta dormitorio más espejo, mas dos mesitas,","https://es.wallapop.com/item/coqueta-dormitorio-mas-espejo-mas-dos-mesitas-871214564","https://es.wallapop.com/app/chat?itemId=v6g23e99plze"
"Rtx 4090 oferta","https://es.wallapop.com/item/rtx-4090-oferta-871214557","https://es.wallapop.com/app/chat?itemId=xzorw755gwz9"
"YAMAHA NMAX ","https://es.wallapop.com/item/yamaha-nmax-871214465","https://es.wallapop.com/app/chat?itemId=wzvndq11y7jl"
"Tabla Montessori ","https://es.wallapop.com/item/tabla-montessori-871214129","https://es.wallapop.com/app/chat?itemId=qjwpgqkovwzo"
"Nike air Jordan Retro 4 ","https://es.wallapop.com/item/nike-air-jordan-retro-4-871213796","https://es.wallapop.com/app/chat?itemId=e65gd9wnx0jo"
"Silla de escritorio","https://es.wallapop.com/item/silla-de-escritorio-871213759","https://es.wallapop.com/app/chat?itemId=0j23oqpvpn6y"
"chaqueta de moto mujer","https://es.wallapop.com/item/chaqueta-de-moto-mujer-871213725","https://es.wallapop.com/app/chat?itemId=mzn870ynnyzn"
"peluca balayage con mechas lace front pelo natural","https://es.wallapop.com/item/peluca-balayage-con-mechas-lace-front-pelo-natural-871213534","https://es.wallapop.com/app/chat?itemId=8j3ekr0qg7z9"
