"Название товара","Ссылка на продавца","Ссылка на чат"
"Nike ","https://es.wallapop.com/item/nike-872841098","https://es.wallapop.com/app/chat?itemId=pzprxm0x1963"
"6sillas y la mesa","https://es.wallapop.com/item/6sillas-y-la-mesa-872842196","https://es.wallapop.com/app/chat?itemId=e65gdln5m0jo"
"Maqueta Estadio Camp Nou","https://es.wallapop.com/item/maqueta-estadio-camp-nou-872841234","https://es.wallapop.com/app/chat?itemId=8j3eklqk51z9"
"turbo","https://es.wallapop.com/item/turbo-872841219","https://es.wallapop.com/app/chat?itemId=vjrrm3wmo9jk"
"Mueble mostrador con cajones con separadores","https://es.wallapop.com/item/mueble-mostrador-con-cajones-con-separadores-872840918","https://es.wallapop.com/app/chat?itemId=x6qd1o727ojy"
"mesa de mezclas ","https://es.wallapop.com/item/mesa-de-mezclas-872841060","https://es.wallapop.com/app/chat?itemId=9jd21ry1x46k"
"Cascos Rosa palo marca Sony","https://es.wallapop.com/item/cascos-rosa-palo-marca-sony-872841048","https://es.wallapop.com/app/chat?itemId=e65gdlndvmjo"
"1050 ti de 4GB","https://es.wallapop.com/item/1050-ti-de-4gb-872840987","https://es.wallapop.com/app/chat?itemId=36exmryg3vzd"
"Taburete de plástico","https://es.wallapop.com/item/taburete-de-plastico-872840966","https://es.wallapop.com/app/chat?itemId=x6qd1o72pojy"
"Lampara ","https://es.wallapop.com/item/lampara-872841428","https://es.wallapop.com/app/chat?itemId=w67ynl0n5w6x"
"funkopop alberto scorfano","https://es.wallapop.com/item/funkopop-alberto-scorfano-872841359","https://es.wallapop.com/app/chat?itemId=0j23olvoom6y"
"iPhone Se 2020","https://es.wallapop.com/item/iphone-se-2020-872841343","https://es.wallapop.com/app/chat?itemId=vjrrm3wmm4jk"
"plancha de vapor vertical","https://es.wallapop.com/item/plancha-de-vapor-vertical-872841559","https://es.wallapop.com/app/chat?itemId=0j23olvo0n6y"
"PS4","https://es.wallapop.com/item/ps4-872841497","https://es.wallapop.com/app/chat?itemId=mzn87xn7nkzn"
"Ratón HK Gaming ultraligero para videojuegos RGB","https://es.wallapop.com/item/raton-hk-gaming-ultraligero-para-videojuegos-rgb-872841023","https://es.wallapop.com/app/chat?itemId=ejkkn0yw11jx"
"Se vende patin ","https://es.wallapop.com/item/se-vende-patin-872841008","https://es.wallapop.com/app/chat?itemId=qzmy0w512ozv"
"antigüedad ","https://es.wallapop.com/item/antiguedad-872842055","https://es.wallapop.com/app/chat?itemId=p61ymlglwx65"
"Juego mesa","https://es.wallapop.com/item/juego-mesa-872841948","https://es.wallapop.com/app/chat?itemId=e65gdlnll2jo"
"banco de madera ikea","https://es.wallapop.com/item/banco-de-madera-ikea-872842150","https://es.wallapop.com/app/chat?itemId=pzprxm0mll63"
"cama y mesita de noche ","https://es.wallapop.com/item/cama-y-mesita-de-noche-872842149","https://es.wallapop.com/app/chat?itemId=mzn87xnxryzn"
"silla de ruedas ","https://es.wallapop.com/item/silla-de-ruedas-872840728","https://es.wallapop.com/app/chat?itemId=w67ynl09e56x"
"SALON MARROQUÍ","https://es.wallapop.com/item/salon-marroqui-872840719","https://es.wallapop.com/app/chat?itemId=vjrrm3wvx4jk"
"Altavoz para iPod con radio FM y alarma","https://es.wallapop.com/item/altavoz-para-ipod-con-radio-fm-y-alarma-872841300","https://es.wallapop.com/app/chat?itemId=e65gdlnde2jo"
