"Название товара","Ссылка на продавца","Ссылка на чат"
"canapés ","https://es.wallapop.com/item/canapes-869948369","https://es.wallapop.com/app/chat?itemId=3zl1pmg0e2jx"
"cama nido +/- colchones","https://es.wallapop.com/item/cama-nido---colchones-869948201","https://es.wallapop.com/app/chat?itemId=mzn873l3kkzn"
"Cocina nueva a estrenar","https://es.wallapop.com/item/cocina-nueva-a-estrenas-869949589","https://es.wallapop.com/app/chat?itemId=wzvndgyqldjl"
"cama mesita y comodin ","https://es.wallapop.com/item/cama-mesita-y-comodin-869951905","https://es.wallapop.com/app/chat?itemId=qjwpgrygpezo"
"Habitación matrimonial ","https://es.wallapop.com/item/habitacion-matrimonial-869951577","https://es.wallapop.com/app/chat?itemId=qjwpgryvnqzo"
"Cuatro sillas teka ","https://es.wallapop.com/item/cuatro-sillas-teka-869951168","https://es.wallapop.com/app/chat?itemId=wzy5grn93xj5"
"Colchón y cama 140x200cm  tapizada, Knisa gris","https://es.wallapop.com/item/colchon-y-cama-140x200cm-tapizada-knisa-gris-869953497","https://es.wallapop.com/app/chat?itemId=mzn873lqr0zn"
"Sofá cama","https://es.wallapop.com/item/sofa-cama-869952380","https://es.wallapop.com/app/chat?itemId=qzmy0m402lzv"
"jarrón florero","https://es.wallapop.com/item/jarron-florero-869947208","https://es.wallapop.com/app/chat?itemId=qzmy0m4egozv"
"Cama horizontal abatible","https://es.wallapop.com/item/cama-horizontal-abatible-869946945","https://es.wallapop.com/app/chat?itemId=3zl1pmg1pnjx"
