"Название товара","Ссылка на продавца","Ссылка на чат"
"Sudadera Adidas ","https://es.wallapop.com/item/sudadera-adidas-869287404","https://es.wallapop.com/app/chat?itemId=w67ynyde996x"
"Smart watch ","https://es.wallapop.com/item/smart-watch-869287400","https://es.wallapop.com/app/chat?itemId=e65gdgye2pjo"
"Gorra new era","https://es.wallapop.com/item/gorra-new-era-869286955","https://es.wallapop.com/app/chat?itemId=p61ymyoe0g65"
"Funda IPhone Nike x Off-White Morada ","https://es.wallapop.com/item/funda-iphone-nike-x-off-white-morada-869286951","https://es.wallapop.com/app/chat?itemId=nz0010m2p3zo"
"Betwin 320 racing boy","https://es.wallapop.com/item/betwin-320-racing-boy-869287598","https://es.wallapop.com/app/chat?itemId=pzprxr97pm63"
"KÄRCHER WV1 PLUS","https://es.wallapop.com/item/karcher-wv1-plus-869287562","https://es.wallapop.com/app/chat?itemId=4z4121vk5vzy"
"sudadera Philipp plein con estampado","https://es.wallapop.com/item/sudadera-philipp-plein-con-estampado-869286637","https://es.wallapop.com/app/chat?itemId=pj9505yr50ze"
"Escritorio blanco de IKEA","https://es.wallapop.com/item/escritorio-blanco-de-ikea-869286519","https://es.wallapop.com/app/chat?itemId=vjrrmrd1l8jk"
"pit bike kayo imr krz 150cc","https://es.wallapop.com/item/pit-bike-kayo-imr-krz-150cc-869286514","https://es.wallapop.com/app/chat?itemId=4z4121vqdrzy"
"canapé y colchón","https://es.wallapop.com/item/canape-y-colchon-869286995","https://es.wallapop.com/app/chat?itemId=ejkknk4dyrjx"
"Vestido mini floral de Zara ","https://es.wallapop.com/item/vestido-mini-floral-de-zara-869286982","https://es.wallapop.com/app/chat?itemId=8j3ekey217z9"
"consola ","https://es.wallapop.com/item/consola-869286977","https://es.wallapop.com/app/chat?itemId=qjwpgpy10wzo"
"mesa extensible","https://es.wallapop.com/item/mesa-extensible-869287267","https://es.wallapop.com/app/chat?itemId=vjrrmrdxewjk"
"taburetes de sofas y cubiertas de cama","https://es.wallapop.com/item/taburetes-de-sofas-y-cubiertas-de-cama-869286912","https://es.wallapop.com/app/chat?itemId=9jd2127m9d6k"
"scooter eléctrico","https://es.wallapop.com/item/scooter-electrico-869286901","https://es.wallapop.com/app/chat?itemId=mzn878leq7zn"
"Fundas cojin negro terciopelo ","https://es.wallapop.com/item/fundas-cojin-negro-terciopelo-869286888","https://es.wallapop.com/app/chat?itemId=v6g2324kqmze"
"Tacones negros ","https://es.wallapop.com/item/tacones-negros-869288788","https://es.wallapop.com/app/chat?itemId=v6g23243d2ze"
"Anillo de dolar","https://es.wallapop.com/item/anillo-de-dolar-869287175","https://es.wallapop.com/app/chat?itemId=nz0010mdm7zo"
"dos trajes de fallero niño y niña","https://es.wallapop.com/item/dos-trajes-de-fallero-nino-y-nina-869287463","https://es.wallapop.com/app/chat?itemId=36exmxwvrqzd"
"Nike Dunk Low Panda ""Next Nature""","https://es.wallapop.com/item/nike-dunk-low-panda-next-nature-869288803","https://es.wallapop.com/app/chat?itemId=nz0010m1nezo"
"Polo FC Barcelona (Sin estrenar)","https://es.wallapop.com/item/polo-fc-barcelona-sin-estrenar-869288796","https://es.wallapop.com/app/chat?itemId=e65gdgydx2jo"
"Cable coaxial rg214 (DOBLE MALLA) ","https://es.wallapop.com/item/cable-coaxial-rg214-doble-malla-869287231","https://es.wallapop.com/app/chat?itemId=p61ymyod4565"
"Samsung note 10 lite","https://es.wallapop.com/item/samsung-note-10-lite-869286586","https://es.wallapop.com/app/chat?itemId=4z4121vrvrzy"
"CAMA INFANTIL POLICÍA ","https://es.wallapop.com/item/cama-infantil-policia-869286582","https://es.wallapop.com/app/chat?itemId=8j3ekey2y8z9"
"TRAJE DE PRIMERA COMUNIÓN ","https://es.wallapop.com/item/traje-de-primera-comunion-869287157","https://es.wallapop.com/app/chat?itemId=xzorwr8082z9"
