"Название товара","Ссылка на продавца","Ссылка на чат"
"Neopreno mujer 5/4/3 mm Sooruz talla S","https://es.wallapop.com/item/neopreno-mujer-5-4-3-mm-sooruz-talla-s-868916626","https://es.wallapop.com/app/chat?itemId=pzprx9vq0563"
"Congelador de columna 147Litros","https://es.wallapop.com/item/congelador-de-columna-147litros-868917016","https://es.wallapop.com/app/chat?itemId=v6g23485v5ze"
"Calculadora Casio fx- 85SP X II Iberia","https://es.wallapop.com/item/calculadora-casio-fx-85sp-x-ii-iberia-868916940","https://es.wallapop.com/app/chat?itemId=v6g234857nze"
"Busco empleo","https://es.wallapop.com/item/busco-empleo-868916982","https://es.wallapop.com/app/chat?itemId=8j3eky3d28z9"
"IPhone 12 Pro Max 256g ","https://es.wallapop.com/item/iphone-12-pro-max-256g-868917205","https://es.wallapop.com/app/chat?itemId=qjwpgym53gzo"
"Foto hotel USSA SALOU 1929","https://es.wallapop.com/item/foto-hotel-ussa-salou-1929-868917181","https://es.wallapop.com/app/chat?itemId=xzorw8em9wz9"
"Bicicleta Diverge Talla 58 Carbono","https://es.wallapop.com/item/bicicleta-diverge-talla-58-carbono-868916722","https://es.wallapop.com/app/chat?itemId=8z84p1y0yr63"
"Mini Bmx","https://es.wallapop.com/item/mini-bmx-868916511","https://es.wallapop.com/app/chat?itemId=0j23oymdld6y"
"Busco trabajo ","https://es.wallapop.com/item/busco-trabajo-868916468","https://es.wallapop.com/app/chat?itemId=wzy5gnd8v2j5"
"TALES OF ARISE XBOX series X","https://es.wallapop.com/item/tales-of-arise-xbox-series-x-868916464","https://es.wallapop.com/app/chat?itemId=v6g2348qn5ze"
"PASAPALABRA","https://es.wallapop.com/item/pasapalabra-868916595","https://es.wallapop.com/app/chat?itemId=ejkkn41qo9jx"
"Asientos de Peugeot 2008 ","https://es.wallapop.com/item/asientos-de-peugeot-2008-868916580","https://es.wallapop.com/app/chat?itemId=qzmy0428d1zv"
"palanganero de borja","https://es.wallapop.com/item/palanganero-de-borja-868917255","https://es.wallapop.com/app/chat?itemId=p61ymox3n265"
"conjunto meuble de bano, lavabo y espejo","https://es.wallapop.com/item/conjunto-meuble-de-bano-lavabo-y-espejo-868917237","https://es.wallapop.com/app/chat?itemId=pj950y8p1oze"
"Capazo Bugaboo Bee6","https://es.wallapop.com/item/capazo-bugaboo-bee6-868917069","https://es.wallapop.com/app/chat?itemId=3zl1pgowpqjx"
