"Название товара","Ссылка на продавца","Ссылка на чат"
"sillas ","https://es.wallapop.com/item/sillas-869758275","https://es.wallapop.com/app/chat?itemId=nz0014x19vzo"
"Llibres ACTIC Mitjà","https://es.wallapop.com/item/llibres-actic-mitja-869758267","https://es.wallapop.com/app/chat?itemId=vjrrmqvvlwjk"
"zapatillas de deporte Mimao","https://es.wallapop.com/item/zapatillas-de-deporte-mimao-869758259","https://es.wallapop.com/app/chat?itemId=0j23o4kkme6y"
"Folie d'ours","https://es.wallapop.com/item/folie-d-ours-869758317","https://es.wallapop.com/app/chat?itemId=wzvnd4vdr1jl"
"Bandeja maletero","https://es.wallapop.com/item/bandeja-maletero-869758907","https://es.wallapop.com/app/chat?itemId=p61ym41lod65"
"Televisión LG ","https://es.wallapop.com/item/television-lg-869758871","https://es.wallapop.com/app/chat?itemId=ejkkn8w021jx"
"vendo LGK40S ","https://es.wallapop.com/item/vendo-lgk40s-869757918","https://es.wallapop.com/app/chat?itemId=x6qd1m22xqjy"
"Barra para cortina ","https://es.wallapop.com/item/barra-para-cortina-869758483","https://es.wallapop.com/app/chat?itemId=0j23o4ko1v6y"
"JUEGO DOS MESILLAS MADERA MACIZA ABETO ESCANDINAVO","https://es.wallapop.com/item/juego-dos-mesillas-madera-maciza-abeto-escandinavo-869758363","https://es.wallapop.com/app/chat?itemId=36exm1gmnyzd"
"pedales shimano xtr ","https://es.wallapop.com/item/pedales-shimano-xtr-869758355","https://es.wallapop.com/app/chat?itemId=p61ym41m7d65"
"Kinderkraft Triciclo Plegable AVEO","https://es.wallapop.com/item/kinderkraft-triciclo-plegable-aveo-869758346","https://es.wallapop.com/app/chat?itemId=8z84pk9pg163"
"Cazadora negra","https://es.wallapop.com/item/cazadora-negra-869757960","https://es.wallapop.com/app/chat?itemId=9jd21k44vd6k"
"Camiseta ","https://es.wallapop.com/item/camiseta-869758603","https://es.wallapop.com/app/chat?itemId=nz0014x11ezo"
"Moneda australia 10 centimos 2002","https://es.wallapop.com/item/moneda-australia-10-centimos-2002-869758139","https://es.wallapop.com/app/chat?itemId=36exm1gg0vzd"
"Máquina Refrey","https://es.wallapop.com/item/maquina-refrey-869758128","https://es.wallapop.com/app/chat?itemId=w67yn499286x"
"xiaomi 10C","https://es.wallapop.com/item/xiaomi-10c-869758786","https://es.wallapop.com/app/chat?itemId=4z412e327rzy"
"iPad Air Wi-Fi + Cellular ","https://es.wallapop.com/item/ipad-air-wi-fi---cellular-869758779","https://es.wallapop.com/app/chat?itemId=p61ym41mn765"
"pit sport 140","https://es.wallapop.com/item/pit-sport-140-869758436","https://es.wallapop.com/app/chat?itemId=9jd21k41wl6k"
"Invicta pro diver Titanium ","https://es.wallapop.com/item/invicta-pro-diver-titanium-869758170","https://es.wallapop.com/app/chat?itemId=8z84pk997d63"
