"Название товара","Ссылка на продавца","Ссылка на чат"
"Monopatín adulto","https://es.wallapop.com/item/monopatin-adulto-871164595","https://es.wallapop.com/app/chat?itemId=ejkkn5omwyjx"
"Sujetador esencial moldeador FLAVIA 50817","https://es.wallapop.com/item/sujetador-esencial-moldeador-flavia-50817-871165192","https://es.wallapop.com/app/chat?itemId=wzy5gqwygpj5"
"Honda Transalp 650","https://es.wallapop.com/item/honda-transalp-650-871165168","https://es.wallapop.com/app/chat?itemId=wzy5gqwyvpj5"
"Altavoce DB opera 510 dx","https://es.wallapop.com/item/altavoce-db-opera-510-dx-871164726","https://es.wallapop.com/app/chat?itemId=pzprxw4k4k63"
"Piso en venta","https://es.wallapop.com/item/piso-en-venta-871164460","https://es.wallapop.com/app/chat?itemId=9jd21epw826k"
"Scooter Blunt Prodigy ","https://es.wallapop.com/item/scooter-blunt-prodigy-871164436","https://es.wallapop.com/app/chat?itemId=9jd21epww26k"
"Peugeot 407 2005","https://es.wallapop.com/item/peugeot-407-2005-871164438","https://es.wallapop.com/app/chat?itemId=4z412qm888zy"
"Excavadora ","https://es.wallapop.com/item/excavadora-871165163","https://es.wallapop.com/app/chat?itemId=36exme08gvzd"
"Paleta Mercury Retrograde.","https://es.wallapop.com/item/paleta-mercury-retrograde-871165157","https://es.wallapop.com/app/chat?itemId=xzorw79xo2z9"
"canapé y colchón ","https://es.wallapop.com/item/canape-y-colchon-871165129","https://es.wallapop.com/app/chat?itemId=qjwpgq029ezo"
"QUITAR GOTELE . ALISAR","https://es.wallapop.com/item/quitar-gotele-alisar-871165023","https://es.wallapop.com/app/chat?itemId=ejkkn5opmqjx"
"Horóscopo Libra ","https://es.wallapop.com/item/horoscopo-libra-871165021","https://es.wallapop.com/app/chat?itemId=3zl1pn30mpjx"
"bovedillas de corcho 0.20 de canto ","https://es.wallapop.com/item/bovedillas-de-corcho-0-20-de-canto-871165053","https://es.wallapop.com/app/chat?itemId=qjwpgq022kzo"
"Moneda 2 euros ","https://es.wallapop.com/item/moneda-2-euros-871164374","https://es.wallapop.com/app/chat?itemId=pzprxw4k1m63"
"Bicicleta montaña ","https://es.wallapop.com/item/bicicleta-montana-871164359","https://es.wallapop.com/app/chat?itemId=0j23oqx8ym6y"
"Mochila portadora de bebé ","https://es.wallapop.com/item/mochila-portadora-de-bebe-871164339","https://es.wallapop.com/app/chat?itemId=36exme05wnzd"
"Transmisor FM Bluetooth Manos Libres","https://es.wallapop.com/item/transmisor-fm-bluetooth-manos-libres-871164861","https://es.wallapop.com/app/chat?itemId=pj950v948oze"
"Mesa ","https://es.wallapop.com/item/mesa-871164928","https://es.wallapop.com/app/chat?itemId=w67ynk2xd56x"
"The last of Us parte 1 PS5 - Precintado","https://es.wallapop.com/item/the-last-of-us-parte-1-ps5-precintado-871164248","https://es.wallapop.com/app/chat?itemId=e65gd9o8xpjo"
"Perdona si te llamo amor","https://es.wallapop.com/item/perdona-si-te-llamo-amor-871164225","https://es.wallapop.com/app/chat?itemId=mzn870d2y0zn"
"Microondas segunda mano","https://es.wallapop.com/item/microondas-segunda-mano-871164217","https://es.wallapop.com/app/chat?itemId=wzvndqp41rjl"
"Fular elástico de porteo, marca Mispies.com","https://es.wallapop.com/item/fular-elastico-de-porteo-marca-mispies-com-871164542","https://es.wallapop.com/app/chat?itemId=x6qd1xeqnojy"
"Altavoces Magnat Quantum 605","https://es.wallapop.com/item/altavoces-magnat-quantum-605-871164291","https://es.wallapop.com/app/chat?itemId=vjrrm1gey9jk"
"Moto","https://es.wallapop.com/item/moto-871164282","https://es.wallapop.com/app/chat?itemId=8j3ekr1431z9"
"2 veladores con cajones","https://es.wallapop.com/item/2-veladores-con-cajones-871164267","https://es.wallapop.com/app/chat?itemId=vjrrm1gql9jk"
"Masajes y bienestar","https://es.wallapop.com/item/masajes-y-bienestar-871165259","https://es.wallapop.com/app/chat?itemId=0j23oqxn2e6y"
"Apple iphone 12 128GB verde","https://es.wallapop.com/item/apple-iphone-12-128gb-verde-871164900","https://es.wallapop.com/app/chat?itemId=e65gd9o7v2jo"
"Botas de esquí Salomon","https://es.wallapop.com/item/botas-de-esqui-salomon-871164884","https://es.wallapop.com/app/chat?itemId=9jd21ep8dl6k"
"Pañalera Ikea","https://es.wallapop.com/item/panalera-ikea-871164868","https://es.wallapop.com/app/chat?itemId=wzy5gqwye5j5"
"albañil pide tu. presupuesto  643624300","https://es.wallapop.com/item/albanil-pide-tu-presupuesto-643624300-871164792","https://es.wallapop.com/app/chat?itemId=wzy5gqwr3ej5"
"Bicicleta fija","https://es.wallapop.com/item/bicicleta-fija-871164783","https://es.wallapop.com/app/chat?itemId=0j23oqx85d6y"
"Vendo cocina de cuatro fuegos Seminueva 722603751","https://es.wallapop.com/item/vendo-cocina-de-cuatro-fuegos-seminueva-722603751-871164410","https://es.wallapop.com/app/chat?itemId=8j3ekr184yz9"
"Espejo","https://es.wallapop.com/item/espejo-871164978","https://es.wallapop.com/app/chat?itemId=nzx0gq7r07z2"
"Simon 100 Ref. 10001358-039","https://es.wallapop.com/item/simon-100-ref-10001358-039-871164956","https://es.wallapop.com/app/chat?itemId=qzmy0pk73lzv"
"Tapacubos 16 T5 T6  vw ","https://es.wallapop.com/item/tapacubos-16-t5-t6-vw-871164773","https://es.wallapop.com/app/chat?itemId=mzn870d352zn"
"Citroen Jumper CAMION IMPECABLE-POCOS KM-CON IVA","https://es.wallapop.com/item/citroen-jumper-camion-impecable-pocos-km-con-iva-871164771","https://es.wallapop.com/app/chat?itemId=ejkkn5oml9jx"
