"Название товара","Ссылка на продавца","Ссылка на чат"
"Vestido elegante en satin ","https://es.wallapop.com/item/vestido-elegante-en-satin-872844583","https://es.wallapop.com/app/chat?itemId=0j23olvv3n6y"
"ANILLO MASCARA JAPONESA","https://es.wallapop.com/item/anillo-mascara-japonesa-872845922","https://es.wallapop.com/app/chat?itemId=8z84pl7m9163"
"Vestido corto de flores Zara con manga abullonada","https://es.wallapop.com/item/vestido-corto-de-flores-zara-con-manga-abullonada-872845863","https://es.wallapop.com/app/chat?itemId=36exmry2ekzd"
"Pulsera","https://es.wallapop.com/item/pulsera-872845259","https://es.wallapop.com/app/chat?itemId=0j23olv51e6y"
"bolso bandolera pepe jeans ","https://es.wallapop.com/item/bolso-bandolera-pepe-jeans-872846163","https://es.wallapop.com/app/chat?itemId=36exmry23nzd"
"Anillos ","https://es.wallapop.com/item/anillos-872843280","https://es.wallapop.com/app/chat?itemId=qzmy0w5xqgzv"
"zapatillas-chanclas ","https://es.wallapop.com/item/zapatillas-chanclas-872843267","https://es.wallapop.com/app/chat?itemId=vjrrm3w20xjk"
"Conjunto de tacones y y bolso","https://es.wallapop.com/item/conjunto-de-tacones-y-y-bolso-872845249","https://es.wallapop.com/app/chat?itemId=mzn87xn5ogzn"
"Adidas forum low","https://es.wallapop.com/item/adidas-forum-low-872845178","https://es.wallapop.com/app/chat?itemId=nzx0gp2k45z2"
"NIKE Dunk Low White Black Panda 43","https://es.wallapop.com/item/nike-dunk-low-white-black-panda-43-872845116","https://es.wallapop.com/app/chat?itemId=v6g23ryl4nze"
