"Название товара","Ссылка на продавца","Ссылка на чат"
"Maleta Central","https://es.wallapop.com/item/maleta-central-872772854","https://es.wallapop.com/app/chat?itemId=nzx0gppp8pz2"
"Samsung s23 ","https://es.wallapop.com/item/samsung-s23-872775559","https://es.wallapop.com/app/chat?itemId=0j23ollv1n6y"
"Airpods Pro 2 Gen","https://es.wallapop.com/item/airpods-pro-2-gen-872772367","https://es.wallapop.com/app/chat?itemId=vjrrm33mw4jk"
"Pintura (óleo sobre tela)","https://es.wallapop.com/item/pintura-oleo-sobre-tela-872772356","https://es.wallapop.com/app/chat?itemId=qzmy0ww0klzv"
"Pintor autónomo ","https://es.wallapop.com/item/pintor-autonomo-872775356","https://es.wallapop.com/app/chat?itemId=qzmy0wwk2lzv"
"GPS Polar V650 + sensor HR+ soporte","https://es.wallapop.com/item/gps-polar-v650---sensor-hr--soporte-872771192","https://es.wallapop.com/app/chat?itemId=wzy5g009wxj5"
"Violín 3/4 ","https://es.wallapop.com/item/violin-3-4-872771155","https://es.wallapop.com/app/chat?itemId=p61ymlld3g65"
"Giant propel M-L","https://es.wallapop.com/item/giant-propel-m-l-872773069","https://es.wallapop.com/app/chat?itemId=3zl1p77repjx"
"Mesa y sillas jardin","https://es.wallapop.com/item/mesa-y-sillas-jardin-872774462","https://es.wallapop.com/app/chat?itemId=4z412llxrlzy"
"Peugeot 206 2000","https://es.wallapop.com/item/peugeot-206-2000-872772122","https://es.wallapop.com/app/chat?itemId=8z84pllp2163"
"Ruedas","https://es.wallapop.com/item/ruedas-872772097","https://es.wallapop.com/app/chat?itemId=mzn87xx7ogzn"
"Guitarra electrica SX","https://es.wallapop.com/item/guitarra-electrica-sx-872770479","https://es.wallapop.com/app/chat?itemId=p61ymlle1265"
"Dormitorio de matrimonio en madera ","https://es.wallapop.com/item/dormitorio-de-matrimonio-en-madera-872770465","https://es.wallapop.com/app/chat?itemId=wzvnd55kvrjl"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-872769885","https://es.wallapop.com/app/chat?itemId=pj950llveoze"
"Viola","https://es.wallapop.com/item/viola-872769864","https://es.wallapop.com/app/chat?itemId=v6g23rrevmze"
"vendo 4 ruedas ","https://es.wallapop.com/item/vendo-4-ruedas-872769424","https://es.wallapop.com/app/chat?itemId=e65gdllpkkjo"
"Mesa de Salón/Comedor","https://es.wallapop.com/item/mesa-de-salon-872769416","https://es.wallapop.com/app/chat?itemId=v6g23rr757ze"
"armario habitación ","https://es.wallapop.com/item/armario-habitacion-872774808","https://es.wallapop.com/app/chat?itemId=qzmy0wwk9gzv"
"temario enfermería Aragón ","https://es.wallapop.com/item/temario-enfermeria-aragon-872774771","https://es.wallapop.com/app/chat?itemId=ejkkn0031rjx"
"Casa en venta","https://es.wallapop.com/item/casa-en-venta-872774748","https://es.wallapop.com/app/chat?itemId=e65gdll1x2jo"
"SAMSUNG GALAXY NOTE 20 256GB","https://es.wallapop.com/item/samsung-galaxy-note-20-256gb-872770071","https://es.wallapop.com/app/chat?itemId=ejkkn005yqjx"
"funciona ","https://es.wallapop.com/item/funciona-872773928","https://es.wallapop.com/app/chat?itemId=w67ynll5976x"
"WII U COMO NUEVA.","https://es.wallapop.com/item/wii-u-como-nueva-872773664","https://es.wallapop.com/app/chat?itemId=v6g23rr507ze"
"NIKE AIR JORDAN RETRO HIGH OG ","https://es.wallapop.com/item/nike-air-jordan-retro-high-og-872773636","https://es.wallapop.com/app/chat?itemId=9jd21rr9d26k"
"cama con mesita ","https://es.wallapop.com/item/cama-con-mesita-872773619","https://es.wallapop.com/app/chat?itemId=vjrrm338lxjk"
"TCL 306","https://es.wallapop.com/item/tcl-306-872775130","https://es.wallapop.com/app/chat?itemId=nzx0gpp7pmz2"
"Bose Soundlink Flex","https://es.wallapop.com/item/bose-soundlink-flex-872775126","https://es.wallapop.com/app/chat?itemId=pzprxmm4mk63"
"realme GT2 pro 128gb","https://es.wallapop.com/item/realme-gt2-pro-128gb-872775002","https://es.wallapop.com/app/chat?itemId=pzprxmm4w963"
"Teclado Yamaha PSR-E363 ","https://es.wallapop.com/item/teclado-yamaha-psr-e363-872775735","https://es.wallapop.com/app/chat?itemId=0j23ollvdd6y"
