"Название товара","Ссылка на продавца","Ссылка на чат"
"camisa polo ralph lauren","https://es.wallapop.com/item/camisa-polo-ralph-lauren-869223733","https://es.wallapop.com/app/chat?itemId=xzorwv5newz9"
"Bicicleta eléctrica Fafrees","https://es.wallapop.com/item/bicicleta-electrica-fafrees-869223815","https://es.wallapop.com/app/chat?itemId=36exmn22wqzd"
"Zapatos Alexander McQueen ","https://es.wallapop.com/item/zapatos-alexander-mcqueen-869223171","https://es.wallapop.com/app/chat?itemId=ejkkn9vl29jx"
"Vieta Pro Thunder","https://es.wallapop.com/item/vieta-pro-thunder-869224090","https://es.wallapop.com/app/chat?itemId=x6qd19pponjy"
"malla deportiva puma talla 13-14","https://es.wallapop.com/item/malla-deportiva-puma-talla-13-14-869223620","https://es.wallapop.com/app/chat?itemId=wzy5g732w2j5"
"Silla escritorio","https://es.wallapop.com/item/silla-escritorio-869223612","https://es.wallapop.com/app/chat?itemId=9jd2153lp46k"
"Mueble de cocina restaurado","https://es.wallapop.com/item/mueble-de-cocina-restaurado-869223226","https://es.wallapop.com/app/chat?itemId=pzprx1np9563"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-869223747","https://es.wallapop.com/app/chat?itemId=ejkkn9vv29jx"
"Altavoz Beyma subgraves 15G400, 400W.","https://es.wallapop.com/item/altavoz-beyma-subgraves-15g400-400w-869223745","https://es.wallapop.com/app/chat?itemId=3zl1p9qqe4jx"
"KTM 990 ADVENTURE!!!","https://es.wallapop.com/item/ktm-990-adventure-869225339","https://es.wallapop.com/app/chat?itemId=36exmn2q0vzd"
"Xiaomi AMG Mercedes Pro 2 ","https://es.wallapop.com/item/xiaomi-amg-mercedes-pro-2-869223947","https://es.wallapop.com/app/chat?itemId=ejkkn9vverjx"
"Botas de esquí de travesía","https://es.wallapop.com/item/botas-de-esqui-de-travesia-869223929","https://es.wallapop.com/app/chat?itemId=qjwpgdkk2wzo"
"Air pods pro ","https://es.wallapop.com/item/air-pods-pro-869223539","https://es.wallapop.com/app/chat?itemId=36exmn2lkvzd"
"PAGA CUANDO RECIBE- SOFA RECLINABLE NUEVO","https://es.wallapop.com/item/paga-cuando-recibe-sofa-reclinable-nuevo-869223480","https://es.wallapop.com/app/chat?itemId=qzmy03rl0gzv"
"Bicicleta ","https://es.wallapop.com/item/bicicleta-869224946","https://es.wallapop.com/app/chat?itemId=8z84pgmy1163"
"SEAT Toledo 2013","https://es.wallapop.com/item/seat-toledo-2013-869224907","https://es.wallapop.com/app/chat?itemId=p61ym7nx9d65"
"Sillita de coche niño/a","https://es.wallapop.com/item/sillita-de-coche-nino-a-869223890","https://es.wallapop.com/app/chat?itemId=x6qd19ppqyjy"
"Se vende ","https://es.wallapop.com/item/se-vende-869223344","https://es.wallapop.com/app/chat?itemId=wzy5g732yxj5"
"Yaesu FT-990","https://es.wallapop.com/item/yaesu-ft-990-869223316","https://es.wallapop.com/app/chat?itemId=v6g2319lp2ze"
"Cdj 2000 nexus djm 900 nexus set Pioneer ","https://es.wallapop.com/item/cdj-2000-nexus-djm-900-nexus-set-pioneer-869223979","https://es.wallapop.com/app/chat?itemId=p61ym7nnqg65"
"Somier canapé colchón","https://es.wallapop.com/item/somier-canape-colchon-869223973","https://es.wallapop.com/app/chat?itemId=mzn87vyy07zn"
"vusco trabajo","https://es.wallapop.com/item/vusco-trabajo-869223580","https://es.wallapop.com/app/chat?itemId=qzmy03rldyzv"
