"Название товара","Ссылка на продавца","Ссылка на чат"
"Chaleco salvavidas ","https://es.wallapop.com/item/chaleco-salvavidas-869001359","https://es.wallapop.com/app/chat?itemId=0j23or4xpm6y"
"se vende","https://es.wallapop.com/item/se-vende-869001344","https://es.wallapop.com/app/chat?itemId=wzy5g74w3xj5"
"mesa cristal","https://es.wallapop.com/item/mesa-cristal-869000877","https://es.wallapop.com/app/chat?itemId=qjwpgd40ekzo"
"iPhone XS MAX 256gb","https://es.wallapop.com/item/iphone-xs-max-256gb-869000868","https://es.wallapop.com/app/chat?itemId=wzy5g74wlvj5"
"iPhone 14 pro Max Funda Cuero Nueva","https://es.wallapop.com/item/iphone-14-pro-max-funda-cuero-nueva-869000873","https://es.wallapop.com/app/chat?itemId=mzn87v2dgkzn"
"ACER","https://es.wallapop.com/item/acer-869001265","https://es.wallapop.com/app/chat?itemId=wzvndl4pprjl"
"MASAJE RELAJANTE BARCELONA","https://es.wallapop.com/item/masaje-relajante-barcelona-869000693","https://es.wallapop.com/app/chat?itemId=3zl1p98238jx"
"TV 40 Smarttv","https://es.wallapop.com/item/tv-40-smarttv-869000686","https://es.wallapop.com/app/chat?itemId=4z412gexxwzy"
"Mesa comedor y sillas","https://es.wallapop.com/item/mesa-comedor-y-sillas-869000679","https://es.wallapop.com/app/chat?itemId=p61ym7400265"
"2 cañas de pescar","https://es.wallapop.com/item/2-canas-de-pescar-869000644","https://es.wallapop.com/app/chat?itemId=wzy5g741p5j5"
"Lámparas ","https://es.wallapop.com/item/lamparas-869000808","https://es.wallapop.com/app/chat?itemId=qzmy03ed2gzv"
"botas de cross ","https://es.wallapop.com/item/botas-de-cross-869000801","https://es.wallapop.com/app/chat?itemId=mzn87v2krkzn"
"sofá rinconera ","https://es.wallapop.com/item/sofa-rinconera-869000787","https://es.wallapop.com/app/chat?itemId=36exmn173nzd"
"busco trabajo en Bilbao ","https://es.wallapop.com/item/busco-trabajo-en-bilbao-869000776","https://es.wallapop.com/app/chat?itemId=w67yng4o156x"
"Reclette","https://es.wallapop.com/item/reclette-869001319","https://es.wallapop.com/app/chat?itemId=vjrrm9qg74jk"
"Chaqueta","https://es.wallapop.com/item/chaqueta-869001313","https://es.wallapop.com/app/chat?itemId=pj950gm91kze"
"Swing Stepper MS100 Decathlon azul y negro","https://es.wallapop.com/item/swing-stepper-ms100-decathlon-azul-y-negro-869001308","https://es.wallapop.com/app/chat?itemId=qzmy03ek5lzv"
"Cofre de moto marca GIVI","https://es.wallapop.com/item/cofre-de-moto-marca-givi-869001287","https://es.wallapop.com/app/chat?itemId=36exmn100qzd"
"Chaqueta de cuero","https://es.wallapop.com/item/chaqueta-de-cuero-869001283","https://es.wallapop.com/app/chat?itemId=0j23or4xxv6y"
"mangas de anime","https://es.wallapop.com/item/mangas-de-anime-869000584","https://es.wallapop.com/app/chat?itemId=9jd215k0196k"
"R 14/65/175 R14/70/175 R 14/75/70 R15/60/185 R15","https://es.wallapop.com/item/r-14-65-175-r14-70-175-r-14-75-70-r15-60-185-r15-869000560","https://es.wallapop.com/app/chat?itemId=9jd215k0496k"
