"Название товара","Ссылка на продавца","Ссылка на чат"
"Reloj digital ","https://es.wallapop.com/item/reloj-digital-871818862","https://es.wallapop.com/app/chat?itemId=4z412kxlqwzy"
"MANDO DUAL SENSE PS5","https://es.wallapop.com/item/mando-dual-sense-ps5-871818724","https://es.wallapop.com/app/chat?itemId=e65gde1lggjo"
"Se vende Huawei Mate20 Pro 2022","https://es.wallapop.com/item/se-vende-huawei-mate20-pro-2022-871818716","https://es.wallapop.com/app/chat?itemId=v6g23vxr1lze"
"Jordan Max aura Rojas!!","https://es.wallapop.com/item/jordan-max-aura-rojas-871817661","https://es.wallapop.com/app/chat?itemId=pj950e2qnoze"
"Estanterías ","https://es.wallapop.com/item/estanterias-871818281","https://es.wallapop.com/app/chat?itemId=xzorw04w74z9"
"vendo ","https://es.wallapop.com/item/vendo-871818245","https://es.wallapop.com/app/chat?itemId=3zl1p52pk8jx"
"GTA V play 4","https://es.wallapop.com/item/gta-v-play-4-871817909","https://es.wallapop.com/app/chat?itemId=xzorw04o92z9"
"Spiderman.Classico.Español","https://es.wallapop.com/item/spiderman-classico-espanol-871818054","https://es.wallapop.com/app/chat?itemId=nzx0g9xgdez2"
"zapatillas adidas","https://es.wallapop.com/item/zapatillas-adidas-871818029","https://es.wallapop.com/app/chat?itemId=qjwpg9wvm4zo"
"cámara de fotos para niños nueva ","https://es.wallapop.com/item/camara-de-fotos-para-ninos-nueva-871818793","https://es.wallapop.com/app/chat?itemId=3zl1p52704jx"
"BMW X5 2014","https://es.wallapop.com/item/bmw-x5-2014-871817567","https://es.wallapop.com/app/chat?itemId=vjrrmx5v9ljk"
"Samsung A 53 5G","https://es.wallapop.com/item/samsung-a-53-5g-871817796","https://es.wallapop.com/app/chat?itemId=e65gde12d2jo"
"patines","https://es.wallapop.com/item/patines-871818770","https://es.wallapop.com/app/chat?itemId=8z84pe3l8163"
"autoclave para conservas ","https://es.wallapop.com/item/autoclave-para-conservas-871818767","https://es.wallapop.com/app/chat?itemId=vjrrmx53qljk"
"canapés y colchones ","https://es.wallapop.com/item/canapes-y-colchones-871818759","https://es.wallapop.com/app/chat?itemId=0j23oe7l4d6y"
"Pantalones joggers Nike ","https://es.wallapop.com/item/pantalones-joggers-nike-871817408","https://es.wallapop.com/app/chat?itemId=qzmy0ndnrozv"
"mueble salón ","https://es.wallapop.com/item/mueble-salon-871817385","https://es.wallapop.com/app/chat?itemId=pj950e2e1vze"
"cuna para bebes de 0 a 1.5 años","https://es.wallapop.com/item/cuna-para-bebes-de-0-a-1-5-anos-871817452","https://es.wallapop.com/app/chat?itemId=w67yneoeqy6x"
"Amasadora industrial","https://es.wallapop.com/item/amasadora-industrial-871817436","https://es.wallapop.com/app/chat?itemId=9jd21v0vo46k"
"Congelador  casi nuevo horizontal ","https://es.wallapop.com/item/congelador-casi-nuevo-horizontal-871817357","https://es.wallapop.com/app/chat?itemId=xzorw040p2z9"
"Calzado niña","https://es.wallapop.com/item/calzado-mila-871817351","https://es.wallapop.com/app/chat?itemId=nz001dpdk7zo"
"sillón orejero ","https://es.wallapop.com/item/sillon-orejero-871817335","https://es.wallapop.com/app/chat?itemId=0j23oe7exn6y"
"Caja registradora ","https://es.wallapop.com/item/caja-registradora-871818671","https://es.wallapop.com/app/chat?itemId=ejkknr30x1jx"
"CHAQUETA DE PELO ","https://es.wallapop.com/item/chaqueta-de-pelo-871818663","https://es.wallapop.com/app/chat?itemId=36exmv7rdkzd"
"Videocámara Sony HDR-SR11E","https://es.wallapop.com/item/videocamara-sony-hdr-sr11e-871817852","https://es.wallapop.com/app/chat?itemId=w67yneo9pw6x"
"Vendo Bicicleta de montaña","https://es.wallapop.com/item/vendo-bicicleta-de-montana-871817614","https://es.wallapop.com/app/chat?itemId=4z412kx3ewzy"
"Maquina de liar o entubar tabaco gerui","https://es.wallapop.com/item/maquina-de-liar-o-entubar-tabaco-gerui-871817981","https://es.wallapop.com/app/chat?itemId=xzorw04o52z9"
"Chaqueta ","https://es.wallapop.com/item/chaqueta-871817982","https://es.wallapop.com/app/chat?itemId=8j3ekgwo08z9"
"Mesa sofa","https://es.wallapop.com/item/mesa-sofa-871817969","https://es.wallapop.com/app/chat?itemId=3zl1p52xl2jx"
"SE VENDE PLAZA GARAJE CENTRO VIGO (ANTI ZBE).","https://es.wallapop.com/item/se-vende-plaza-garaje-centro-vigo-anti-zbe-871817967","https://es.wallapop.com/app/chat?itemId=vjrrmx5v78jk"
"zapatillas tenis Joma Ace Pro ","https://es.wallapop.com/item/zapatillas-tenis-joma-ace-pro-871817493","https://es.wallapop.com/app/chat?itemId=3zl1p52xeqjx"
"Cabecero cama 90cm","https://es.wallapop.com/item/cabecero-cama-90cm-871817489","https://es.wallapop.com/app/chat?itemId=wzvnd37v97jl"
"Autoconocimiento ","https://es.wallapop.com/item/autoconocimiento-871818612","https://es.wallapop.com/app/chat?itemId=9jd21v01g46k"
"Alquiler Sonido","https://es.wallapop.com/item/alquiler-sonido-871817706","https://es.wallapop.com/app/chat?itemId=nzx0g9xvq7z2"
"Mesa de billar","https://es.wallapop.com/item/mesa-de-billar-871817701","https://es.wallapop.com/app/chat?itemId=mzn87pkm07zn"
"Anillo pandora ","https://es.wallapop.com/item/anillo-pandora-871817688","https://es.wallapop.com/app/chat?itemId=v6g23vxnemze"
"Compex SP 8.0 Wod edition. ","https://es.wallapop.com/item/compex-sp-8-0-wod-edition-1349-871817680","https://es.wallapop.com/app/chat?itemId=qzmy0nd1oxzv"
"Tomo 4 de Noragami","https://es.wallapop.com/item/tomo-4-de-noragami-871817818","https://es.wallapop.com/app/chat?itemId=x6qd1wg2onjy"
"mesa de escritorio ","https://es.wallapop.com/item/mesa-de-escritorio-871817804","https://es.wallapop.com/app/chat?itemId=w67yneo9nw6x"
"Llibre matemàtiques 2n batxillerat McGraw-Hill","https://es.wallapop.com/item/llibre-matematiques-2n-batxillerat-mcgraw-hill-871817536","https://es.wallapop.com/app/chat?itemId=9jd21v04796k"
"Zona Zombi, Missió a Nova York","https://es.wallapop.com/item/zona-zombi-missio-a-nova-york-871817526","https://es.wallapop.com/app/chat?itemId=pzprx7e39k63"
"aire acondicionado portátil ","https://es.wallapop.com/item/aire-acondicionado-portatil-871817506","https://es.wallapop.com/app/chat?itemId=nzx0g9xvlmz2"
"Sujetador Calvin Klein","https://es.wallapop.com/item/sujetador-calvin-klein-871818569","https://es.wallapop.com/app/chat?itemId=3zl1p52pq2jx"
"patines de hombre ","https://es.wallapop.com/item/patines-de-hombre-871818372","https://es.wallapop.com/app/chat?itemId=e65gde1dd2jo"
"iPhone XR ","https://es.wallapop.com/item/iphone-xr-871817948","https://es.wallapop.com/app/chat?itemId=e65gde12n0jo"
"Bilbao ","https://es.wallapop.com/item/bilbao-871817950","https://es.wallapop.com/app/chat?itemId=pzprx7e30l63"
"Regreso al Reino de la Fantasía. Jerónimo Stilton ","https://es.wallapop.com/item/regreso-al-reino-de-la-fantasia-jeronimo-stilton-871817944","https://es.wallapop.com/app/chat?itemId=wzy5g91vkpj5"
"MAQUINARIA PARA protesico dental pak completo","https://es.wallapop.com/item/maquinaria-para-protesico-dental-pak-completo-871817926","https://es.wallapop.com/app/chat?itemId=pzprx7e34l63"
