"Название товара","Ссылка на продавца","Ссылка на чат"
"RIÑONERA TOMMY HILFIGER ","https://es.wallapop.com/item/rinonera-tommy-hilfiger-871277407","https://es.wallapop.com/app/chat?itemId=p61ymeoeq565"
"Jordan 13 white hyper royal ","https://es.wallapop.com/item/jordan-13-white-hyper-royal-871277327","https://es.wallapop.com/app/chat?itemId=nz0012m247zo"
"botas de mango","https://es.wallapop.com/item/botas-de-mango-871277323","https://es.wallapop.com/app/chat?itemId=ejkknd4d8yjx"
"Americana Massimo Dutti.","https://es.wallapop.com/item/americana-massimo-dutti-871276856","https://es.wallapop.com/app/chat?itemId=qzmy0v4pvozv"
"Aderezo Falleta","https://es.wallapop.com/item/aderezo-falleta-871276479","https://es.wallapop.com/app/chat?itemId=p61ymeokw265"
"Extensiones naturales rubias ","https://es.wallapop.com/item/extensiones-naturales-rubias-871276392","https://es.wallapop.com/app/chat?itemId=wzy5gonx8ej5"
"Botín negro ","https://es.wallapop.com/item/botin-negro-871277516","https://es.wallapop.com/app/chat?itemId=v6g23k4k3lze"
"RELOJ CASIO G SHOCK GX-56BB","https://es.wallapop.com/item/reloj-casio-g-shock-gx-56bb-871277424","https://es.wallapop.com/app/chat?itemId=e65gdryrrmjo"
"Sudadera Quiksilver","https://es.wallapop.com/item/sudadera-quiksilver-871276820","https://es.wallapop.com/app/chat?itemId=wzy5gonqx2j5"
"Falda cuadros (tweed)","https://es.wallapop.com/item/falda-cuadros-tweed-871276798","https://es.wallapop.com/app/chat?itemId=pzprx59wdl63"
"Gargantilla tous original cuarzo rosa ","https://es.wallapop.com/item/gargantilla-tous-original-cuarzo-rosa-871276793","https://es.wallapop.com/app/chat?itemId=3zl1pdgn02jx"
"se vende pantalón ","https://es.wallapop.com/item/se-vende-pantalon-871276767","https://es.wallapop.com/app/chat?itemId=vjrrmpd1e8jk"
"Camiseta tirantes Helly Hansen mujer","https://es.wallapop.com/item/camiseta-tirantes-helly-hansen-mujer-871276728","https://es.wallapop.com/app/chat?itemId=w67ynrdk486x"
"se vende riñonera luis vutton","https://es.wallapop.com/item/se-vende-rinonera-luis-vutton-871276604","https://es.wallapop.com/app/chat?itemId=w67ynrd7qw6x"
