"Название товара","Ссылка на продавца","Ссылка на чат"
"Calzado de niño","https://www.vinted.es/enfants/filles/chaussures/chaussures-bebe/2619028843-calzado-de-nino","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619028843&receiver_id=117072601&ref_url=%2Fitems%2F2619028843%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D117072601%26ref_url%3D%252Fninos%252Fninas%252Fzapatos%252Fcalzado-de-bebe%252F2619028843-calzado-de-nino%26source%3Dwantit%26subject%3Dwanted%253A%2BCalzado%2Bde%2Bni%25C3%25B1o&source=wantit&subject=wanted%3A+Calzado+de+ni%C3%B1o"
"Silla paseo kinderkraft grande gris ","https://www.vinted.es/enfants/poussettes/poussettes-polyvalentes/2619027959-silla-paseo-kinderkraft-grande-gris","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619027959&receiver_id=36792384&ref_url=%2Fitems%2F2619027959%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D36792384%26ref_url%3D%252Fninos%252Fcochecitos%252Funiversales%252F2619027959-silla-paseo-kinderkraft-grande-gris%26source%3Dwantit%26subject%3Dwanted%253A%2BSilla%2Bpaseo%2Bkinderkraft%2Bgrande%2Bgris%2B&source=wantit&subject=wanted%3A+Silla+paseo+kinderkraft+grande+gris+"
"Traje fallero ","https://www.vinted.es/ninos/otros/2619024582-traje-fallero","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619024582&receiver_id=129558637&ref_url=%2Fitems%2F2619024582%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129558637%26ref_url%3D%252Fninos%252Fotros%252F2619024582-traje-fallero%26source%3Dwantit%26subject%3Dwanted%253A%2BTraje%2Bfallero%2B&source=wantit&subject=wanted%3A+Traje+fallero+"
"Bañera sense ","https://www.vinted.es/ninos/muebles-infantiles/cambiadores-y-mesas/2619070146-banera-sense","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619070146&receiver_id=103012166&ref_url=%2Fitems%2F2619070146%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D103012166%26ref_url%3D%252Fninos%252Fmuebles-infantiles%252Fcambiadores-y-mesas%252F2619070146-banera-sense%26source%3Dwantit%26subject%3Dwanted%253A%2BBa%25C3%25B1era%2Bsense%2B&source=wantit&subject=wanted%3A+Ba%C3%B1era+sense+"
"Maxicosi Britax romer","https://www.vinted.es/enfants/chaises-hautes-and-sieges-auto/sieges-auto/2619065229-maxicosi-britax-romer","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619065229&receiver_id=110331079&ref_url=%2Fitems%2F2619065229%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D110331079%26ref_url%3D%252Fninos%252Fasientos-y-sillitas%252Fsillitas-de-coche%252F2619065229-maxicosi-britax-romer%26source%3Dwantit%26subject%3Dwanted%253A%2BMaxicosi%2BBritax%2Bromer&source=wantit&subject=wanted%3A+Maxicosi+Britax+romer"
"Hamaca columpio y musica relajante","https://www.vinted.es/ninos/cuidado-del-bebe/columpios-y-mecedoras/mecedoras/2619127668-hamaca-columpio-y-musica-relajante","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619127668&receiver_id=79878320&ref_url=%2Fitems%2F2619127668%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D79878320%26ref_url%3D%252Fninos%252Fcuidado-del-bebe%252Fcolumpios-y-mecedoras%252Fmecedoras%252F2619127668-hamaca-columpio-y-musica-relajante%26source%3Dwantit%26subject%3Dwanted%253A%2BHamaca%2Bcolumpio%2By%2Bmusica%2Brelajante&source=wantit&subject=wanted%3A+Hamaca+columpio+y+musica+relajante"
"Son Gohan","https://www.vinted.es/enfants/autres/2619287160-son-gohan","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619287160&receiver_id=129206332&ref_url=%2Fitems%2F2619287160%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129206332%26ref_url%3D%252Fninos%252Fotros%252F2619287160-son-gohan%26source%3Dwantit%26subject%3Dwanted%253A%2BSon%2BGohan&source=wantit&subject=wanted%3A+Son+Gohan"
"Vestido de Comunión ","https://www.vinted.es/ninos/ninas/ropa-para-ocasiones-especiales/2615600801-vestido-de-comunion","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2615600801&receiver_id=129428824&ref_url=%2Fitems%2F2615600801%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129428824%26ref_url%3D%252Fninos%252Fninas%252Fropa-para-ocasiones-especiales%252F2615600801-vestido-de-comunion%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Bde%2BComuni%25C3%25B3n%2B&source=wantit&subject=wanted%3A+Vestido+de+Comuni%C3%B3n+"
"Bicicleta infantil para niña","https://www.vinted.es/enfants/autres/2619273392-bicicleta-infantil-para-nina","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619273392&receiver_id=114667625&ref_url=%2Fitems%2F2619273392%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D114667625%26ref_url%3D%252Fninos%252Fotros%252F2619273392-bicicleta-infantil-para-nina%26source%3Dwantit%26subject%3Dwanted%253A%2BBicicleta%2Binfantil%2Bpara%2Bni%25C3%25B1a&source=wantit&subject=wanted%3A+Bicicleta+infantil+para+ni%C3%B1a"
"Silla de paseo modelo Mini ","https://www.vinted.es/kids/buggies/umbrella-buggies/2619359588-silla-de-paseo-modelo-mini","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2619359588&receiver_id=52030869&ref_url=%2Fitems%2F2619359588%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D52030869%26ref_url%3D%252Fninos%252Fcochecitos%252Fplegables%252F2619359588-silla-de-paseo-modelo-mini%26source%3Dwantit%26subject%3Dwanted%253A%2BSilla%2Bde%2Bpaseo%2Bmodelo%2BMini%2B&source=wantit&subject=wanted%3A+Silla+de+paseo+modelo+Mini+"
