"Название товара","Ссылка на продавца","Ссылка на чат"
"Motoazada VIKING VH540","https://es.wallapop.com/item/motoazada-viking-vh540-872878704","https://es.wallapop.com/app/chat?itemId=w67ynlmvr86x"
"Isabel Allende ""Eva Luna""","https://es.wallapop.com/item/isabel-allende-eva-luna-872878686","https://es.wallapop.com/app/chat?itemId=4z412lw8q8zy"
"lampara de techo","https://es.wallapop.com/item/lampara-de-techo-872876288","https://es.wallapop.com/app/chat?itemId=v6g23rd4g7ze"
"Lacoste Sport Storm 96","https://es.wallapop.com/item/lacoste-sport-storm-96-872878441","https://es.wallapop.com/app/chat?itemId=wzvnd5w4xrjl"
"Libro Biología SM 2º Bachillerato","https://es.wallapop.com/item/libro-biologia-sm-2-bachillerato-872878409","https://es.wallapop.com/app/chat?itemId=xzorw1y254z9"
"Colonia y desodorante Real Madrid ","https://es.wallapop.com/item/colonia-y-desodorante-real-madrid-872877618","https://es.wallapop.com/app/chat?itemId=x6qd1o5d2ejy"
"Disfraz Spiderman ","https://es.wallapop.com/item/disfraz-spiderman-872877610","https://es.wallapop.com/app/chat?itemId=8j3ekl7eo2z9"
"La Celestina ","https://es.wallapop.com/item/la-celestina-872877605","https://es.wallapop.com/app/chat?itemId=qjwpgnxpv4zo"
"Limited edition Mundicromo 2014-15 ","https://es.wallapop.com/item/limited-edition-mundicromo-2014-15-872877583","https://es.wallapop.com/app/chat?itemId=0j23ol03en6y"
"Cama Matrimonio en perfecto estado ","https://es.wallapop.com/item/cama-matrimonio-en-perfecto-estado-872876820","https://es.wallapop.com/app/chat?itemId=wzy5g0m77vj5"
"Teléfono Inalámbrico Adoc","https://es.wallapop.com/item/telefono-inalambrico-adoc-872879167","https://es.wallapop.com/app/chat?itemId=vjrrm3n4q4jk"
"IPhone 7 Plus ","https://es.wallapop.com/item/iphone-7-plus-872879157","https://es.wallapop.com/app/chat?itemId=xzorw1yxr5z9"
"pantalla de insonorizazion para micrófono ","https://es.wallapop.com/item/pantalla-de-insonorizazion-para-microfono-872878900","https://es.wallapop.com/app/chat?itemId=e65gdlxqogjo"
"los futbolísimos 8","https://es.wallapop.com/item/los-futbolisimos-8-872878866","https://es.wallapop.com/app/chat?itemId=x6qd1o5q3ejy"
