"Название товара","Ссылка на продавца","Ссылка на чат"
"Pantalón de marca balmain Paris ","https://es.wallapop.com/item/pantalon-de-marca-balmain-paris-871248029","https://es.wallapop.com/app/chat?itemId=qjwpg1l2q4zo"
"Cabecero cama","https://es.wallapop.com/item/cabecero-cama-871248018","https://es.wallapop.com/app/chat?itemId=x6qd1nlv4ejy"
"radiador eléctrico ","https://es.wallapop.com/item/radiador-electrico-871249168","https://es.wallapop.com/app/chat?itemId=wzy5goeqxpj5"
"SOFA DE DOS PLAZAS","https://es.wallapop.com/item/sofa-de-dos-plazas-871249149","https://es.wallapop.com/app/chat?itemId=mzn87e40wyzn"
"Guitarra clásica ","https://es.wallapop.com/item/guitarra-clasica-871249092","https://es.wallapop.com/app/chat?itemId=wzy5goeq4vj5"
"mesa de","https://es.wallapop.com/item/mesa-de-871249047","https://es.wallapop.com/app/chat?itemId=ejkknd259qjx"
"NECESITAMOS MODELOS PARA NUESTROS ","https://es.wallapop.com/item/necesitamos-modelos-para-nuestros-871247645","https://es.wallapop.com/app/chat?itemId=3zl1pdem28jx"
"MUEBLE IKEA BLANCO","https://es.wallapop.com/item/mueble-ikea-blanco-871247629","https://es.wallapop.com/app/chat?itemId=qjwpg1lr5gzo"
"VENDO IPHONE XR ","https://es.wallapop.com/item/vendo-iphone-xr-871248833","https://es.wallapop.com/app/chat?itemId=xzorwdk394z9"
"Arkham Horror (3a Edición), juego de mesa","https://es.wallapop.com/item/arkham-horror-3a-edicion-juego-de-mesa-871248777","https://es.wallapop.com/app/chat?itemId=qjwpg1l75qzo"
"Apple watch series 5 40 mm durado ","https://es.wallapop.com/item/apple-watch-series-5-40-mm-durado-871248997","https://es.wallapop.com/app/chat?itemId=mzn87e40g7zn"
"Reparación de llantas en Badajoz","https://es.wallapop.com/item/reparacion-de-llantas-en-badajoz-871248971","https://es.wallapop.com/app/chat?itemId=ejkknd252rjx"
"Nike Jordan 12 Retro Taxi originales","https://es.wallapop.com/item/nike-jordan-12-retro-taxi-871246715","https://es.wallapop.com/app/chat?itemId=36exmo91wvzd"
"buenas se vende mueble preguntas sin compromiso","https://es.wallapop.com/item/buenas-se-vende-mueble-preguntas-sin-compromiso-871246685","https://es.wallapop.com/app/chat?itemId=pj950rdmkmze"
"Cinta de andar y de correr","https://es.wallapop.com/item/cinta-de-andar-y-de-correr-871246588","https://es.wallapop.com/app/chat?itemId=v6g23km292ze"
"aspiradora ","https://es.wallapop.com/item/aspiradora-871248684","https://es.wallapop.com/app/chat?itemId=9jd21mdn446k"
"SOFÁ COMEDOR CAMA","https://es.wallapop.com/item/sofa-comedor-cama-871248645","https://es.wallapop.com/app/chat?itemId=3zl1pdekdqjx"
"asientos delanteros Jeep htand cherokee ","https://es.wallapop.com/item/asientos-delanteros-jeep-htand-cherokee-871248617","https://es.wallapop.com/app/chat?itemId=wzvndk90q7jl"
"teléfono ","https://es.wallapop.com/item/telefono-871248583","https://es.wallapop.com/app/chat?itemId=0j23og911n6y"
"venndo soni","https://es.wallapop.com/item/venndo-soni-871246444","https://es.wallapop.com/app/chat?itemId=wzy5goe585j5"
"vitrina expositora ","https://es.wallapop.com/item/vitrina-expositora-871248341","https://es.wallapop.com/app/chat?itemId=wzvndk92w4jl"
"botella antigua de anis","https://es.wallapop.com/item/botella-antigua-de-anis-871247138","https://es.wallapop.com/app/chat?itemId=4z412roepvzy"
"Lote de ropa ","https://es.wallapop.com/item/lote-de-ropa-871247129","https://es.wallapop.com/app/chat?itemId=qjwpg1l43wzo"
"tabla de surf","https://es.wallapop.com/item/tabla-de-surf-871246135","https://es.wallapop.com/app/chat?itemId=0j23og93yn6y"
"Monitor HP 19 pulgadas","https://es.wallapop.com/item/monitor-hp-19-pulgadas-871246537","https://es.wallapop.com/app/chat?itemId=pj950rd5wkze"
