"Название товара","Ссылка на продавца","Ссылка на чат"
"Baca de lona para coche","https://es.wallapop.com/item/baca-de-lona-para-coche-871042765","https://es.wallapop.com/app/chat?itemId=wzvndqq39djl"
"trajes de flamenca","https://es.wallapop.com/item/trajes-de-flamenca-871043218","https://es.wallapop.com/app/chat?itemId=x6qd1xxw7njy"
"Riñonera TRAPSTAR","https://es.wallapop.com/item/rinonera-trapstar-871042405","https://es.wallapop.com/app/chat?itemId=qjwpgqq1qgzo"
"Opel Antara 2008","https://es.wallapop.com/item/opel-antara-2008-871043098","https://es.wallapop.com/app/chat?itemId=pzprxww7m563"
"Acuarelas ","https://es.wallapop.com/item/acuarelas-871042727","https://es.wallapop.com/app/chat?itemId=nz001yy2n7zo"
"Toldo","https://es.wallapop.com/item/toldo-871042712","https://es.wallapop.com/app/chat?itemId=9jd21eemon6k"
"Espejo Pared Dorado","https://es.wallapop.com/item/espejo-pared-dorado-871042676","https://es.wallapop.com/app/chat?itemId=w67ynkkrww6x"
"Venta de reloj Samsung galaxy watch 5","https://es.wallapop.com/item/venta-de-reloj-samsung-galaxy-watch-5-871043158","https://es.wallapop.com/app/chat?itemId=8j3ekrrgd7z9"
"Secador ceramico bellissima","https://es.wallapop.com/item/secador-ceramico-bellissima-871042471","https://es.wallapop.com/app/chat?itemId=ejkkn55dwpjx"
"SEAT Leon 2019","https://es.wallapop.com/item/seat-leon-2019-871042551","https://es.wallapop.com/app/chat?itemId=nz001yy233zo"
"Bushnell phantom 2","https://es.wallapop.com/item/bushnell-phantom-2-871042547","https://es.wallapop.com/app/chat?itemId=ejkkn55dqrjx"
