"Название товара","Ссылка на продавца","Ссылка на чат"
"Lampara ","https://es.wallapop.com/item/lampara-870626038","https://es.wallapop.com/app/chat?itemId=4z412ng03wzy"
"libro inglés ","https://es.wallapop.com/item/libro-ingles-870625997","https://es.wallapop.com/app/chat?itemId=mzn87ovwp2zn"
"Tocadiscos antiguo, platogiradiscos","https://es.wallapop.com/item/tocadiscos-antiguo-platogiradiscos-870625576","https://es.wallapop.com/app/chat?itemId=w67yn7gvo56x"
"Citroen Saxo 1998 1.5 D ","https://es.wallapop.com/item/citroen-saxo-1998-1-5-d-870625787","https://es.wallapop.com/app/chat?itemId=36exmpn8wvzd"
"Cinta correr Reebok plegable","https://es.wallapop.com/item/cinta-correr-reebok-870625766","https://es.wallapop.com/app/chat?itemId=x6qd149vkojy"
"Vinilo ramy ""When I feel love"" Nuevo","https://es.wallapop.com/item/vinilo-ramy-when-i-feel-love-nuevo-870625364","https://es.wallapop.com/app/chat?itemId=v6g2371p7lze"
"MESA Y SILLAS ","https://es.wallapop.com/item/mesa-y-sillas-870625363","https://es.wallapop.com/app/chat?itemId=36exmpn5pyzd"
"FUNDAS DE ARMAS GRANDES ","https://es.wallapop.com/item/fundas-de-armas-grandes-870625625","https://es.wallapop.com/app/chat?itemId=mzn87ov3nkzn"
"Licuadora","https://es.wallapop.com/item/licuadora-870626152","https://es.wallapop.com/app/chat?itemId=w67yn7gxo56x"
"masajeador LH","https://es.wallapop.com/item/masajeador-lh-870625680","https://es.wallapop.com/app/chat?itemId=qzmy0o3mqgzv"
"vendo por que ocupo el dinero ","https://es.wallapop.com/item/vendo-por-que-ocupo-el-dinero-870625443","https://es.wallapop.com/app/chat?itemId=vjrrmo9ev9jk"
"Audi A5 2012","https://es.wallapop.com/item/audi-a5-2012-870625414","https://es.wallapop.com/app/chat?itemId=4z412ng8rwzy"
"CONJUNTO DE MESA COMEDOR Y SILLAS TAPIZADAS","https://es.wallapop.com/item/conjunto-de-mesa-comedor-y-sillas-tapizadas-870625912","https://es.wallapop.com/app/chat?itemId=9jd21n58896k"
