"Название товара","Ссылка на продавца","Ссылка на чат"
"Maletin MSK vintage","https://www.vinted.es/men/accessories/bags-and-backpacks/luggage/2666923093-maletin-msk-vintage","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666923093&receiver_id=126147838&ref_url=%2Fitems%2F2666923093%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D126147838%26ref_url%3D%252Fhombre%252Faccesorios%252Fmochilas-y-bolsos%252Fmaletas%252F2666923093-maletin-msk-vintage%26source%3Dwantit%26subject%3Dwanted%253A%2BMaletin%2BMSK%2Bvintage&source=wantit&subject=wanted%3A+Maletin+MSK+vintage"
"Blazer ","https://www.vinted.es/kobiety/ubrania/zakiety-i-garnitury-532/2666922089-blazer","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666922089&receiver_id=37223138&ref_url=%2Fitems%2F2666922089%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D37223138%26ref_url%3D%252Fmujer%252Fropa%252Ftrajes-y-blazers%252Fblazers%252F2666922089-blazer%26source%3Dwantit%26subject%3Dwanted%253A%2BBlazer%2B&source=wantit&subject=wanted%3A+Blazer+"
"Vestido de cuero pegado","https://www.vinted.es/femmes/vetements/robes/petites-robes-noires/2666920832-vestido-de-cuero-pegado","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666920832&receiver_id=131381615&ref_url=%2Fitems%2F2666920832%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131381615%26ref_url%3D%252Fmujer%252Fropa%252Fvestidos%252Fvestidos-negros%252F2666920832-vestido-de-cuero-pegado%26source%3Dwantit%26subject%3Dwanted%253A%2BVestido%2Bde%2Bcuero%2Bpegado&source=wantit&subject=wanted%3A+Vestido+de+cuero+pegado"
"Falda reversible","https://www.vinted.es/femmes/vetements/jupes/mini-jupes/2666920758-falda-reversible","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666920758&receiver_id=131377090&ref_url=%2Fitems%2F2666920758%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131377090%26ref_url%3D%252Fmujer%252Fropa%252Ffaldas%252Fmini%252F2666920758-falda-reversible%26source%3Dwantit%26subject%3Dwanted%253A%2BFalda%2Breversible&source=wantit&subject=wanted%3A+Falda+reversible"
"100 Aniversario Camiseta Fútbol Real Madrid","https://www.vinted.es/hommes/vetements/vetements-de-sport-and-accessoires/autres/2666920704-100-aniversario-camiseta-futbol-real-madrid","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666920704&receiver_id=116507718&ref_url=%2Fitems%2F2666920704%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D116507718%26ref_url%3D%252Fhombre%252Fropa%252Fropa-y-accesorios-deportivos%252Fotros%252F2666920704-100-aniversario-camiseta-futbol-real-madrid%26source%3Dwantit%26subject%3Dwanted%253A%2B100%2BAniversario%2BCamiseta%2BF%25C3%25BAtbol%2BReal%2BMadrid&source=wantit&subject=wanted%3A+100+Aniversario+Camiseta+F%C3%BAtbol+Real+Madrid"
"Zapatos de tacón rojos","https://www.vinted.es/femmes/chaussures/chaussures-a-talons/talons-hauts-and-escarpins/2666920644-zapatos-de-tacon-rojos","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666920644&receiver_id=77074036&ref_url=%2Fitems%2F2666920644%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D77074036%26ref_url%3D%252Fmujer%252Fzapatos%252Ftacones%252Fzapatos-de-tacon%252F2666920644-zapatos-de-tacon-rojos%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatos%2Bde%2Btac%25C3%25B3n%2Brojos&source=wantit&subject=wanted%3A+Zapatos+de+tac%C3%B3n+rojos"
"Camisa","https://www.vinted.es/femmes/vetements/hauts-and-tee-shirts/chemises/2666920090-camisa","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666920090&receiver_id=110581776&ref_url=%2Fitems%2F2666920090%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D110581776%26ref_url%3D%252Fmujer%252Fropa%252Fcamisetas-y-tops%252Fcamisas%252F2666920090-camisa%26source%3Dwantit%26subject%3Dwanted%253A%2BCamisa&source=wantit&subject=wanted%3A+Camisa"
"Pantalón de g-star raw ","https://www.vinted.es/men/clothes/pants/other/2666925065-pantalon-de-g-star-raw","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666925065&receiver_id=128023844&ref_url=%2Fitems%2F2666925065%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D128023844%26ref_url%3D%252Fhombre%252Fropa%252Fpantalones%252Fotros%252F2666925065-pantalon-de-g-star-raw%26source%3Dwantit%26subject%3Dwanted%253A%2BPantal%25C3%25B3n%2Bde%2Bg-star%2Braw%2B&source=wantit&subject=wanted%3A+Pantal%C3%B3n+de+g-star+raw+"
"Abrigo de lana Quiksilver","https://www.vinted.es/men/clothes/coats-and-jackets/duffle-coats/2666925053-abrigo-de-lana-quiksilver","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666925053&receiver_id=27390852&ref_url=%2Fitems%2F2666925053%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D27390852%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-cazadoras%252Ftrencas%252F2666925053-abrigo-de-lana-quiksilver%26source%3Dwantit%26subject%3Dwanted%253A%2BAbrigo%2Bde%2Blana%2BQuiksilver&source=wantit&subject=wanted%3A+Abrigo+de+lana+Quiksilver"
"Vaquero ","https://www.vinted.es/kobiety/ubrania/jeansy/dzinsy-z-rozdarciami/2666917562-vaquero","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666917562&receiver_id=131379083&ref_url=%2Fitems%2F2666917562%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131379083%26ref_url%3D%252Fmujer%252Fropa%252Fvaqueros%252Fvaqueros-rotos%252F2666917562-vaquero%26source%3Dwantit%26subject%3Dwanted%253A%2BVaquero%2B&source=wantit&subject=wanted%3A+Vaquero+"
"Leggins ornomental","https://www.vinted.es/femmes/vetements/pantalons-and-leggings/leggings/2666919020-leggins-ornomental","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666919020&receiver_id=131381109&ref_url=%2Fitems%2F2666919020%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D131381109%26ref_url%3D%252Fmujer%252Fropa%252Fpantalones-y-leggings%252Fleggings%252F2666919020-leggins-ornomental%26source%3Dwantit%26subject%3Dwanted%253A%2BLeggins%2Bornomental&source=wantit&subject=wanted%3A+Leggins+ornomental"
"Zapatos ","https://www.vinted.es/femmes/chaussures/baskets/2666918664-zapatos","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2666918664&receiver_id=39017971&ref_url=%2Fitems%2F2666918664%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D39017971%26ref_url%3D%252Fmujer%252Fzapatos%252Fzapatillas%252F2666918664-zapatos%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatos%2B&source=wantit&subject=wanted%3A+Zapatos+"
