"Название товара","Ссылка на продавца","Ссылка на чат"
"Comisaria Pinypon Action","https://es.wallapop.com/item/comisaria-pinypon-action-870390734","https://es.wallapop.com/app/chat?itemId=8j3ekp2pvlz9"
"Gafas Smartphone 3D Netway Specula","https://es.wallapop.com/item/gafas-smartphone-3d-netway-specula-870391436","https://es.wallapop.com/app/chat?itemId=9jd218mnkl6k"
" Bohus Sofá con chaise longue","https://es.wallapop.com/item/bohus-sofa-con-chaise-longue-870391393","https://es.wallapop.com/app/chat?itemId=3zl1p0dk14jx"
"Patín eléctrico isinwheel s9","https://es.wallapop.com/item/patin-electrico-isinwheel-s9-870391374","https://es.wallapop.com/app/chat?itemId=pzprxd5g1k63"
"Disfraz fantasma niña 6 meses","https://es.wallapop.com/item/disfraz-fantasma-nina-6-meses-870391130","https://es.wallapop.com/app/chat?itemId=nzx0grmrx5z2"
"Sofa de piel Roche Bobois 2,25 largo seminuevo","https://es.wallapop.com/item/sofa-de-piel-roche-bobois-2-25-largo-seminuevo-870391065","https://es.wallapop.com/app/chat?itemId=wzvnd2k25qjl"
"Casa de madera","https://es.wallapop.com/item/casa-de-madera-870391489","https://es.wallapop.com/app/chat?itemId=wzvnd2k00rjl"
"Cluedo","https://es.wallapop.com/item/cluedo-870391466","https://es.wallapop.com/app/chat?itemId=x6qd1vn4vyjy"
"Airpods Pro precintados","https://es.wallapop.com/item/airpods-pro-precintados-870390812","https://es.wallapop.com/app/chat?itemId=9jd218m85l6k"
"SALA APTA PARA EXTERIOR ","https://es.wallapop.com/item/sala-apta-para-exterior-870390801","https://es.wallapop.com/app/chat?itemId=mzn87wewv0zn"
"Bolso azul Liu Jo","https://es.wallapop.com/item/bolso-azul-liu-jo-870391049","https://es.wallapop.com/app/chat?itemId=mzn87wew7kzn"
"Sudadera Anime Hunter X Hunter ","https://es.wallapop.com/item/sudadera-anime-hunter-x-hunter-870391036","https://es.wallapop.com/app/chat?itemId=9jd218m8126k"
"Sonda Lambda universal","https://es.wallapop.com/item/sonda-lambda-universal-870391009","https://es.wallapop.com/app/chat?itemId=xzorwxdxolz9"
"Busco empleo ","https://es.wallapop.com/item/busco-empleo-870390948","https://es.wallapop.com/app/chat?itemId=e65gd7r792jo"
"esteticista ","https://es.wallapop.com/item/esteticista-870390931","https://es.wallapop.com/app/chat?itemId=p61ym5e5kg65"
"Cojín de lactancia bonjourbébé XL","https://es.wallapop.com/item/cojin-de-lactancia-bonjourbebe-xl-870390968","https://es.wallapop.com/app/chat?itemId=wzy5gyoyoxj5"
"English file C1.2 + workbook answer key y entry ..","https://es.wallapop.com/item/english-file-c1-2---workbook-answer-key-y-entry-870390965","https://es.wallapop.com/app/chat?itemId=wzvnd2k2k4jl"
"Juego de mesa Risk (Edición revisada) (2008)","https://es.wallapop.com/item/juego-de-mesa-risk-edicion-revisada-2008-870390966","https://es.wallapop.com/app/chat?itemId=x6qd1vnvnqjy"
"Vestido marinero free style","https://es.wallapop.com/item/vestido-marinero-free-style-870390559","https://es.wallapop.com/app/chat?itemId=0j23ong87n6y"
"Vendo psp ","https://es.wallapop.com/item/vendo-psp-870391305","https://es.wallapop.com/app/chat?itemId=qjwpg217lqzo"
"Renault Scenic 2005","https://es.wallapop.com/item/renault-scenic-2005-870391296","https://es.wallapop.com/app/chat?itemId=e65gd7rpmmjo"
"bicicleta rin 26""","https://es.wallapop.com/item/bicicleta-rin-26-870391282","https://es.wallapop.com/app/chat?itemId=8j3ekp2p32z9"
"Libro Geografia e historia 3 de la Eso","https://es.wallapop.com/item/libro-geografia-e-historia-3-de-la-eso-870390479","https://es.wallapop.com/app/chat?itemId=p61ym5e8mx65"
"iphone 7 plus","https://es.wallapop.com/item/iphone-7-plus-870390456","https://es.wallapop.com/app/chat?itemId=qzmy07vm0gzv"
"Nintendo dsi (solo consola)","https://es.wallapop.com/item/nintendo-dsi-solo-consola-870391222","https://es.wallapop.com/app/chat?itemId=8z84p5r5xo63"
"alcatel ","https://es.wallapop.com/item/alcatel-870391214","https://es.wallapop.com/app/chat?itemId=4z4120r0plzy"
"Water heater/ calentador de aqua","https://es.wallapop.com/item/water-heater-870391207","https://es.wallapop.com/app/chat?itemId=p61ym5e5r565"
"tres ojos de buey ","https://es.wallapop.com/item/tres-ojos-de-buey-870391191","https://es.wallapop.com/app/chat?itemId=vjrrm4p4w8jk"
"Cómoda marrón oscuro ","https://es.wallapop.com/item/comoda-marron-oscuro-870391569","https://es.wallapop.com/app/chat?itemId=3zl1p0dk5njx"
"Peto vaquero cómodo nuevo ","https://es.wallapop.com/item/peto-vaquero-comodo-nuevo-870391572","https://es.wallapop.com/app/chat?itemId=e65gd7rpe2jo"
"traje de flamenca falda y corpiño talla 36","https://es.wallapop.com/item/traje-de-flamenca-falda-y-corpino-talla-36-870391565","https://es.wallapop.com/app/chat?itemId=wzvnd2k034jl"
"Armario","https://es.wallapop.com/item/armario-870390519","https://es.wallapop.com/app/chat?itemId=vjrrm4pe88jk"
"""Global Capitalism"" by Jeffry A. Frieden","https://es.wallapop.com/item/global-capitalism-by-jeffry-a-frieden-870390509","https://es.wallapop.com/app/chat?itemId=xzorwxdgq2z9"
"Espejo 1900. ","https://es.wallapop.com/item/espejo-1900-870391360","https://es.wallapop.com/app/chat?itemId=9jd218mn796k"
"Lavabo Roca","https://es.wallapop.com/item/lavabo-roca-870391355","https://es.wallapop.com/app/chat?itemId=p61ym5ekod65"
"Camiseta  manga corta ","https://es.wallapop.com/item/camiseta-manga-corta-870391341","https://es.wallapop.com/app/chat?itemId=wzvnd2k0r1jl"
"Abrigo Kiabi","https://es.wallapop.com/item/abrigo-kiabi-870390850","https://es.wallapop.com/app/chat?itemId=pzprxd5d2563"
"estufa pellets","https://es.wallapop.com/item/estufa-pellets-870391539","https://es.wallapop.com/app/chat?itemId=36exm8oponzd"
"espejo antiguo ","https://es.wallapop.com/item/espejo-antiguo-870391517","https://es.wallapop.com/app/chat?itemId=wzvnd2k0q4jl"
