"Название товара","Ссылка на продавца","Ссылка на чат"
"ofertas colchones 134/150 x 190","https://es.wallapop.com/item/ofertas-colchones-134-150-x-190-868981110","https://es.wallapop.com/app/chat?itemId=8j3ekxep18z9"
"Altavoz Thomson DS180U","https://es.wallapop.com/item/altavoz-thomson-ds180u-868981096","https://es.wallapop.com/app/chat?itemId=e65gd3g71kjo"
"puerta de madera","https://es.wallapop.com/item/puerta-de-madera-868980008","https://es.wallapop.com/app/chat?itemId=qzmy03yelozv"
"Traje Comunión Solidario Beig","https://es.wallapop.com/item/traje-comunion-solidario-beig-868979770","https://es.wallapop.com/app/chat?itemId=8z84pg4krr63"
"bicicleta de montaña","https://es.wallapop.com/item/bicicleta-de-montana-868979740","https://es.wallapop.com/app/chat?itemId=v6g2312ge2ze"
"labavo roca","https://es.wallapop.com/item/labavo-roca-868979741","https://es.wallapop.com/app/chat?itemId=wzvndln4q4jl"
"Maquina de escribir Olivetti elèctrica","https://es.wallapop.com/item/maquina-de-escribir-olivetti-electrica-868979930","https://es.wallapop.com/app/chat?itemId=nzx0gy04x5z2"
"Sillón relax reclinable eléctrico","https://es.wallapop.com/item/sillon-relax-reclinable-electrico-868980591","https://es.wallapop.com/app/chat?itemId=vjrrm9re78jk"
"PS4 CON 2 MANDOS, FIFA 21 Y GTA 5","https://es.wallapop.com/item/ps4-con-2-mandos-fifa-21-y-gta-5-868981207","https://es.wallapop.com/app/chat?itemId=p61ym7y5p565"
"essential  ","https://es.wallapop.com/item/essential-868981178","https://es.wallapop.com/app/chat?itemId=nzx0gy0ro5z2"
"Vans off the Wall Zapatillas ","https://es.wallapop.com/item/vans-off-the-wall-zapatillas-868980712","https://es.wallapop.com/app/chat?itemId=9jd21528x96k"
"Chandal Psg Blanco y Azul","https://es.wallapop.com/item/chandal-psg-blanco-y-azul-868980706","https://es.wallapop.com/app/chat?itemId=nzx0gy0rlmz2"
"Camara","https://es.wallapop.com/item/camara-868980904","https://es.wallapop.com/app/chat?itemId=w67yngyxk56x"
"Luigi's mansion 3 para nintendo switch","https://es.wallapop.com/item/luigi-s-mansion-3-para-nintendo-switch-868980910","https://es.wallapop.com/app/chat?itemId=8j3ekxepr7z9"
"Mesa de comedor y 6 sillas tapizadas","https://es.wallapop.com/item/mesa-de-comedor-y-6-sillas-tapizadas-868980413","https://es.wallapop.com/app/chat?itemId=pj950g540mze"
"Alfombra de pasillo","https://es.wallapop.com/item/alfombra-de-pasillo-868980407","https://es.wallapop.com/app/chat?itemId=p61ym7y81x65"
