"Название товара","Ссылка на продавца","Ссылка на чат"
"salón ","https://es.wallapop.com/item/salon-868202676","https://es.wallapop.com/app/chat?itemId=w67yn8w8x96x"
"Libro Filosofía y Ciudadanía ","https://es.wallapop.com/item/libro-filosofia-y-ciudadania-868202455","https://es.wallapop.com/app/chat?itemId=p61ym9gxp565"
"bicicleta adulto","https://es.wallapop.com/item/bicicleta-adulto-868202367","https://es.wallapop.com/app/chat?itemId=vjrrmywlg8jk"
"Bomba de alta presion","https://es.wallapop.com/item/bomba-de-alta-presion-868202858","https://es.wallapop.com/app/chat?itemId=8j3ekvnv9yz9"
"Cuna de viaje ","https://es.wallapop.com/item/cuna-de-viaje-868202292","https://es.wallapop.com/app/chat?itemId=wzy5gekd8vj5"
"Odisea - Arte de amar amores","https://es.wallapop.com/item/odisea-arte-de-amar-amores-868202200","https://es.wallapop.com/app/chat?itemId=e65gdmn4ekjo"
"placas solares ","https://es.wallapop.com/item/placas-solares-868201714","https://es.wallapop.com/app/chat?itemId=4z412o5w4rzy"
"Blusa rosa","https://es.wallapop.com/item/blusa-rosa-868202812","https://es.wallapop.com/app/chat?itemId=9jd21dld126k"
"Zapatillas Joma Talla 43.","https://es.wallapop.com/item/zapatillas-joma-talla-43-868202680","https://es.wallapop.com/app/chat?itemId=qzmy0glg7xzv"
"Libro actividades Fisher Price","https://es.wallapop.com/item/libro-actividades-fisher-price-868202100","https://es.wallapop.com/app/chat?itemId=e65gdmn472jo"
"Diccionario Ilustrado Latino-Español VOX","https://es.wallapop.com/item/diccionario-ilustrado-latino-espanol-vox-868201884","https://es.wallapop.com/app/chat?itemId=9jd21dyoo46k"
"GOCCI y DIOR 85€ 85€ ","https://es.wallapop.com/item/gocci-y-dior-85-85-868202040","https://es.wallapop.com/app/chat?itemId=v6g23my8gmze"
"Estufa pellets ","https://es.wallapop.com/item/estufa-pellets-868202854","https://es.wallapop.com/app/chat?itemId=nzx0gdkdp1z2"
"Juguete accesorio hamaca babybjorn ","https://es.wallapop.com/item/juguete-accesorio-hamaca-babybjorn-868201885","https://es.wallapop.com/app/chat?itemId=pj950dw330ze"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-868202459","https://es.wallapop.com/app/chat?itemId=0j23o9vm0e6y"
"Avión Spad VII 1916","https://es.wallapop.com/item/avion-spad-vii-1916-868201949","https://es.wallapop.com/app/chat?itemId=mzn874n9g2zn"
"Máquina fotográfica NIKON ","https://es.wallapop.com/item/maquina-fotografica-nikon-868202463","https://es.wallapop.com/app/chat?itemId=36exm9yq3kzd"
"mini horno","https://es.wallapop.com/item/mini-horno-868202442","https://es.wallapop.com/app/chat?itemId=x6qd1l7rpejy"
"pantalón a media pierna ","https://es.wallapop.com/item/pantalon-a-media-pierna-868201872","https://es.wallapop.com/app/chat?itemId=e65gdmnxxmjo"
"Colcha piqué 150 y cortinas","https://es.wallapop.com/item/colcha-pique-150-y-cortinas-868202625","https://es.wallapop.com/app/chat?itemId=mzn8745420zn"
"Botas para el frío","https://es.wallapop.com/item/botas-para-el-frio-868202196","https://es.wallapop.com/app/chat?itemId=e65gdmn4e2jo"
"air force 1","https://es.wallapop.com/item/air-force-1-868201967","https://es.wallapop.com/app/chat?itemId=vjrrmywlkljk"
"Camisa","https://es.wallapop.com/item/camisa-868202536","https://es.wallapop.com/app/chat?itemId=9jd21dldx96k"
"CAZADORA PIEL MUJER ITALIANA ","https://es.wallapop.com/item/cazadora-piel-mujer-italiana-868202300","https://es.wallapop.com/app/chat?itemId=e65gdmn450jo"
"Intel I7 7700k + RGB Mars Gaming MCPU33 ","https://es.wallapop.com/item/intel-i7-7700k---rgb-mars-gaming-mcpu33-868202841","https://es.wallapop.com/app/chat?itemId=wzvnd9m95qjl"
"Burro Rigga Ikea ","https://es.wallapop.com/item/burro-rigga-ikea-868202218","https://es.wallapop.com/app/chat?itemId=x6qd1l7r2njy"
"Balón Nike de la liga ","https://es.wallapop.com/item/balon-nike-de-la-liga-868202271","https://es.wallapop.com/app/chat?itemId=ejkkn2y10qjx"
"Despacho completo ALTA CALIDAD (No IKEA)","https://es.wallapop.com/item/despacho-completo-alta-calidad-no-ikea-868201699","https://es.wallapop.com/app/chat?itemId=nz0019enlezo"
"Bolso Guess","https://es.wallapop.com/item/bolso-guess-868202842","https://es.wallapop.com/app/chat?itemId=x6qd1l0lonjy"
"Gafas de sol y funda","https://es.wallapop.com/item/gafas-de-sol-y-funda-868202449","https://es.wallapop.com/app/chat?itemId=mzn874n9rgzn"
"Around the World in Eighty Days","https://es.wallapop.com/item/around-the-world-in-eighty-days-868202206","https://es.wallapop.com/app/chat?itemId=nzx0gd2391z2"
"Gabardina Marc Jacoba ","https://es.wallapop.com/item/gabardina-marc-jacoba-868202707","https://es.wallapop.com/app/chat?itemId=p61ym9r9kg65"
"Silla","https://es.wallapop.com/item/silla-868202344","https://es.wallapop.com/app/chat?itemId=wzy5gekd1pj5"
"pelota gimnasia rítmica amaya ","https://es.wallapop.com/item/pelota-gimnasia-ritmica-amaya-868202289","https://es.wallapop.com/app/chat?itemId=wzvnd9ox8qjl"
"falda cuero negra ","https://es.wallapop.com/item/falda-cuero-negra-868202614","https://es.wallapop.com/app/chat?itemId=4z412opo1wzy"
"se venden ","https://es.wallapop.com/item/se-venden-868201871","https://es.wallapop.com/app/chat?itemId=ejkkn2ygv1jx"
"Colección de cromos ","https://es.wallapop.com/item/coleccion-de-cromos-868202656","https://es.wallapop.com/app/chat?itemId=qzmy0glgmxzv"
"Splatoon 2 ","https://es.wallapop.com/item/splatoon-2-868202172","https://es.wallapop.com/app/chat?itemId=e65gdmn4r2jo"
"lámpara ","https://es.wallapop.com/item/lampara-868201692","https://es.wallapop.com/app/chat?itemId=wzy5gekm0vj5"
"Piano eléctrico","https://es.wallapop.com/item/piano-electrico-868202519","https://es.wallapop.com/app/chat?itemId=vjrrmy7yyljk"
"Recambios aspirador nasal suavinex","https://es.wallapop.com/item/recambios-aspirador-nasal-suavinex-868202781","https://es.wallapop.com/app/chat?itemId=xzorwknk05z9"
"Raspberry Pi 3 b+","https://es.wallapop.com/item/raspberry-pi-3-b-868201930","https://es.wallapop.com/app/chat?itemId=nzx0gd23dmz2"
"Meccano: Mountain Rally","https://es.wallapop.com/item/meccano-mountain-rally-868202294","https://es.wallapop.com/app/chat?itemId=8z84pv7y0l63"
"Alfombras ","https://es.wallapop.com/item/alfombras-868201932","https://es.wallapop.com/app/chat?itemId=qzmy0g52g1zv"
"Botellero en venta","https://es.wallapop.com/item/botellero-en-venta-868202012","https://es.wallapop.com/app/chat?itemId=9jd21dyg5l6k"
"Batería acústica ","https://es.wallapop.com/item/bateria-acustica-868202694","https://es.wallapop.com/app/chat?itemId=8z84pvxvw863"
"Sennheiser HD25SE HD 25 ","https://es.wallapop.com/item/sennheiser-hd25se-hd-25-868202695","https://es.wallapop.com/app/chat?itemId=ejkkn2l2epjx"
