"Название товара","Ссылка на продавца","Ссылка на чат"
"Sudadera diésel ","https://www.vinted.es/femmes/vetements/vetements-de-sport/sweats-and-sweats-a-capuche/2639753365-sudadera-diesel","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2639753365&receiver_id=124188339&ref_url=%2Fitems%2F2639753365%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D124188339%26ref_url%3D%252Fmujer%252Fropa%252Fropa-deportiva%252Fsudaderas%252F2639753365-sudadera-diesel%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2Bdi%25C3%25A9sel%2B&source=wantit&subject=wanted%3A+Sudadera+di%C3%A9sel+"
"Pichi de pana.","https://www.vinted.es/mujer/ropa/monos/otros-monos/2639759370-pichi-de-pana","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2639759370&receiver_id=128276923&ref_url=%2Fitems%2F2639759370%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D128276923%26ref_url%3D%252Fmujer%252Fropa%252Fmonos%252Fotros-monos%252F2639759370-pichi-de-pana%26source%3Dwantit%26subject%3Dwanted%253A%2BPichi%2Bde%2Bpana.&source=wantit&subject=wanted%3A+Pichi+de+pana."
"Zapatillas Munich talla 44","https://www.vinted.es/hommes/chaussures/baskets/2639757087-zapatillas-munich-talla-44","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2639757087&receiver_id=127801601&ref_url=%2Fitems%2F2639757087%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D127801601%26ref_url%3D%252Fhombre%252Fzapatos%252Fzapatillas%252F2639757087-zapatillas-munich-talla-44%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatillas%2BMunich%2Btalla%2B44&source=wantit&subject=wanted%3A+Zapatillas+Munich+talla+44"
"Guantes de portero","https://www.vinted.es/hommes/vetements/vetements-de-sport-and-accessoires/accessoires-de-sports/gants/2639762723-guantes-de-portero","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2639762723&receiver_id=49404246&ref_url=%2Fitems%2F2639762723%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D49404246%26ref_url%3D%252Fhombre%252Fropa%252Fropa-y-accesorios-deportivos%252Faccesorios%252Fguantes%252F2639762723-guantes-de-portero%26source%3Dwantit%26subject%3Dwanted%253A%2BGuantes%2Bde%2Bportero&source=wantit&subject=wanted%3A+Guantes+de+portero"
"Mochila vestir verde","https://www.vinted.es/kobiety/torby/plecaki/2639762665-mochila-vestir-verde","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2639762665&receiver_id=78034477&ref_url=%2Fitems%2F2639762665%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D78034477%26ref_url%3D%252Fmujer%252Fbolsos%252Fmochilas%252F2639762665-mochila-vestir-verde%26source%3Dwantit%26subject%3Dwanted%253A%2BMochila%2Bvestir%2Bverde&source=wantit&subject=wanted%3A+Mochila+vestir+verde"
"Chaqueta de purpurina blanca","https://www.vinted.es/mujer/ropa/abrigos-y-cazadoras/cazadoras/chaquetas-bomber/2639760640-chaqueta-de-purpurina-blanca","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2639760640&receiver_id=130304843&ref_url=%2Fitems%2F2639760640%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130304843%26ref_url%3D%252Fmujer%252Fropa%252Fabrigos-y-cazadoras%252Fcazadoras%252Fchaquetas-bomber%252F2639760640-chaqueta-de-purpurina-blanca%26source%3Dwantit%26subject%3Dwanted%253A%2BChaqueta%2Bde%2Bpurpurina%2Bblanca&source=wantit&subject=wanted%3A+Chaqueta+de+purpurina+blanca"
"Zapatillas  new balance ","https://www.vinted.es/hommes/chaussures/chaussures-de-sport/autres-sports/2639762996-zapatillas-new-balance","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2639762996&receiver_id=130313980&ref_url=%2Fitems%2F2639762996%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130313980%26ref_url%3D%252Fhombre%252Fzapatos%252Fzapatillas-de-deporte%252Fotras-zapatillas%252F2639762996-zapatillas-new-balance%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatillas%2B%2Bnew%2Bbalance%2B&source=wantit&subject=wanted%3A+Zapatillas++new+balance+"
"Sudadera roja y azul ","https://www.vinted.es/hommes/vetements/manteaux-and-vestes/manteaux/pardessus-et-manteaux-longs/2639765528-sudadera-roja-y-azul","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2639765528&receiver_id=130241472&ref_url=%2Fitems%2F2639765528%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130241472%26ref_url%3D%252Fhombre%252Fropa%252Fabrigos-y-chaquetas%252Fabrigos%252Fsobretodos-y-abrigos-largos%252F2639765528-sudadera-roja-y-azul%26source%3Dwantit%26subject%3Dwanted%253A%2BSudadera%2Broja%2By%2Bazul%2B&source=wantit&subject=wanted%3A+Sudadera+roja+y+azul+"
"Zapatillas Vans de Hombre ","https://www.vinted.es/hombre/zapatos/zapatillas/2639765426-zapatillas-vans-de-hombre","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2639765426&receiver_id=130013445&ref_url=%2Fitems%2F2639765426%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D130013445%26ref_url%3D%252Fhombre%252Fzapatos%252Fzapatillas%252F2639765426-zapatillas-vans-de-hombre%26source%3Dwantit%26subject%3Dwanted%253A%2BZapatillas%2BVans%2Bde%2BHombre%2B&source=wantit&subject=wanted%3A+Zapatillas+Vans+de+Hombre+"
"Jerey Eseoese","https://www.vinted.es/femmes/vetements/sweats-and-sweats-a-capuche/pulls-col-v/2639765220-jerey-eseoese","https://vinted.es/member/signup?button_name=message&ch=wd&item_id=2639765220&receiver_id=129463772&ref_url=%2Fitems%2F2639765220%2Fwant_it%2Fnew%3Fbutton_name%3Dmessage%26ch%3Dwd%26receiver_id%3D129463772%26ref_url%3D%252Fmujer%252Fropa%252Fjerseis-y-sudaderas%252Fcuello-de-pico%252F2639765220-jerey-eseoese%26source%3Dwantit%26subject%3Dwanted%253A%2BJerey%2BEseoese&source=wantit&subject=wanted%3A+Jerey+Eseoese"
