"Название товара","Ссылка на продавца","Ссылка на чат"
"sillas de madera para comedor ","https://es.wallapop.com/item/sillas-de-madera-para-comedor-872066894","https://es.wallapop.com/app/chat?itemId=8z84p9epvl63"
"Colchón (200x80cm) - Malfors- Ikea","https://es.wallapop.com/item/colchon-200x80cm-malfors-ikea-872066888","https://es.wallapop.com/app/chat?itemId=v6g23nv3m7ze"
"Patinete","https://es.wallapop.com/item/patinete-872066369","https://es.wallapop.com/app/chat?itemId=3zl1px5xg2jx"
"Bicicleta ORBEA GROW ","https://es.wallapop.com/item/bicicleta-orbea-grow-872066991","https://es.wallapop.com/app/chat?itemId=vjrrmvxmr8jk"
"canapés y colchones ","https://es.wallapop.com/item/canapes-y-colchones-872066968","https://es.wallapop.com/app/chat?itemId=wzy5gv9g7pj5"
"variación única de captus poco común.","https://es.wallapop.com/item/variacion-unica-de-captus-poco-comun-872066960","https://es.wallapop.com/app/chat?itemId=9jd214v15n6k"
"lobezno ","https://es.wallapop.com/item/lobezno-872066505","https://es.wallapop.com/app/chat?itemId=qjwpgv9v7qzo"
"camión escenario móvil ","https://es.wallapop.com/item/camion-escenario-movil-872066485","https://es.wallapop.com/app/chat?itemId=pj950qeqn0ze"
"consola Playstation 4 Slim 500Gb Negra Chassis F","https://es.wallapop.com/item/consola-playstation-4-slim-500gb-negra-chassis-f-872066931","https://es.wallapop.com/app/chat?itemId=p61ym1dmo765"
"Patinete eléctrico Xiaomi Mi Scooter Essential","https://es.wallapop.com/item/patinete-electrico-xiaomi-mi-scooter-essential-872066921","https://es.wallapop.com/app/chat?itemId=3zl1px5p42jx"
"mueble para comedor","https://es.wallapop.com/item/mueble-para-comedor-872066758","https://es.wallapop.com/app/chat?itemId=8j3ekogo17z9"
"Mesa ","https://es.wallapop.com/item/mesa-872066754","https://es.wallapop.com/app/chat?itemId=nzx0gv9v77z2"
"Llantas r13 seat/fiat","https://es.wallapop.com/item/llantas-r13-seat-fiat-872066743","https://es.wallapop.com/app/chat?itemId=vjrrmvxvg4jk"
"mando de ps4","https://es.wallapop.com/item/mando-de-ps4-872067125","https://es.wallapop.com/app/chat?itemId=mzn87mp7e2zn"
"bicicleta como nueva","https://es.wallapop.com/item/bicicleta-como-nueva-872067121","https://es.wallapop.com/app/chat?itemId=3zl1px5pd4jx"
"PS VITA","https://es.wallapop.com/item/ps-vita-872067063","https://es.wallapop.com/app/chat?itemId=36exmgvm8kzd"
"busco empleo ","https://es.wallapop.com/item/busco-empleo-872067051","https://es.wallapop.com/app/chat?itemId=nz001xd1rvzo"
"Gran Geografia Comarcal de Catalunya (15 tomos) ","https://es.wallapop.com/item/gran-geografia-comarcal-de-catalunya-15-tomos-872067019","https://es.wallapop.com/app/chat?itemId=vjrrmvxmqwjk"
"mueble de salón ","https://es.wallapop.com/item/mueble-de-salon-872067008","https://es.wallapop.com/app/chat?itemId=qzmy01n0eozv"
