"Название товара","Ссылка на продавца","Ссылка на чат"
"Zapatilla Nike ","https://es.wallapop.com/item/zapatilla-nike-871223146","https://es.wallapop.com/app/chat?itemId=8z84p2o94r63"
"Bicicleta estática ","https://es.wallapop.com/item/bicicleta-estatica-871221433","https://es.wallapop.com/app/chat?itemId=xzorw7y72lz9"
"Patinete Xiaomi Mija 365 200€","https://es.wallapop.com/item/patinete-xiaomi-mija-365-200-871223623","https://es.wallapop.com/app/chat?itemId=ejkkn5gn2pjx"
"Nike Phantom GT Elite FG ACC","https://es.wallapop.com/item/nike-phantom-gt-elite-fg-acc-871222884","https://es.wallapop.com/app/chat?itemId=9jd21eov046k"
" Royal Padel RP 790 WHIP 2023","https://es.wallapop.com/item/royal-padel-rp-790-whip-2023-871222795","https://es.wallapop.com/app/chat?itemId=ejkkn5grnyjx"
"Silla paseo maclaren quest arc","https://es.wallapop.com/item/silla-paseo-maclaren-quest-arc-871224042","https://es.wallapop.com/app/chat?itemId=x6qd1x51gejy"
"vendo bicicleta 26","https://es.wallapop.com/item/vendo-bicicleta-26-871224038","https://es.wallapop.com/app/chat?itemId=4z412qw2xlzy"
"Samsung Galaxy A32 (4+128)","https://es.wallapop.com/item/samsung-galaxy-a32-4-128-871223982","https://es.wallapop.com/app/chat?itemId=8j3ekr7k98z9"
"kit de peluquería ","https://es.wallapop.com/item/kit-de-peluqueria-871223802","https://es.wallapop.com/app/chat?itemId=pzprxwlxd463"
"Harley Quinn Disfraz Adulto","https://es.wallapop.com/item/harley-quinn-disfraz-adulto-871223731","https://es.wallapop.com/app/chat?itemId=p61ymqpmyg65"
"mesa de pino maciza y 4 sillas","https://es.wallapop.com/item/mesa-de-pino-maciza-y-4-sillas-871223045","https://es.wallapop.com/app/chat?itemId=3zl1pnvxe8jx"
"Barra olímpica 20 kg","https://es.wallapop.com/item/barra-olimpica-20-kg-871223024","https://es.wallapop.com/app/chat?itemId=e65gd9xe4pjo"
"Estufa de parafina","https://es.wallapop.com/item/estufa-de-parafina-871222983","https://es.wallapop.com/app/chat?itemId=0j23oq0epd6y"
"cama infantil con enerderon de regalo ","https://es.wallapop.com/item/cama-infantil-con-enerderon-de-regalo-871223275","https://es.wallapop.com/app/chat?itemId=nz001ynxyezo"
"Calentador de cera ","https://es.wallapop.com/item/calentador-de-cera-871224396","https://es.wallapop.com/app/chat?itemId=e65gd9xlp2jo"
"MALETA GIVI 47 L","https://es.wallapop.com/item/maleta-givi-47-l-871222249","https://es.wallapop.com/app/chat?itemId=mzn870reqgzn"
"Cruz Cafuné Moonlight 922 - Vinilo","https://es.wallapop.com/item/cruz-cafune-moonlight-922-vinilo-871221595","https://es.wallapop.com/app/chat?itemId=ejkkn5g5ryjx"
"Iphone 8 64GB","https://es.wallapop.com/item/iphone-8-871222713","https://es.wallapop.com/app/chat?itemId=pj950v3ervze"
"Traje nieve niño","https://es.wallapop.com/item/traje-nieve-nino-871222670","https://es.wallapop.com/app/chat?itemId=8z84p2oewl63"
"VENDO FRIGORÍFICO ","https://es.wallapop.com/item/vendo-frigorifico-871223381","https://es.wallapop.com/app/chat?itemId=xzorw7yo12z9"
"patinete Xiaomi pro2","https://es.wallapop.com/item/patinete-xiaomi-pro2-871222137","https://es.wallapop.com/app/chat?itemId=pj950v3rrvze"
"Libros de ciencias","https://es.wallapop.com/item/libros-de-ciencias-871222118","https://es.wallapop.com/app/chat?itemId=x6qd1x5nxojy"
"nintendo switch ","https://es.wallapop.com/item/nintendo-switch-871223488","https://es.wallapop.com/app/chat?itemId=v6g23ednw5ze"
"bici","https://es.wallapop.com/item/bici-871223477","https://es.wallapop.com/app/chat?itemId=qjwpgqxv04zo"
