"Название товара","Ссылка на продавца","Ссылка на чат"
"Bolso goyard","https://fr.wallapop.com/item/bolso-goyard-867388720","https://es.wallapop.com/app/chat?itemId=wzy5vmq75pj5"
"Sweat shirt zip cp company goggle ","https://fr.wallapop.com/item/sweat-shirt-zip-cp-company-goggle-865203595","https://es.wallapop.com/app/chat?itemId=ejkkwqyxnyjx"
"Sac à dos militaire ","https://fr.wallapop.com/item/sac-a-dos-militaire-790109630","https://es.wallapop.com/app/chat?itemId=nzx0y4m15pz2"
"cappello, sciarpa e guanti ","https://fr.wallapop.com/item/cappello-sciarpa-e-guanti-860157534","https://es.wallapop.com/app/chat?itemId=8j3eovlmm8z9"
"bag mac alyster","https://fr.wallapop.com/item/bag-mac-alyster-858316803","https://es.wallapop.com/app/chat?itemId=nz00de95wvzo"
"Nike dunk low retro ","https://fr.wallapop.com/item/nike-dunk-low-retro-866786724","https://es.wallapop.com/app/chat?itemId=e65g20dlv2jo"
"Adidas NMD_V3","https://fr.wallapop.com/item/adidas-nmd_v3-866778529","https://es.wallapop.com/app/chat?itemId=qjwpvovmoezo"
"Émeraude ","https://fr.wallapop.com/item/emeraude-839061366","https://es.wallapop.com/app/chat?itemId=x6qdx4rreqjy"
"Air force","https://fr.wallapop.com/item/air-force-830515431","https://es.wallapop.com/app/chat?itemId=p61yk54gv265"
"NIKE AIR ZOOM ALPHAFLY NEXT","https://fr.wallapop.com/item/nike-air-zoom-alphafly-next-856036853","https://es.wallapop.com/app/chat?itemId=qjwp9vdmy4zo"
"3 vegan surf ","https://fr.wallapop.com/item/3-vegan-surf-855815563","https://es.wallapop.com/app/chat?itemId=36exvvv32yzd"
"manteau beige long ","https://fr.wallapop.com/item/manteau-beige-long-855806469","https://es.wallapop.com/app/chat?itemId=3zl15550gqjx"
"Tn air tuned max","https://fr.wallapop.com/item/tn-air-tuned-max-868037557","https://es.wallapop.com/app/chat?itemId=xzorwk3lqwz9"
"Ceinture ","https://fr.wallapop.com/item/ceinture-864470288","https://es.wallapop.com/app/chat?itemId=v6g2n3rmv7ze"
"Lot Abaya ","https://fr.wallapop.com/item/lot-abaya-869622409","https://es.wallapop.com/app/chat?itemId=xzorw284vlz9"
"Felpa Disney","https://fr.wallapop.com/item/felpa-disney-867752180","https://es.wallapop.com/app/chat?itemId=qzmy12nvylzv"
"Eau de Parfum Orlov Blue Lili Paris ","https://fr.wallapop.com/item/eau-de-parfum-orlov-blue-lili-paris-863346095","https://es.wallapop.com/app/chat?itemId=ejkkwdk731jx"
"Bottines levi's ","https://fr.wallapop.com/item/bottines-levi-s-859793859","https://es.wallapop.com/app/chat?itemId=0j23eme72r6y"
"Collar tous vermeille nombre Ana","https://fr.wallapop.com/item/collar-tous-vermeille-nombre-ana-88105285","https://es.wallapop.com/app/chat?itemId=npj9ek0x00ze"
"Chaussons Hugo Boss noirs 43 neufs et authentiques","https://fr.wallapop.com/item/chaussons-hugo-boss-noirs-43-neufs-et-authentiques-857804992","https://es.wallapop.com/app/chat?itemId=wzy59192wpj5"
"Hoodie","https://fr.wallapop.com/item/hoodie-869600203","https://es.wallapop.com/app/chat?itemId=nz0014gm1ezo"
"shoes","https://fr.wallapop.com/item/shoes-864548893","https://es.wallapop.com/app/chat?itemId=3zl1xpywvpjx"
"Omega x Swatch MoonSwatch Mission On Earth","https://fr.wallapop.com/item/omega-x-swatch-moonswatch-mission-on-earth-864445909","https://es.wallapop.com/app/chat?itemId=xzorowogvwz9"
"VEJA CAMPO kaki blanc,taille: 39 ","https://fr.wallapop.com/item/veja-campo-kaki-blanc-taille-39-863801698","https://es.wallapop.com/app/chat?itemId=pzpr37xqe563"
"Crème guerlain","https://fr.wallapop.com/item/creme-guerlain-863010465","https://es.wallapop.com/app/chat?itemId=wzvnvqnkrqjl"
"Dr. Martens","https://fr.wallapop.com/item/dr-martens-861608635","https://es.wallapop.com/app/chat?itemId=0j23k3m9nv6y"
"One Piece 1000 celebration character ring","https://fr.wallapop.com/item/one-piece-1000-celebration-character-ring-857879247","https://es.wallapop.com/app/chat?itemId=ejkkr3387qjx"
"Burberry Trench-Coat","https://fr.wallapop.com/item/burberry-trench-coat-868561719","https://es.wallapop.com/app/chat?itemId=vjrrmk0l88jk"
"Camiseta PSG player issue stock pro 2022 Hakimi","https://fr.wallapop.com/item/maglia-psg-player-issue-stock-pro-2022-away-hakimi-867872949","https://es.wallapop.com/app/chat?itemId=mzn8m95v5yzn"
"The north face summit series amk L5 ","https://fr.wallapop.com/item/the-north-face-summit-series-amk-l5-862449656","https://es.wallapop.com/app/chat?itemId=qzmy17nlvozv"
"Casquette de base-ball vintage","https://fr.wallapop.com/item/casquette-de-base-ball-vintage-861029442","https://es.wallapop.com/app/chat?itemId=x6qd29myeejy"
"boot ","https://fr.wallapop.com/item/boot-865087571","https://es.wallapop.com/app/chat?itemId=ejkkwqd79rjx"
"les deux son à 60 ","https://fr.wallapop.com/item/les-deux-son-a-60-859036309","https://es.wallapop.com/app/chat?itemId=xzor05ry0wz9"
"parfum","https://fr.wallapop.com/item/parfum-868725708","https://es.wallapop.com/app/chat?itemId=qzmy04plo1zv"
"spray home","https://fr.wallapop.com/item/spray-home-859869584","https://es.wallapop.com/app/chat?itemId=9jd2vg0k5n6k"
"Jordan Jumpman Two Trey","https://fr.wallapop.com/item/jordan-jumpman-two-trey-868187825","https://es.wallapop.com/app/chat?itemId=mzn874drmkzn"
"Bolsa em couro","https://fr.wallapop.com/item/bolsa-em-couro-867175074","https://es.wallapop.com/app/chat?itemId=pzpr3neok463"
"Tela de cera 100% algodón","https://fr.wallapop.com/item/tela-de-cera-100-algodon-858222545","https://es.wallapop.com/app/chat?itemId=3zl15334w2jx"
"Sac à main LOUIS VUITTON","https://fr.wallapop.com/item/sac-a-main-louis-vuitton-857480527","https://es.wallapop.com/app/chat?itemId=nz00doxydrzo"
"Portefeuille billetero Flor de Barcelona","https://fr.wallapop.com/item/portefeuille-billetero-flor-de-barcelona-791453426","https://es.wallapop.com/app/chat?itemId=pzpr1w319963"
"jupe  zèbre","https://fr.wallapop.com/item/jupe-zebre-870269781","https://es.wallapop.com/app/chat?itemId=xzorwxlwk5z9"
"Robe mariée","https://fr.wallapop.com/item/robe-mariee-335384818","https://es.wallapop.com/app/chat?itemId=x6qkeypkvn6y"
"Brut Original  déodorants en spray 200 ml","https://fr.wallapop.com/item/brut-original-deodorants-en-spray-200-ml-868276496","https://es.wallapop.com/app/chat?itemId=e65gdvvpepjo"
"Pantalón psg ","https://fr.wallapop.com/item/pantalon-psg-860394082","https://es.wallapop.com/app/chat?itemId=8j3eompxw2z9"
"ultimate coffret","https://fr.wallapop.com/item/ultimate-coffret-855030180","https://es.wallapop.com/app/chat?itemId=qzmynp33p1zv"
