"Название товара","Ссылка на продавца","Ссылка на чат"
"Cocina","https://es.wallapop.com/item/cocina-868700083","https://es.wallapop.com/app/chat?itemId=0j23oynm5v6y"
"Ratón ","https://es.wallapop.com/item/raton-868700021","https://es.wallapop.com/app/chat?itemId=3zl1pg0o38jx"
"play 4 1T","https://es.wallapop.com/item/play-4-1t-868699100","https://es.wallapop.com/app/chat?itemId=e65gdy7x30jo"
"Dormitorio, cama de 90","https://es.wallapop.com/item/dormitorio-cama-de-90-868700008","https://es.wallapop.com/app/chat?itemId=qzmy0472dxzv"
"Colección de Sellos","https://es.wallapop.com/item/coleccion-de-sellos-868699997","https://es.wallapop.com/app/chat?itemId=mzn87lw9k2zn"
"PS3 muy buen estado","https://es.wallapop.com/item/ps3-muy-buen-estado-868699643","https://es.wallapop.com/app/chat?itemId=vjrrmd4ldxjk"
"Se vende juego y mando ","https://es.wallapop.com/item/se-vende-juego-y-mando-868699773","https://es.wallapop.com/app/chat?itemId=mzn87lw9wyzn"
"Tubo carga/descarga de camion","https://es.wallapop.com/item/tubo-corrugado-para-carga-descarga-de-camion-868698762","https://es.wallapop.com/app/chat?itemId=4z412v072mzy"
"Naughty Thoughts XXX Rated Suspenders (L)","https://es.wallapop.com/item/naughty-thoughts-xxx-rated-suspenders-l-868698722","https://es.wallapop.com/app/chat?itemId=8z84p15m9163"
"estufa ","https://es.wallapop.com/item/estufa-868699614","https://es.wallapop.com/app/chat?itemId=4z412v0dy8zy"
"honda CBR 125 ","https://es.wallapop.com/item/honda-cbr-125-868699577","https://es.wallapop.com/app/chat?itemId=qjwpgy2xmwzo"
"Cama nido ","https://es.wallapop.com/item/cama-nido-868699232","https://es.wallapop.com/app/chat?itemId=qzmy047qpozv"
"Pecera","https://es.wallapop.com/item/pecera-868699172","https://es.wallapop.com/app/chat?itemId=e65gdy7xq0jo"
"litera ","https://es.wallapop.com/item/litera-868698892","https://es.wallapop.com/app/chat?itemId=wzy5gny3k5j5"
"Guantes Nike Mercurial Talla 8","https://es.wallapop.com/item/guantes-nike-mercurial-talla-8-868699512","https://es.wallapop.com/app/chat?itemId=9jd2178o3d6k"
"Bolsa Brompton","https://es.wallapop.com/item/bolsa-brompton-868699447","https://es.wallapop.com/app/chat?itemId=ejkkn4pgopjx"
