"Название товара","Ссылка на продавца","Ссылка на чат"
"Barra con fregadero ","https://es.wallapop.com/item/barra-con-fregadero-868989688","https://es.wallapop.com/app/chat?itemId=v6g2312dq5ze"
"Cama matrimonio ","https://es.wallapop.com/item/cama-matrimonio-868989687","https://es.wallapop.com/app/chat?itemId=36exmnx3kkzd"
"Piano, Teclado, Casiotone","https://es.wallapop.com/item/piano-teclado-casiotone-868989752","https://es.wallapop.com/app/chat?itemId=w67yngym276x"
"Chaqueta alta costura","https://es.wallapop.com/item/chaqueta-alta-costura-868989878","https://es.wallapop.com/app/chat?itemId=nzx0gy013pz2"
"Malaguti  xtm 49cc","https://es.wallapop.com/item/malaguti-xtm-49cc-868989867","https://es.wallapop.com/app/chat?itemId=vjrrm9rnl9jk"
"Fifa 23","https://es.wallapop.com/item/fifa-23-868989416","https://es.wallapop.com/app/chat?itemId=v6g2312d27ze"
"Libro Gestión cinegética","https://es.wallapop.com/item/libro-gestion-cinegetica-868990077","https://es.wallapop.com/app/chat?itemId=qjwpgdpm2kzo"
"Tarjeta gráfica nvidia GEFORCE GT 730 4 gb DDR3","https://es.wallapop.com/item/tarjeta-grafica-nvidia-geforce-gt-730-4-gb-ddr3-868990053","https://es.wallapop.com/app/chat?itemId=qjwpgdpmrkzo"
"Nissan Trade 1997","https://es.wallapop.com/item/nissan-trade-1997-868990042","https://es.wallapop.com/app/chat?itemId=x6qd19drqnjy"
"luminaria campana ornalux.","https://es.wallapop.com/item/luminaria-campana-ornalux-868990926","https://es.wallapop.com/app/chat?itemId=pzprx1280k63"
"Mudanzas y Transportes ","https://es.wallapop.com/item/mudanzas-y-transportes-868990912","https://es.wallapop.com/app/chat?itemId=9jd215kdp96k"
"Zapatillas Lacoste","https://es.wallapop.com/item/zapatillas-lacoste-868990905","https://es.wallapop.com/app/chat?itemId=qjwpgd4l0qzo"
"Torno Profesional Molly Lac M12 68W 35.000 Rpm Bla","https://es.wallapop.com/item/torno-profesional-molly-lac-m12-68w-35-000-rpm-bla-868990902","https://es.wallapop.com/app/chat?itemId=pzprx1284k63"
"teclado gaming","https://es.wallapop.com/item/teclado-gaming-868990393","https://es.wallapop.com/app/chat?itemId=3zl1p91oq4jx"
"Vaquero rosa","https://es.wallapop.com/item/vaquero-rosa-868990378","https://es.wallapop.com/app/chat?itemId=nzx0gy03kmz2"
"bicicleta para niña","https://es.wallapop.com/item/bicicleta-para-nina-868989346","https://es.wallapop.com/app/chat?itemId=8z84pg4oqr63"
"mesa camilla aglomerado 70× 110","https://es.wallapop.com/item/mesa-camilla-aglomerado-70-110-868989575","https://es.wallapop.com/app/chat?itemId=nz001v0n27zo"
"Xiaomi Redmi Note 10 5G","https://es.wallapop.com/item/xiaomi-redmi-note-10-5g-868991598","https://es.wallapop.com/app/chat?itemId=pzprx12yvk63"
"Huawei","https://es.wallapop.com/item/huawei-868991587","https://es.wallapop.com/app/chat?itemId=36exmn1d3yzd"
"busco trabajo","https://es.wallapop.com/item/busco-trabajo-868991590","https://es.wallapop.com/app/chat?itemId=x6qd19mk55jy"
"iPhone 12 nuevo ","https://es.wallapop.com/item/iphone-12-nuevo-868991193","https://es.wallapop.com/app/chat?itemId=3zl1p984mnjx"
"Cargador rápido de iPhone ","https://es.wallapop.com/item/cargador-rapido-de-iphone-868991190","https://es.wallapop.com/app/chat?itemId=x6qd19mkqqjy"
"Plaza de garaje ","https://es.wallapop.com/item/plaza-de-garaje-868991178","https://es.wallapop.com/app/chat?itemId=nzx0gy4l47z2"
"Bicicleta niña ","https://es.wallapop.com/item/bicicleta-nina-868991177","https://es.wallapop.com/app/chat?itemId=qjwpgd4e4wzo"
"Mando PS5","https://es.wallapop.com/item/mando-ps5-868989775","https://es.wallapop.com/app/chat?itemId=nz001v0nerzo"
"Funda TECLADO para IPAD 10,9""","https://es.wallapop.com/item/funda-teclado-para-ipad-10-9-868990115","https://es.wallapop.com/app/chat?itemId=36exmnxqevzd"
"Objetivo Sony 28-70","https://es.wallapop.com/item/objetivo-sony-28-70-868990114","https://es.wallapop.com/app/chat?itemId=4z412g1dqrzy"
"wii 5 juegos 2 mandos y 3 bolante","https://es.wallapop.com/item/wii-5-juegos-2-mandos-y-3-bolante-868990113","https://es.wallapop.com/app/chat?itemId=pj950g58vvze"
"Patinete scooter","https://es.wallapop.com/item/patinete-scooter-868990106","https://es.wallapop.com/app/chat?itemId=nzx0gy03q5z2"
"Silla city mini","https://es.wallapop.com/item/silla-city-mini-868990243","https://es.wallapop.com/app/chat?itemId=vjrrm9rl3wjk"
"cuna bebe","https://es.wallapop.com/item/cuna-bebe-868990228","https://es.wallapop.com/app/chat?itemId=w67yngyqly6x"
"Camisa Nike de manga larga ","https://es.wallapop.com/item/camisa-nike-de-manga-larga-868991291","https://es.wallapop.com/app/chat?itemId=vjrrm9qkpxjk"
