"Название товара","Ссылка на продавца","Ссылка на чат"
"Trípode NIKOM original","https://es.wallapop.com/item/tripode-nikom-original-872088682","https://es.wallapop.com/app/chat?itemId=8j3ekokyn2z9"
"medias futbol","https://es.wallapop.com/item/medias-futbol-872088672","https://es.wallapop.com/app/chat?itemId=e65gd2dy0mjo"
"Guitarra gato negro ","https://es.wallapop.com/item/guitarra-gato-negro-872088645","https://es.wallapop.com/app/chat?itemId=3zl1pxpg3qjx"
"Altavoz","https://es.wallapop.com/item/altavoz-872088629","https://es.wallapop.com/app/chat?itemId=qjwpgvgy04zo"
"yogurtera años 80","https://es.wallapop.com/item/yogurtera-anos-80-872088609","https://es.wallapop.com/app/chat?itemId=xzorwow847z9"
"Ford Focus 1999","https://es.wallapop.com/item/ford-focus-1999-872087837","https://es.wallapop.com/app/chat?itemId=pj950q0kvmze"
"bane - the new batman adventures ","https://es.wallapop.com/item/bane-the-new-batman-adventures-872087833","https://es.wallapop.com/app/chat?itemId=xzorwowl7lz9"
"SEAT Ibiza 2014","https://es.wallapop.com/item/seat-ibiza-2014-872088798","https://es.wallapop.com/app/chat?itemId=pzprx3x1yk63"
"Cómoda restaurada","https://es.wallapop.com/item/comoda-restaurada-872088794","https://es.wallapop.com/app/chat?itemId=8z84p9pgq163"
"Figura Biyomon/Piyomon","https://es.wallapop.com/item/figura-biyomon-piyomon-872088702","https://es.wallapop.com/app/chat?itemId=pzprx3x9nk63"
"Habitación en alquiler","https://es.wallapop.com/item/habitacion-en-alquiler-872088504","https://es.wallapop.com/app/chat?itemId=w67yn9ndn86x"
"estufa gas ","https://es.wallapop.com/item/estufa-gas-872088482","https://es.wallapop.com/app/chat?itemId=8j3ekokyoyz9"
"Altavoces CMK X9 ","https://es.wallapop.com/item/altavoces-cmk-x9-872087925","https://es.wallapop.com/app/chat?itemId=mzn87m7gmyzn"
"estructura cama 90 x 200 cm","https://es.wallapop.com/item/estructura-cama-90-x-200-cm-872087897","https://es.wallapop.com/app/chat?itemId=mzn87m7gpkzn"
"Silla paseo Maclaren Quest","https://es.wallapop.com/item/silla-paseo-maclaren-quest-872088226","https://es.wallapop.com/app/chat?itemId=pzprx3x9y563"
"Jarrón Jambo","https://es.wallapop.com/item/jarron-jambo-872088776","https://es.wallapop.com/app/chat?itemId=w67yn9ng876x"
"Azulejo antiguo ","https://es.wallapop.com/item/azulejo-antiguo-872088744","https://es.wallapop.com/app/chat?itemId=wzy5gvgndej5"
"Libro ""El Vizconde que me amó""","https://es.wallapop.com/item/libro-el-vizconde-que-me-amo-872087762","https://es.wallapop.com/app/chat?itemId=4z41232y8vzy"
"Hucha Hello Kitty - Sanrio","https://es.wallapop.com/item/hucha-hello-kitty-sanrio-872088333","https://es.wallapop.com/app/chat?itemId=xzorwow825z9"
"se vende litera","https://es.wallapop.com/item/se-vende-litera-872088304","https://es.wallapop.com/app/chat?itemId=w67yn9ndy56x"
"Funko Deku N.247","https://es.wallapop.com/item/funko-deku-n-247-872088200","https://es.wallapop.com/app/chat?itemId=e65gd2dympjo"
"Lavavajillas Whirlpool A++","https://es.wallapop.com/item/lavavajillas-whirlpool-a--872088370","https://es.wallapop.com/app/chat?itemId=8z84p9p15r63"
"Moneda de 20cent. de Malta ","https://es.wallapop.com/item/moneda-de-20cent-de-malta-872088477","https://es.wallapop.com/app/chat?itemId=qjwpgvgy9kzo"
"Chándal Adidas ","https://es.wallapop.com/item/chandal-adidas-872088445","https://es.wallapop.com/app/chat?itemId=3zl1pxpgdpjx"
"SEAT Altea 2010","https://es.wallapop.com/item/seat-altea-2010-872088441","https://es.wallapop.com/app/chat?itemId=wzvndvdykqjl"
"Zapatillas Trainning/Competition Mixed","https://es.wallapop.com/item/zapatillas-trainning-competition-mixed-872088434","https://es.wallapop.com/app/chat?itemId=8j3ekoky2yz9"
"Escritorio","https://es.wallapop.com/item/escritorio-872088426","https://es.wallapop.com/app/chat?itemId=pzprx3x9w463"
"espejo joyero","https://es.wallapop.com/item/espejo-joyero-872088548","https://es.wallapop.com/app/chat?itemId=e65gd2dyl0jo"
"Vendo bicicleta de aluminio ","https://es.wallapop.com/item/vendo-bicicleta-de-aluminio-872087881","https://es.wallapop.com/app/chat?itemId=xzorwowl0lz9"
"Cómoda bajo lavabo para restaurar","https://es.wallapop.com/item/comoda-bajo-lavabo-para-restaurar-872087869","https://es.wallapop.com/app/chat?itemId=3zl1pxp4dpjx"
"Limpieza  de hogar","https://es.wallapop.com/item/limpieza-de-hogar-872087756","https://es.wallapop.com/app/chat?itemId=qzmy0109elzv"
"Vendo Bugaboo Cameleon 3","https://es.wallapop.com/item/vendo-bugaboo-cameleon-3-872087747","https://es.wallapop.com/app/chat?itemId=ejkknwnx8rjx"
"se vende Patín Xaomi 1","https://es.wallapop.com/item/se-vende-patin-xaomi-1-872088013","https://es.wallapop.com/app/chat?itemId=pj950q0kp0ze"
"Estantería doble","https://es.wallapop.com/item/estanteria-doble-872087997","https://es.wallapop.com/app/chat?itemId=mzn87m7gqyzn"
"Camiseta Manchester city 20€ negociable","https://es.wallapop.com/item/camiseta-manchester-city-20-negociable-872087994","https://es.wallapop.com/app/chat?itemId=8z84p9pq0d63"
"catalizador","https://es.wallapop.com/item/catalizador-872088428","https://es.wallapop.com/app/chat?itemId=w67yn9ndkw6x"
"Monopatín eléctrico ","https://es.wallapop.com/item/monopatin-electrico-872088407","https://es.wallapop.com/app/chat?itemId=p61ym1mokx65"
"Mudanzas Baratas NacionaleS","https://es.wallapop.com/item/mudanzas-baratas-nacionales-872088398","https://es.wallapop.com/app/chat?itemId=pzprx3x9gm63"
