"Название товара","Ссылка на продавца","Ссылка на чат"
"Taladro Bosch nuevo ","https://es.wallapop.com/item/taladro-bosch-nuevo-870914232","https://es.wallapop.com/app/chat?itemId=qzmy0pg3rgzv"
"Tv 43"" Samsung","https://es.wallapop.com/item/tv-43-samsung-870914218","https://es.wallapop.com/app/chat?itemId=x6qd1xl90njy"
"Vitrina frigorífica vertical de puerta curva","https://es.wallapop.com/item/vitrina-frigorifica-vertical-de-puerta-curva-870914207","https://es.wallapop.com/app/chat?itemId=p61ymq97gx65"
"PINGANILLO","https://es.wallapop.com/item/pinganillo-870914180","https://es.wallapop.com/app/chat?itemId=qzmy0pg3klzv"
"cuna de viaje","https://es.wallapop.com/item/cuna-de-viaje-870914352","https://es.wallapop.com/app/chat?itemId=w67ynk8yd86x"
"Secador de pelo 5 en 1","https://es.wallapop.com/item/secador-de-pelo-5-en-1-870914282","https://es.wallapop.com/app/chat?itemId=8j3ekrvx3yz9"
"Ropa Niña 0-9 meses ","https://es.wallapop.com/item/ropa-nina-0-9-meses-870914280","https://es.wallapop.com/app/chat?itemId=qzmy0pg32gzv"
"casco nzi","https://es.wallapop.com/item/casco-nzi-870913896","https://es.wallapop.com/app/chat?itemId=e65gd9m37mjo"
"EMPRESA DE REFORMAS INTEGRALES--","https://es.wallapop.com/item/empresa-de-reformas-integrales-870913863","https://es.wallapop.com/app/chat?itemId=36exme9n1kzd"
"Schuberth c5 usado 3 veces con SC2 incluido","https://es.wallapop.com/item/schuberth-c5-usado-3-veces-con-sc2-incluido-870914972","https://es.wallapop.com/app/chat?itemId=e65gd9m830jo"
"Tambor","https://es.wallapop.com/item/tambor-870914729","https://es.wallapop.com/app/chat?itemId=qjwpgqlpwwzo"
"arte sin artistas Una mirada al paleolítico ","https://es.wallapop.com/item/arte-sin-artistas-una-mirada-al-paleolitico-870914683","https://es.wallapop.com/app/chat?itemId=0j23oq93dv6y"
"Traje Carnaval Lila.","https://es.wallapop.com/item/traje-carnaval-lila-870914657","https://es.wallapop.com/app/chat?itemId=xzorw7kr14z9"
"PORTERÍA DE FÚTBOL ","https://es.wallapop.com/item/porteria-de-futbol-870915205","https://es.wallapop.com/app/chat?itemId=qjwpgql4ggzo"
"Estructura de toldo","https://es.wallapop.com/item/estructura-de-toldo-870915162","https://es.wallapop.com/app/chat?itemId=4z412qoekmzy"
"Pareja de apliques inox.","https://es.wallapop.com/item/pareja-de-apliques-inox-870915157","https://es.wallapop.com/app/chat?itemId=xzorw7k20wz9"
"Se vende wod of war ragnarok ","https://es.wallapop.com/item/se-vende-wod-of-war-ragnarok-870913789","https://es.wallapop.com/app/chat?itemId=wzvndq9lydjl"
"Sofa de dos plazas .","https://es.wallapop.com/item/sofa-de-dos-plazas-870915421","https://es.wallapop.com/app/chat?itemId=3zl1pne8vpjx"
"consola PlayStation 4 pro","https://es.wallapop.com/item/consola-playstation-4-pro-870913513","https://es.wallapop.com/app/chat?itemId=pj950vdy7kze"
"grifo de cerveza con enfriador","https://es.wallapop.com/item/grifo-de-cerveza-con-enfriador-870913485","https://es.wallapop.com/app/chat?itemId=pj950vdy0oze"
"Mesa de madera maciza","https://es.wallapop.com/item/mesa-de-madera-maciza-870913489","https://es.wallapop.com/app/chat?itemId=wzvndq9y5rjl"
"Fifa 23","https://es.wallapop.com/item/fifa-23-870913494","https://es.wallapop.com/app/chat?itemId=8z84p2v1l863"
"Precio negociable ","https://es.wallapop.com/item/precio-negociable-870913476","https://es.wallapop.com/app/chat?itemId=w67ynk8dn96x"
"pack ps4","https://es.wallapop.com/item/pack-ps4-870914847","https://es.wallapop.com/app/chat?itemId=ejkkn52kgqjx"
"Blu-ray Aventuras","https://es.wallapop.com/item/blu-ray-aventuras-870913649","https://es.wallapop.com/app/chat?itemId=mzn8704l5kzn"
"portal aluminio ","https://es.wallapop.com/item/portal-aluminio-870914156","https://es.wallapop.com/app/chat?itemId=qzmy0pg3dlzv"
"Estanterías ","https://es.wallapop.com/item/estanterias-870915251","https://es.wallapop.com/app/chat?itemId=nz001y943dzo"
"lampara de techo ","https://es.wallapop.com/item/lampara-de-techo-870915250","https://es.wallapop.com/app/chat?itemId=pzprxw82q563"
"Trona Stokke","https://es.wallapop.com/item/trona-stokke-870913981","https://es.wallapop.com/app/chat?itemId=xzorw7kvdwz9"
"Vespa GTS Supersport 125 ","https://es.wallapop.com/item/vespa-gts-supersport-125-870914582","https://es.wallapop.com/app/chat?itemId=8j3ekrveglz9"
"Dragon Negro de Ojos Rojos - GHOST RARA ( yugioh )","https://es.wallapop.com/item/dragon-negro-de-ojos-rojos-ghost-rara-yugioh-870914496","https://es.wallapop.com/app/chat?itemId=e65gd9mgpmjo"
"MARIO KART 8 DELUXE (Nintendo Switch).","https://es.wallapop.com/item/mario-kart-8-deluxe-nintendo-switch-870914476","https://es.wallapop.com/app/chat?itemId=w67ynk8yxy6x"
"Camilla de masajes","https://es.wallapop.com/item/camilla-de-masajes-870914442","https://es.wallapop.com/app/chat?itemId=x6qd1xldmejy"
"Cromos selección Francesa ","https://es.wallapop.com/item/cromos-seleccion-francesa-870916222","https://es.wallapop.com/app/chat?itemId=8z84p2v55o63"
"SILENCE S02","https://es.wallapop.com/item/silence-s02-870916206","https://es.wallapop.com/app/chat?itemId=nzx0gqdrrez2"
"Nevera vitrina ","https://es.wallapop.com/item/nevera-vitrina-870916155","https://es.wallapop.com/app/chat?itemId=p61ymq954765"
"Plaquetas azulejos","https://es.wallapop.com/item/plaquetas-azulejos-870915589","https://es.wallapop.com/app/chat?itemId=wzvndq9g4djl"
"Skoda Octavia 1.9TDI","https://es.wallapop.com/item/skoda-octavia-1-9tdi-870915547","https://es.wallapop.com/app/chat?itemId=ejkkn52m9yjx"
