"Название товара","Ссылка на продавца","Ссылка на чат"
"Comoda","https://es.wallapop.com/item/comoda-868784404","https://es.wallapop.com/app/chat?itemId=w67yndldvy6x"
"Mallas pus ap negras","https://es.wallapop.com/item/mallas-pus-ap-negras-868784670","https://es.wallapop.com/app/chat?itemId=8z84p1l13863"
"Reloj Radiant Smart watch ras20202 
 Batería 75%","https://es.wallapop.com/item/reloj-radiant-smart-watch-ras20202-bateria-75-868784656","https://es.wallapop.com/app/chat?itemId=qzmy04w4xxzv"
"Pasear perros","https://es.wallapop.com/item/pasear-perros-868784653","https://es.wallapop.com/app/chat?itemId=qjwpgyny5gzo"
"Jordan retro 4 oreo ","https://es.wallapop.com/item/jordan-retro-4-oreo-868784476","https://es.wallapop.com/app/chat?itemId=w67yndldky6x"
"Bicicleta estática indoor, marca HAIGE","https://es.wallapop.com/item/bicicleta-estatica-indoor-marca-haige-868785192","https://es.wallapop.com/app/chat?itemId=wzy5gn078ej5"
"Fundas iphone xr","https://es.wallapop.com/item/fundas-iphone-xr-868785171","https://es.wallapop.com/app/chat?itemId=ejkkn40909jx"
"carro bebé ","https://es.wallapop.com/item/carro-bebe-868785066","https://es.wallapop.com/app/chat?itemId=x6qd1yo9xejy"
"GESTIÓN DE REDES SOCIALES","https://es.wallapop.com/item/gestion-de-redes-sociales-868785060","https://es.wallapop.com/app/chat?itemId=9jd217r5e46k"
"bicicleta","https://es.wallapop.com/item/bicicleta-868785061","https://es.wallapop.com/app/chat?itemId=pj950ylgv0ze"
"Pantalón blanco de Stradivarius ","https://es.wallapop.com/item/pantalon-blanco-de-stradivarius-868785055","https://es.wallapop.com/app/chat?itemId=p61ymol7q565"
"ladrillo refractario para barbacoa","https://es.wallapop.com/item/ladrillo-refractario-para-barbacoa-868784952","https://es.wallapop.com/app/chat?itemId=w67yndlg486x"
"Silla ikea azul","https://es.wallapop.com/item/silla-ikea-azul-868784922","https://es.wallapop.com/app/chat?itemId=8z84p1lggd63"
"faro led, Volkswagen Passat 2017","https://es.wallapop.com/item/faro-led-volkswagen-passat-2017-868785026","https://es.wallapop.com/app/chat?itemId=pzprx9m1g963"
"cazadora de piel","https://es.wallapop.com/item/cazadora-de-piel-868785008","https://es.wallapop.com/app/chat?itemId=qzmy04w37ozv"
"VITROCERÁMICA ","https://es.wallapop.com/item/vitroceramica-868785752","https://es.wallapop.com/app/chat?itemId=w67yndlyl76x"
"Funko Pop Harry Potter Albus Dumbledore","https://es.wallapop.com/item/funko-pop-harry-potter-albus-dumbledore-868785732","https://es.wallapop.com/app/chat?itemId=qzmy04wy01zv"
"Samsung galaxi S22","https://es.wallapop.com/item/samsung-galaxi-s22-868784804","https://es.wallapop.com/app/chat?itemId=w67yndldmw6x"
"PEGATINAS PARA MOTO DUKE 200","https://es.wallapop.com/item/pegatinas-para-moto-duke-200-868784787","https://es.wallapop.com/app/chat?itemId=36exmwrw3nzd"
"Arcón","https://es.wallapop.com/item/arcon-868785431","https://es.wallapop.com/app/chat?itemId=p61ymoly9x65"
"Botas Hombre ","https://es.wallapop.com/item/botas-hombre-868785426","https://es.wallapop.com/app/chat?itemId=pzprx9mr8463"
"Moneda Oro ","https://es.wallapop.com/item/moneda-oro-868784141","https://es.wallapop.com/app/chat?itemId=wzvndy5ro4jl"
"isaarar","https://es.wallapop.com/item/isaarar-868784133","https://es.wallapop.com/app/chat?itemId=xzorw81l95z9"
"DREADLOCKS (RASTAS) Y TRENZAS AFRICANAS","https://es.wallapop.com/item/dreadlocks-rastas-y-trenzas-africanas-868784134","https://es.wallapop.com/app/chat?itemId=8j3ekylm17z9"
"Britax-Römer Dualfix i-Size 40-105cm Blue Marble","https://es.wallapop.com/item/britax-romer-dualfix-i-size-40-105cm-blue-marble-868784135","https://es.wallapop.com/app/chat?itemId=0j23oylwxm6y"
"TV ","https://es.wallapop.com/item/tv-868784989","https://es.wallapop.com/app/chat?itemId=wzvndy5lgdjl"
"Armario congelador ","https://es.wallapop.com/item/armario-congelador-868784990","https://es.wallapop.com/app/chat?itemId=x6qd1yo9qojy"
"Nikon D50","https://es.wallapop.com/item/nikon-d50-868784985","https://es.wallapop.com/app/chat?itemId=pj950ylg4vze"
"Marilyn Monroe ","https://es.wallapop.com/item/marilyn-monroe-868785468","https://es.wallapop.com/app/chat?itemId=wzy5gn05nvj5"
"Motosierra Husqvarna 576 XP sin estrenar.","https://es.wallapop.com/item/motosierra-husqvarna-576-xp-sin-estrenar-868785465","https://es.wallapop.com/app/chat?itemId=wzvndy5nyqjl"
"guillotina electrica","https://es.wallapop.com/item/guillotina-electrica-868784326","https://es.wallapop.com/app/chat?itemId=pzprx9m99l63"
"Bicicleta estática","https://es.wallapop.com/item/bicicleta-estatica-868784327","https://es.wallapop.com/app/chat?itemId=nz001mlmm7zo"
"Bolsa de palos golf mujer ","https://es.wallapop.com/item/bolsa-de-palos-golf-mujer-868785110","https://es.wallapop.com/app/chat?itemId=8j3ekylxglz9"
"Lote","https://es.wallapop.com/item/lote-868785090","https://es.wallapop.com/app/chat?itemId=x6qd1yo9nejy"
"Mangas my hero academy del 1 al 9","https://es.wallapop.com/item/mangas-my-hero-academy-del-1-al-9-868784532","https://es.wallapop.com/app/chat?itemId=qzmy04w4n1zv"
"Baldas blancas","https://es.wallapop.com/item/baldas-blancas-868784508","https://es.wallapop.com/app/chat?itemId=qzmy04w4v1zv"
"Ordenador portátil Hp, Core i3, 8gb ram ddr 3, ssd","https://es.wallapop.com/item/ordenador-portatil-hp-core-i3-8gb-ram-ddr-3-ssd-868784501","https://es.wallapop.com/app/chat?itemId=mzn87lxle2zn"
