"Название товара","Ссылка на продавца","Ссылка на чат"
"Patinete Xiaomi 1S","https://es.wallapop.com/item/patinete-xiaomi-1s-870981174","https://es.wallapop.com/app/chat?itemId=pzprxw289k63"
"Busco empleo","https://es.wallapop.com/item/busco-empleo-870981842","https://es.wallapop.com/app/chat?itemId=x6qd1xmkqyjy"
"Ordenador de mesa ","https://es.wallapop.com/item/ordenador-de-mesa-870981138","https://es.wallapop.com/app/chat?itemId=4z412qeoomzy"
"espagueti doblao","https://es.wallapop.com/item/espagueti-doblao-870981623","https://es.wallapop.com/app/chat?itemId=ejkkn582l1jx"
"Kit de entrenamiento baño","https://es.wallapop.com/item/kit-de-entrenamiento-bano-870981361","https://es.wallapop.com/app/chat?itemId=pj950vmdrkze"
"Tablet Alcatel","https://es.wallapop.com/item/tablet-alcatel-870981359","https://es.wallapop.com/app/chat?itemId=0j23oq49qm6y"
"Xbox S 500 gb","https://es.wallapop.com/item/xbox-s-500-gb-870981342","https://es.wallapop.com/app/chat?itemId=x6qd1xmlxqjy"
"Se vende ","https://es.wallapop.com/item/se-vende-870981033","https://es.wallapop.com/app/chat?itemId=xzorw7ren7z9"
"vendo Cachorros de Ratonero Valenciano","https://es.wallapop.com/item/vendo-cachorros-de-ratonero-valenciano-870981914","https://es.wallapop.com/app/chat?itemId=4z412qeyqvzy"
"Máquina de afeitar","https://es.wallapop.com/item/maquina-de-afeitar-870981903","https://es.wallapop.com/app/chat?itemId=nz001y4gw3zo"
"faro coche","https://es.wallapop.com/item/faro-coche-870981650","https://es.wallapop.com/app/chat?itemId=pzprxw28l963"
"Opel Astra 2010","https://es.wallapop.com/item/opel-astra-2010-870981639","https://es.wallapop.com/app/chat?itemId=36exme192kzd"
"Fifa 23 ps4","https://es.wallapop.com/item/fifa-23-ps4-870981386","https://es.wallapop.com/app/chat?itemId=4z412qeokvzy"
