"Название товара","Ссылка на продавца","Ссылка на чат"
"Sillon barbero","https://es.wallapop.com/item/sillon-barbero-870401370","https://es.wallapop.com/app/chat?itemId=8z84p5eqed63"
"Equipo para esquiar","https://es.wallapop.com/item/equipo-para-esquiar-870401330","https://es.wallapop.com/app/chat?itemId=nzx0gr9lm5z2"
"Comoda vintage ","https://es.wallapop.com/item/comoda-vintage-870401209","https://es.wallapop.com/app/chat?itemId=xzorwx0l2lz9"
"Samsung galaxy s21 ultra 5g","https://es.wallapop.com/item/samsung-galaxy-s21-ultra-5g-870394539","https://es.wallapop.com/app/chat?itemId=36exm8omknzd"
"subwoofer y etapa alpine","https://es.wallapop.com/item/subwoofer-y-etapa-alpine-870394466","https://es.wallapop.com/app/chat?itemId=x6qd1vn12yjy"
"Gel semi-permanente","https://es.wallapop.com/item/gel-semi-permanente-870398045","https://es.wallapop.com/app/chat?itemId=3zl1p0dy28jx"
"PIANO DIGITAL KAWAI ES110","https://es.wallapop.com/item/piano-digital-kawai-es110-870403419","https://es.wallapop.com/app/chat?itemId=vjrrm4xqk9jk"
"ps4 con mando negociable","https://es.wallapop.com/item/ps4-con-mando-negociable-870403401","https://es.wallapop.com/app/chat?itemId=mzn87wp240zn"
"habitación infantil juvenil de pino","https://es.wallapop.com/item/habitacion-infantil-juvenil-de-pino-870403395","https://es.wallapop.com/app/chat?itemId=ejkknpr829jx"
"este tele se llama LG 32 pulgadas","https://es.wallapop.com/item/este-tele-se-llama-lg-32-pulgadas-870403350","https://es.wallapop.com/app/chat?itemId=pzprxd7rlk63"
"Mmlasa San Remo","https://es.wallapop.com/item/mmlasa-san-remo-870398940","https://es.wallapop.com/app/chat?itemId=v6g23ok9pnze"
"Jacket buceo beuchat","https://es.wallapop.com/item/jacket-buceo-beuchat-870398873","https://es.wallapop.com/app/chat?itemId=mzn87weyvkzn"
"Máquina - estación de pesas multifunción","https://es.wallapop.com/item/maquina-estacion-de-pesas-multifuncion-870396207","https://es.wallapop.com/app/chat?itemId=p61ym5e31265"
"Xiaomi Remi Note11.Pro5G.128GB azul","https://es.wallapop.com/item/xiaomi-remi-note11-pro5g-128gb-azul-870396096","https://es.wallapop.com/app/chat?itemId=e65gd7rkpmjo"
"smartgyro speedway","https://es.wallapop.com/item/smartgyro-speedway-870394059","https://es.wallapop.com/app/chat?itemId=0j23ongkvr6y"
"Lenovo Tab P11","https://es.wallapop.com/item/lenovo-tab-p11-870393945","https://es.wallapop.com/app/chat?itemId=3zl1p0dx7njx"
"Sudadera Off White","https://es.wallapop.com/item/sudadera-off-white-870393925","https://es.wallapop.com/app/chat?itemId=mzn87wem77zn"
