"Название товара","Ссылка на продавца","Ссылка на чат"
"lavajillas","https://es.wallapop.com/item/lavajillas-870674942","https://es.wallapop.com/app/chat?itemId=x6qd14q0nojy"
"Vendo nevera / refrigerador por 40€","https://es.wallapop.com/item/vendo-nevera-refrigerador-por-40-870676393","https://es.wallapop.com/app/chat?itemId=3zl1pkmvo4jx"
"multicultora Honda","https://es.wallapop.com/item/multicultora-honda-870676338","https://es.wallapop.com/app/chat?itemId=4z412n8wpmzy"
"Chevrolet Cruze 2015","https://es.wallapop.com/item/chevrolet-cruze-2015-870676331","https://es.wallapop.com/app/chat?itemId=p61ymk8prd65"
"aparato para el tratamiento de patologias","https://es.wallapop.com/item/aparato-para-el-tratamiento-de-patologias-870676307","https://es.wallapop.com/app/chat?itemId=p61ymk8pgd65"
"radio monitor táctil kenwood ddx 3028","https://es.wallapop.com/item/radio-monitor-tactil-kenwood-ddx-3028-870676300","https://es.wallapop.com/app/chat?itemId=e65gdpqxngjo"
"Kit Raspberry Pi 4 4GB RAM","https://es.wallapop.com/item/kit-raspberry-pi-4-4gb-ram-870676287","https://es.wallapop.com/app/chat?itemId=36exmp530kzd"
"Patinete eléctrico ","https://es.wallapop.com/item/patinete-electrico-870676285","https://es.wallapop.com/app/chat?itemId=pj950x4390ze"
"Sofa chestter ","https://es.wallapop.com/item/sofa-chestter-870675955","https://es.wallapop.com/app/chat?itemId=p61ymk8pyg65"
"Elíptica BH","https://es.wallapop.com/item/eliptica-bh-870675893","https://es.wallapop.com/app/chat?itemId=3zl1pkmvg8jx"
