"Название товара","Ссылка на продавца","Ссылка на чат"
"Chaqueta caballero piel negra","https://es.wallapop.com/item/chaqueta-caballero-piel-negra-871652301","https://es.wallapop.com/app/chat?itemId=mzn87p272yzn"
"Cojín de lactancia multifuncional 100% algodón","https://es.wallapop.com/item/cojin-de-lactancia-multifuncional-100-algodon-871652270","https://es.wallapop.com/app/chat?itemId=8z84pekp4l63"
"Mesa alta y taburetes","https://es.wallapop.com/item/mesa-alta-y-taburetes-871651123","https://es.wallapop.com/app/chat?itemId=ejkknr8rkyjx"
"guitarra eléctrica kit Harley Benton","https://es.wallapop.com/item/guitarra-electrica-kit-harley-benton-871651094","https://es.wallapop.com/app/chat?itemId=8z84pekegl63"
"modelador multifuncion","https://es.wallapop.com/item/modelador-multifuncion-871651088","https://es.wallapop.com/app/chat?itemId=v6g23vgv17ze"
"lampara de techo","https://es.wallapop.com/item/lampara-de-techo-871651082","https://es.wallapop.com/app/chat?itemId=8j3ekg4gxyz9"
"colección historia del cine en vsh ","https://es.wallapop.com/item/coleccion-historia-del-cine-en-vsh-871651171","https://es.wallapop.com/app/chat?itemId=ejkknr8rmyjx"
"Cajón Komplement IKEA","https://es.wallapop.com/item/cajon-komplement-ikea-871651154","https://es.wallapop.com/app/chat?itemId=nzx0g949e5z2"
"remolque ","https://es.wallapop.com/item/remolque-871651620","https://es.wallapop.com/app/chat?itemId=wzy5g94vlvj5"
"Vendo vieta pro Thunder ","https://es.wallapop.com/item/vendo-vieta-pro-thunder-871651611","https://es.wallapop.com/app/chat?itemId=0j23oe4kwr6y"
"CLASES PARTICULARES (Salamanca ciudad)","https://es.wallapop.com/item/clases-particulares-871652038","https://es.wallapop.com/app/chat?itemId=4z412ke3mwzy"
"SAMSUNG GALAXY A52 (128GB)","https://es.wallapop.com/item/samsung-galaxy-a52-128gb-871651983","https://es.wallapop.com/app/chat?itemId=0j23oe4k2d6y"
"VENDO 10 SILLAS DE JARDÍN ","https://es.wallapop.com/item/vendo-10-sillas-de-jardin-871652108","https://es.wallapop.com/app/chat?itemId=qzmy0ne1rlzv"
"vendo tostador casi nuevo en Ocaña ","https://es.wallapop.com/item/vendo-tostador-casi-nuevo-871652102","https://es.wallapop.com/app/chat?itemId=pzprx723nm63"
"Espejo","https://es.wallapop.com/item/espejo-871652063","https://es.wallapop.com/app/chat?itemId=36exmv1gyqzd"
"Mamparas de baño","https://es.wallapop.com/item/mamparas-de-bano-871652050","https://es.wallapop.com/app/chat?itemId=pzprx7230563"
"Jersey gris ","https://es.wallapop.com/item/jersey-gris-871651489","https://es.wallapop.com/app/chat?itemId=wzvnd343mrjl"
"libros","https://es.wallapop.com/item/libros-871652388","https://es.wallapop.com/app/chat?itemId=v6g23vg3enze"
"Arcón Congelador OTSEIN modelo COH 300","https://es.wallapop.com/item/arcon-congelador-otsein-modelo-coh-300-871651286","https://es.wallapop.com/app/chat?itemId=4z412kekklzy"
