"Название товара","Ссылка на продавца","Ссылка на чат"
"Limpieza de Garajes y comunidades","https://es.wallapop.com/item/limpieza-de-garajes-y-comunidades-869742246","https://es.wallapop.com/app/chat?itemId=8z84pke24863"
"Equipo de Windsurf Completo y listo para navegar","https://es.wallapop.com/item/equipo-de-windsurf-completo-y-listo-para-navegar-869742330","https://es.wallapop.com/app/chat?itemId=nzx0g49qr7z2"
"jersey marca Polo Ralph Lauren","https://es.wallapop.com/item/jersey-marca-polo-ralph-lauren-869742480","https://es.wallapop.com/app/chat?itemId=qzmy0enpwgzv"
"Cotxe infantil","https://es.wallapop.com/item/cotxe-infantil-869742863","https://es.wallapop.com/app/chat?itemId=36exm1vo1qzd"
"Mercedes benz Mercedes benz 2005","https://es.wallapop.com/item/mercedes-benz-mercedes-benz-2005-869743119","https://es.wallapop.com/app/chat?itemId=vjrrmqxp28jk"
"PACK 10 JUEGOS PS4","https://es.wallapop.com/item/pack-juegos-ps4-869741615","https://es.wallapop.com/app/chat?itemId=36exm1vpdqzd"
"Xiaomi 12t pro","https://es.wallapop.com/item/xiaomi-12t-pro-869741576","https://es.wallapop.com/app/chat?itemId=w67yn4e7876x"
"Bici de niño. le faltan los puños.","https://es.wallapop.com/item/bici-de-nino-le-faltan-los-punos-869743132","https://es.wallapop.com/app/chat?itemId=qzmy0envdyzv"
"Móvil Huawei p30 lite","https://es.wallapop.com/item/movil-huawei-p30-lite-869741665","https://es.wallapop.com/app/chat?itemId=wzvnd430nrjl"
"mueble comedor","https://es.wallapop.com/item/mueble-comedor-869742139","https://es.wallapop.com/app/chat?itemId=36exm1vpqyzd"
"cafetera ","https://es.wallapop.com/item/cafetera-869742006","https://es.wallapop.com/app/chat?itemId=nzx0g49w7ez2"
"manta térmica Piaggio x9 evo ","https://es.wallapop.com/item/manta-termica-piaggio-x9-evo-869742744","https://es.wallapop.com/app/chat?itemId=wzy5g49olej5"
"escape blaze 50/70","https://es.wallapop.com/item/escape-blaze-50-70-869743058","https://es.wallapop.com/app/chat?itemId=8j3ek4g2lyz9"
"Botas de nieve y calzado deportivo niño talla 36","https://es.wallapop.com/item/botas-de-nieve-y-calzado-deportivo-nino-talla-36-869743008","https://es.wallapop.com/app/chat?itemId=qzmy0env1gzv"
