"Название товара","Ссылка на продавца","Ссылка на чат"
"zapatillas kipsta","https://es.wallapop.com/item/zapatillas-kipsta-870485141","https://es.wallapop.com/app/chat?itemId=wzvnd27yw4jl"
"Cama de perro","https://es.wallapop.com/item/cama-de-perro-870484441","https://es.wallapop.com/app/chat?itemId=wzvnd27r7rjl"
"acuario de 90 litros","https://es.wallapop.com/item/acuario-de-90-litros-870484317","https://es.wallapop.com/app/chat?itemId=wzvnd27r31jl"
"vendo patinete eléctrico ","https://es.wallapop.com/item/vendo-patinete-electrico-870484970","https://es.wallapop.com/app/chat?itemId=8z84p5310163"
"Dior club M1U","https://es.wallapop.com/item/dior-club-m1u-870484957","https://es.wallapop.com/app/chat?itemId=xzorwx481wz9"
"Kymco ak550","https://es.wallapop.com/item/kymco-ak550-870484532","https://es.wallapop.com/app/chat?itemId=qzmy07d9llzv"
"Peluche ","https://es.wallapop.com/item/peluche-870484518","https://es.wallapop.com/app/chat?itemId=x6qd1vgk0qjy"
"Lienzo El Muelle ","https://es.wallapop.com/item/lienzo-el-muelle-870484505","https://es.wallapop.com/app/chat?itemId=qjwpg2we3wzo"
"cargador type c","https://es.wallapop.com/item/cargador-type-c-870485020","https://es.wallapop.com/app/chat?itemId=wzy5gy1n15j5"
"Mitsubishi Montero 1996","https://es.wallapop.com/item/mitsubishi-montero-1996-870485014","https://es.wallapop.com/app/chat?itemId=4z4120xv9wzy"
