"Название товара","Ссылка на продавца","Ссылка на чат"
"mangas one piece","https://es.wallapop.com/item/mangas-one-piece-871012412","https://es.wallapop.com/app/chat?itemId=9jd21e8w8l6k"
"Tablet Surface 2 ","https://es.wallapop.com/item/tablet-surface-2-871012819","https://es.wallapop.com/app/chat?itemId=vjrrm144ywjk"
"Teoría de la comunicación / Manuel Martín Serrano","https://es.wallapop.com/item/teoria-de-la-comunicacion-manuel-martin-serrano-871012454","https://es.wallapop.com/app/chat?itemId=nzx0gqreqpz2"
"escape Kawasaki z800","https://es.wallapop.com/item/escape-kawasaki-z800-871012417","https://es.wallapop.com/app/chat?itemId=wzvndq2g0rjl"
"Botas de Seguridad VASA II","https://es.wallapop.com/item/botas-de-seguridad-vasa-ii-871012238","https://es.wallapop.com/app/chat?itemId=4z412q08olzy"
"Puertas metálicas enrollables","https://es.wallapop.com/item/puertas-metalicas-enrollables-871012208","https://es.wallapop.com/app/chat?itemId=qzmy0p7e2ozv"
"beta","https://es.wallapop.com/item/beta-871011979","https://es.wallapop.com/app/chat?itemId=p61ymq54mg65"
"Hogar","https://es.wallapop.com/item/hogar-871012283","https://es.wallapop.com/app/chat?itemId=0j23oqn8ye6y"
"Patines de línea usados, talla 44/45 con bolsa","https://es.wallapop.com/item/patines-de-linea-usados-talla-44-45-con-bolsa-871012270","https://es.wallapop.com/app/chat?itemId=8z84p258qo63"
"llanta ford capri","https://es.wallapop.com/item/llanta-ford-capri-871012265","https://es.wallapop.com/app/chat?itemId=wzvndq2gr7jl"
"Chaqueta ","https://es.wallapop.com/item/chaqueta-871012133","https://es.wallapop.com/app/chat?itemId=xzorw7x2n2z9"
"escritorio ","https://es.wallapop.com/item/escritorio-871012625","https://es.wallapop.com/app/chat?itemId=mzn870w31kzn"
"Ps4 con 2 mandos y dos juegos","https://es.wallapop.com/item/ps4-con-2-mandos-y-dos-juegos-871012628","https://es.wallapop.com/app/chat?itemId=w67ynkxv5w6x"
"Renault Kangoo 2003","https://es.wallapop.com/item/renault-kangoo-2003-871012614","https://es.wallapop.com/app/chat?itemId=4z412q0898zy"
"Fiat Punto 2007","https://es.wallapop.com/item/fiat-punto-2007-871012966","https://es.wallapop.com/app/chat?itemId=x6qd1xvvq5jy"
"móvil ","https://es.wallapop.com/item/movil-871012308","https://es.wallapop.com/app/chat?itemId=qzmy0p7m31zv"
"intercomunicador para moto","https://es.wallapop.com/item/intercomunicador-para-moto-871012561","https://es.wallapop.com/app/chat?itemId=pj950vn4lkze"
"Mercedes-Benz Clase S 2006","https://es.wallapop.com/item/mercedes-benz-clase-s-2006-871012736","https://es.wallapop.com/app/chat?itemId=9jd21e8w3n6k"
"Reloj","https://es.wallapop.com/item/reloj-871011912","https://es.wallapop.com/app/chat?itemId=9jd21e8kvd6k"
