"Название товара","Ссылка на продавца","Ссылка на чат"
"Fiat 500 THERAPY","https://es.wallapop.com/item/fiat-500-therapy-870636727","https://es.wallapop.com/app/chat?itemId=nz001w0mmrzo"
"andador bebé ","https://es.wallapop.com/item/andador-bebe-870636682","https://es.wallapop.com/app/chat?itemId=8j3ek5eyv2z9"
"Saco para silla de paseo “Joie”","https://es.wallapop.com/item/saco-para-silla-de-paseo-joie-870636414","https://es.wallapop.com/app/chat?itemId=4z412n1y28zy"
"Somier articulado eléctrico","https://es.wallapop.com/item/somier-articulado-electrico-870635986","https://es.wallapop.com/app/chat?itemId=4z412n1o5rzy"
"Chaqueta de piel","https://es.wallapop.com/item/chaqueta-de-piel-870636027","https://es.wallapop.com/app/chat?itemId=nz001w095vzo"
"aspirador virutas","https://es.wallapop.com/item/aspirador-virutas-870636271","https://es.wallapop.com/app/chat?itemId=ejkknekxppjx"
"vitroceràmica de induccion ","https://es.wallapop.com/item/vitroceramica-de-induccion-870636267","https://es.wallapop.com/app/chat?itemId=vjrrmork49jk"
"PROHIBIDO ","https://es.wallapop.com/item/prohibido-870636263","https://es.wallapop.com/app/chat?itemId=36exmpxd5qzd"
"Apple Watch Series 3 ","https://es.wallapop.com/item/apple-watch-series-3-870635723","https://es.wallapop.com/app/chat?itemId=ejkknek2erjx"
"Volkswagen Polo 2003","https://es.wallapop.com/item/volkswagen-polo-2003-870635755","https://es.wallapop.com/app/chat?itemId=p61ymky9qg65"
"Dos cajoneras","https://es.wallapop.com/item/dos-cajoneras-870635745","https://es.wallapop.com/app/chat?itemId=3zl1pk1ennjx"
"Muebles oficina","https://es.wallapop.com/item/muebles-oficina-870636404","https://es.wallapop.com/app/chat?itemId=w67yn7y39w6x"
"CARTUCHOS","https://es.wallapop.com/item/cartuchos-870636380","https://es.wallapop.com/app/chat?itemId=qzmy0oy9nlzv"
"MOTO QUAD ELECTRICO","https://es.wallapop.com/item/moto-quad-electrico-870636343","https://es.wallapop.com/app/chat?itemId=vjrrmorkp4jk"
"Zapatos de señora mayor ortopedicos","https://es.wallapop.com/item/zapatos-de-senora-mayor-ortopedicos-870636340","https://es.wallapop.com/app/chat?itemId=v6g23720k2ze"
"CAMA","https://es.wallapop.com/item/cama-870636304","https://es.wallapop.com/app/chat?itemId=w67yn7y3756x"
"Profesora particular Valdemoro primaria","https://es.wallapop.com/item/profesora-particular-valdemoro-primaria-870636299","https://es.wallapop.com/app/chat?itemId=nz001w0gwdzo"
"ps4","https://es.wallapop.com/item/ps4-870636289","https://es.wallapop.com/app/chat?itemId=wzvnd0nr0rjl"
"Colchón 1,90cm x 1,35cm ","https://es.wallapop.com/item/colchon-1-90cm-x-1-35cm-870635953","https://es.wallapop.com/app/chat?itemId=qjwpg7pl0ezo"
"Pladur y Pintura","https://es.wallapop.com/item/pladur-y-pintura-870636530","https://es.wallapop.com/app/chat?itemId=nzx0gw0l75z2"
"Unlock Epic Adventures ","https://es.wallapop.com/item/unlock-epic-adventures-870635884","https://es.wallapop.com/app/chat?itemId=9jd21n2dq26k"
"MagSafe cargador inalámbrico magnético para iPhone","https://es.wallapop.com/item/magsafe-cargador-inalambrico-magnetico-para-iphone-870635860","https://es.wallapop.com/app/chat?itemId=9jd21n2dr26k"
"2 mantas","https://es.wallapop.com/item/2-mantas-870636607","https://es.wallapop.com/app/chat?itemId=p61ymkyvn565"
"lavadora","https://es.wallapop.com/item/lavadora-870636593","https://es.wallapop.com/app/chat?itemId=3zl1pk14l2jx"
