"Название товара","Ссылка на продавца","Ссылка на чат"
"Camión bomberos","https://es.wallapop.com/item/camion-bomberos-870716805","https://es.wallapop.com/app/chat?itemId=qjwpg7qkykzo"
"plataformas streaming como N3TFLIX y todo el futbo","https://es.wallapop.com/item/plataformas-streaming-como-n3tflix-y-todo-el-futbo-870716396","https://es.wallapop.com/app/chat?itemId=e65gdp9090jo"
"Monitor de ordenador","https://es.wallapop.com/item/monitor-de-ordenador-870718190","https://es.wallapop.com/app/chat?itemId=x6qd14xr2ojy"
"Cama con cajón ","https://es.wallapop.com/item/cama-con-cajon-870716046","https://es.wallapop.com/app/chat?itemId=8z84pw277863"
"Enciclopedia de cocina de ""El Pais"" .Años ochenta.","https://es.wallapop.com/item/enciclopedia-de-cocina-de-el-pais-anos-ochenta-870716182","https://es.wallapop.com/app/chat?itemId=8j3ek5rnv7z9"
"bici eléctrica ","https://es.wallapop.com/item/bici-electrica-870716178","https://es.wallapop.com/app/chat?itemId=nzx0gwqkd7z2"
"barrera protección escalera bebedue*","https://es.wallapop.com/item/barrera-proteccion-escalera-bebedue-870716630","https://es.wallapop.com/app/chat?itemId=nzx0gwqk2pz2"
"Hermosas trenzas ","https://es.wallapop.com/item/hermosas-trenzas-870716958","https://es.wallapop.com/app/chat?itemId=8j3ek5r0r8z9"
"TV","https://es.wallapop.com/item/tv-870717956","https://es.wallapop.com/app/chat?itemId=qzmy0op24lzv"
"mochila para moto o bicicleta ","https://es.wallapop.com/item/mochila-para-moto-o-bicicleta-870716984","https://es.wallapop.com/app/chat?itemId=9jd21ne3mn6k"
"Tomo 1-2 Death Note Black Edition Español","https://es.wallapop.com/item/tomo-1-2-death-note-black-edition-espanol-870716990","https://es.wallapop.com/app/chat?itemId=x6qd14xpnojy"
"Guitarra Española ","https://es.wallapop.com/item/guitarra-espanola-870716752","https://es.wallapop.com/app/chat?itemId=w67yn7k1856x"
"columpio bebé ","https://es.wallapop.com/item/columpio-bebe-870716255","https://es.wallapop.com/app/chat?itemId=p61ymkqr7x65"
"gafas de sol","https://es.wallapop.com/item/gafas-de-sol-870716852","https://es.wallapop.com/app/chat?itemId=w67yn7k1yw6x"
"Pieza plata de ley para colgantes","https://es.wallapop.com/item/pieza-plata-de-ley-para-colgantes-870716678","https://es.wallapop.com/app/chat?itemId=nzx0gwqkopz2"
"cascos  inalámbrico redmi Airdots 2 10€ ","https://es.wallapop.com/item/cascos-inalambrico-redmi-airdots-2-10-870716674","https://es.wallapop.com/app/chat?itemId=pzprxgwpn563"
