"Название товара","Ссылка на продавца","Ссылка на чат"
"sofa","https://es.wallapop.com/item/sofa-868658269","https://es.wallapop.com/app/chat?itemId=3zl1pg1ompjx"
"PRODUCTO TARA! SOFA DELUXE!! 389€","https://es.wallapop.com/item/producto-tara-sofa-deluxe-389-868647854","https://es.wallapop.com/app/chat?itemId=nzx0g5040pz2"
"Aparador nogal español hecho a mano","https://es.wallapop.com/item/aparador-nogal-espanol-hecho-a-mano-868647505","https://es.wallapop.com/app/chat?itemId=qjwpgyppnezo"
"limpiafondos automático ","https://es.wallapop.com/item/limpiafondos-automatico-868645914","https://es.wallapop.com/app/chat?itemId=4z412v1y5mzy"
"Habitación ","https://es.wallapop.com/item/habitacion-868638121","https://es.wallapop.com/app/chat?itemId=3zl1pg9x04jx"
"se vende piscina desmontable.","https://es.wallapop.com/item/se-vende-piscina-desmontable-868636217","https://es.wallapop.com/app/chat?itemId=wzvndyl0x7jl"
"sofa","https://es.wallapop.com/item/sofa-868643490","https://es.wallapop.com/app/chat?itemId=x6qd1y9poejy"
"Sofás","https://es.wallapop.com/item/sofas-868643455","https://es.wallapop.com/app/chat?itemId=p61ymo7nm565"
"cama nido","https://es.wallapop.com/item/cama-nido-868641991","https://es.wallapop.com/app/chat?itemId=vjrrmd9wy4jk"
"perchero.","https://es.wallapop.com/item/perchero-868641839","https://es.wallapop.com/app/chat?itemId=36exmwn07qzd"
"mueble camper talla M","https://es.wallapop.com/item/mueble-camper-talla-m-868640894","https://es.wallapop.com/app/chat?itemId=8z84p1g31l63"
"dormitorio","https://es.wallapop.com/item/dormitorio-868640649","https://es.wallapop.com/app/chat?itemId=mzn87lv110zn"
"Se vende cama ","https://es.wallapop.com/item/se-vende-cama-868653078","https://es.wallapop.com/app/chat?itemId=nzx0g50peez2"
"bañera con chorros","https://es.wallapop.com/item/banera-con-chorros-868652376","https://es.wallapop.com/app/chat?itemId=w67yndyn386x"
"Se vende conjunto dormitorio cama 90cm","https://es.wallapop.com/item/se-vende-conjunto-dormitorio-cama-90cm-868651173","https://es.wallapop.com/app/chat?itemId=mzn87l8eryzn"
"Sofá 3 plazas con chaiselongue","https://es.wallapop.com/item/sofa-3-plazas-con-chaiselongue-868649490","https://es.wallapop.com/app/chat?itemId=x6qd1yd4lejy"
"PRODUCTO TARA! SOFA DELUXE!! 389€","https://es.wallapop.com/item/producto-tara-sofa-deluxe-389-868649307","https://es.wallapop.com/app/chat?itemId=p61ymoy50765"
