"Название товара","Ссылка на продавца","Ссылка на чат"
"Colchón viscolatex y somier 1,35x1'90 ","https://es.wallapop.com/item/colchon-viscolatex-y-somier-1-35x1-90-869050509","https://es.wallapop.com/app/chat?itemId=xzorwv7325z9"
"patín eléctrico Denver ","https://es.wallapop.com/item/patin-electrico-denver-869050486","https://es.wallapop.com/app/chat?itemId=4z412gqn1wzy"
"busco empleo ","https://es.wallapop.com/item/busco-empleo-869048593","https://es.wallapop.com/app/chat?itemId=3zl1p9n1v4jx"
"Una rueda de Trctor cámara y llanta","https://es.wallapop.com/item/una-rueda-de-trctor-camara-y-llanta-869049988","https://es.wallapop.com/app/chat?itemId=v6g231eo72ze"
"Cuna de viaje","https://es.wallapop.com/item/cuna-de-viaje-869051253","https://es.wallapop.com/app/chat?itemId=qjwpgdqqvkzo"
"chaqueta","https://es.wallapop.com/item/chaqueta-869051250","https://es.wallapop.com/app/chat?itemId=pzprx1ww3463"
"s 21 casi nuevo ","https://es.wallapop.com/item/s-21-casi-nuevo-869047938","https://es.wallapop.com/app/chat?itemId=4z412gqgmmzy"
"Mesa arquitectura ","https://es.wallapop.com/item/mesa-arquitectura-869050683","https://es.wallapop.com/app/chat?itemId=0j23orq1or6y"
"patinete eléctrico ","https://es.wallapop.com/item/patinete-electrico-869050940","https://es.wallapop.com/app/chat?itemId=v6g231e78lze"
"camilla plegable ","https://es.wallapop.com/item/camilla-plegable-869050874","https://es.wallapop.com/app/chat?itemId=pzprx1wgn963"
"Venta de karts ","https://es.wallapop.com/item/venta-de-karts-869050532","https://es.wallapop.com/app/chat?itemId=qzmy03pomlzv"
"Rieju MrX ","https://es.wallapop.com/item/rieju-mrx-869049653","https://es.wallapop.com/app/chat?itemId=qjwpgdqr04zo"
"carro con poco uso ","https://es.wallapop.com/item/carro-con-poco-uso-869051744","https://es.wallapop.com/app/chat?itemId=wzy5g7qoqxj5"
"Mochila piquadro de piel, modelo CA5865W117/BLU","https://es.wallapop.com/item/mochila-piquadro-de-piel-modelo-ca5865w117-blu-869051727","https://es.wallapop.com/app/chat?itemId=nz001vy2w3zo"
"Armario tres puertas 130x190","https://es.wallapop.com/item/armario-tres-puertas-130x190-869051707","https://es.wallapop.com/app/chat?itemId=p61ym7qe5g65"
"Saxofón Alto AL802L AMADEUS","https://es.wallapop.com/item/saxofon-alto-al802l-amadeus-869051682","https://es.wallapop.com/app/chat?itemId=8j3ekxr281z9"
"Vendo móvil a estrenar","https://es.wallapop.com/item/vendo-movil-a-estrenar-869051649","https://es.wallapop.com/app/chat?itemId=mzn87v0e20zn"
"vendo donna ","https://es.wallapop.com/item/vendo-donna-869051158","https://es.wallapop.com/app/chat?itemId=8j3ekxrr57z9"
