"Название товара","Ссылка на продавца","Ссылка на чат"
"tejanos talla 12 en buen estado ","https://es.wallapop.com/item/tejanos-talla-12-en-buen-estado-871805925","https://es.wallapop.com/app/chat?itemId=mzn87p1qryzn"
"Jordan ","https://es.wallapop.com/item/jordan-871805758","https://es.wallapop.com/app/chat?itemId=8j3ekgd997z9"
"Jersey gris divided cómodo ","https://es.wallapop.com/item/jersey-gris-divided-comodo-871806396","https://es.wallapop.com/app/chat?itemId=e65gdekko2jo"
"Reloj","https://es.wallapop.com/item/reloj-871806292","https://es.wallapop.com/app/chat?itemId=wzy5g9pp05j5"
"Chaqueta azul marino","https://es.wallapop.com/item/chaqueta-azul-marino-871806233","https://es.wallapop.com/app/chat?itemId=xzorw0mm04z9"
"Zapatillas Ralph lauren ","https://es.wallapop.com/item/zapatillas-ralph-lauren-871806222","https://es.wallapop.com/app/chat?itemId=8z84penne863"
"Chaqueta piel y interior de pelo ","https://es.wallapop.com/item/chaqueta-piel-y-interior-de-pelo-871806157","https://es.wallapop.com/app/chat?itemId=xzorw0mm3wz9"
"Sudadera Blanca Atlanta (Nueva)","https://es.wallapop.com/item/sudadera-blanca-atlanta-nueva-871805521","https://es.wallapop.com/app/chat?itemId=3zl1p5wrm4jx"
"Vestido zara ","https://es.wallapop.com/item/vestido-zara-871805511","https://es.wallapop.com/app/chat?itemId=0j23oe2d4d6y"
"Cazadora Acolchada Zara","https://es.wallapop.com/item/cazadora-acolchada-zara-871805338","https://es.wallapop.com/app/chat?itemId=4z412k9lwrzy"
