"Название товара","Ссылка на продавца","Ссылка на чат"
"George GTX 1660 6gb GDDR5 XLR8 Gaming overclocked ","https://es.wallapop.com/item/george-gtx-1660-6gb-gddr5-xlr8-gaming-overclocked-870428387","https://es.wallapop.com/app/chat?itemId=36exm8m9evzd"
"mesa danves ","https://es.wallapop.com/item/mesa-danves-870427367","https://es.wallapop.com/app/chat?itemId=vjrrm4vn3ljk"
"Accion Club social Matagrande ","https://es.wallapop.com/item/accion-club-social-matagrande-870427334","https://es.wallapop.com/app/chat?itemId=8j3ekpo7klz9"
"Chaleco en muy buen estado, PERFECTO.","https://es.wallapop.com/item/chaleco-en-muy-buen-estado-perfecto-870428142","https://es.wallapop.com/app/chat?itemId=x6qd1v2rrqjy"
"Libro la dama del alba","https://es.wallapop.com/item/libro-la-dama-del-alba-870427955","https://es.wallapop.com/app/chat?itemId=p61ym51x2d65"
"Botas de fútbol puma para niño ","https://es.wallapop.com/item/botas-de-futbol-puma-para-nino-870428099","https://es.wallapop.com/app/chat?itemId=nz001rx75dzo"
"Silla ergonómica","https://es.wallapop.com/item/silla-ergonomica-870427315","https://es.wallapop.com/app/chat?itemId=36exm8g3gyzd"
"Guia Oficial Final Fantasy 13 - Precintada (LEER)","https://es.wallapop.com/item/guia-oficial-final-fantasy-13-precintada-leer-870427912","https://es.wallapop.com/app/chat?itemId=9jd2184g196k"
"Frigorífico / Nevera","https://es.wallapop.com/item/frigorifico-nevera-870427409","https://es.wallapop.com/app/chat?itemId=xzorwxoym4z9"
"RASCADOR DE GATO MEDIADO GRANDE","https://es.wallapop.com/item/rascador-de-gato-mediado-grande-870428250","https://es.wallapop.com/app/chat?itemId=pzprxdx81463"
"Mesa de café ","https://es.wallapop.com/item/mesa-de-cafe-870427664","https://es.wallapop.com/app/chat?itemId=v6g23on817ze"
"Figura Marcel","https://es.wallapop.com/item/figura-marcel-870428003","https://es.wallapop.com/app/chat?itemId=nz001rx7pdzo"
"Yamaha NEOs eléctrica","https://es.wallapop.com/item/yamaha-neos-electrica-870428199","https://es.wallapop.com/app/chat?itemId=nz001r19g3zo"
"Pack Radiadores de Agua","https://es.wallapop.com/item/pack-radiadores-de-agua-870427455","https://es.wallapop.com/app/chat?itemId=p61ym51pw265"
"Chaqueta plumas Pepe Jeans","https://es.wallapop.com/item/chaqueta-plumas-pepe-jeans-870428053","https://es.wallapop.com/app/chat?itemId=qjwpg2vm3gzo"
"juego vintage ","https://es.wallapop.com/item/juego-vintage-870427841","https://es.wallapop.com/app/chat?itemId=wzvnd2vxk7jl"
"Secador ","https://es.wallapop.com/item/secador-870427825","https://es.wallapop.com/app/chat?itemId=mzn87wm9egzn"
"COMIC MARVEL","https://es.wallapop.com/item/comic-marvel-870427552","https://es.wallapop.com/app/chat?itemId=w67ynx9mm56x"
"Manta térmica de Protección para Silla de Ruedas ","https://es.wallapop.com/item/mant-termica-de-proteccion-para-silla-de-ruedas-870427681","https://es.wallapop.com/app/chat?itemId=xzorwxoerlz9"
