"Название товара","Ссылка на продавца","Ссылка на чат"
"dormitorio","https://es.wallapop.com/item/dormitorio-868682084","https://es.wallapop.com/app/chat?itemId=9jd217w9rl6k"
"Citroen C4 2006","https://es.wallapop.com/item/citroen-c4-2006-868682802","https://es.wallapop.com/app/chat?itemId=pzprx9kep463"
"Nave industrial polígono de Bobes","https://es.wallapop.com/item/nave-industrial-poligono-de-bobes-868682662","https://es.wallapop.com/app/chat?itemId=4z412v8xlwzy"
"Sofá Cama de 1 plazas con Respaldo Ajustable ","https://es.wallapop.com/item/sofa-cama-de-1-plazas-con-respaldo-ajustable-868681767","https://es.wallapop.com/app/chat?itemId=vjrrmde2k8jk"
"iMac 2019 - 21.5 ","https://es.wallapop.com/item/imac-2019-21-5-868682321","https://es.wallapop.com/app/chat?itemId=3zl1pgm2e2jx"
"Escape vespino","https://es.wallapop.com/item/escape-vespino-868682964","https://es.wallapop.com/app/chat?itemId=v6g234pw1nze"
"Chapa y pintura ","https://es.wallapop.com/item/chapa-y-pintura-868682897","https://es.wallapop.com/app/chat?itemId=mzn87l3d4kzn"
"Zapatillas Puma","https://es.wallapop.com/item/zapatillas-puma-868682041","https://es.wallapop.com/app/chat?itemId=wzvndygedrjl"
"vendo remolque","https://es.wallapop.com/item/vendo-remolque-868682005","https://es.wallapop.com/app/chat?itemId=qjwpgyr59gzo"
"pack estantería metal ikea","https://es.wallapop.com/item/pack-estanteria-metal-ikea-868681984","https://es.wallapop.com/app/chat?itemId=9jd217w9m96k"
"Samsung Galaxy S21 Ultra","https://es.wallapop.com/item/samsung-galaxy-s21-ultra-868683076","https://es.wallapop.com/app/chat?itemId=w67yndv27y6x"
"vendo TV 32""","https://es.wallapop.com/item/vendo-tv-32-868683064","https://es.wallapop.com/app/chat?itemId=v6g234pwo5ze"
"olla GM I PLUS 10 L","https://es.wallapop.com/item/olla-gm-i-plus-10-l-868683052","https://es.wallapop.com/app/chat?itemId=w67yndv2xy6x"
"Cartel decoración ","https://es.wallapop.com/item/cartel-decoracion-868683027","https://es.wallapop.com/app/chat?itemId=nz001m8k8vzo"
"Se vende iPhone 7+","https://es.wallapop.com/item/se-vende-iphone-7-868681952","https://es.wallapop.com/app/chat?itemId=w67yndv5k76x"
"mesa de centro de salón baja ","https://es.wallapop.com/item/mesa-de-centro-de-salon-baja-868681943","https://es.wallapop.com/app/chat?itemId=vjrrmde2oljk"
