"Название товара","Ссылка на продавца","Ссылка на чат"
"Kawasaki ninja 300","https://es.wallapop.com/item/kawasaki-ninja-300-869189092","https://es.wallapop.com/app/chat?itemId=wzy5g7kx25j5"
"iPhone 11 64gb","https://es.wallapop.com/item/iphone-11-64gb-869188557","https://es.wallapop.com/app/chat?itemId=xzorwvpx55z9"
"Garaje en alquiler","https://es.wallapop.com/item/garaje-en-alquiler-869188645","https://es.wallapop.com/app/chat?itemId=3zl1p9yk4pjx"
"Reportaje fotográfico en cumpleaños.","https://es.wallapop.com/item/reportaje-fotografico-en-cumpleanos-869188632","https://es.wallapop.com/app/chat?itemId=qzmy035o9gzv"
"Mini cuna en perfecto estado","https://es.wallapop.com/item/mini-cuna-en-perfecto-estado-869188625","https://es.wallapop.com/app/chat?itemId=mzn87vno4kzn"
"MÓVIL Y TABLET (LEER BIEN EL ANUNCIO)","https://es.wallapop.com/item/movil-y-tablet-leer-bien-el-anuncio-869188922","https://es.wallapop.com/app/chat?itemId=8z84pg7wp163"
"snow board Burton ","https://es.wallapop.com/item/snow-board-burton-869188266","https://es.wallapop.com/app/chat?itemId=x6qd197vxejy"
"Hamaca columpio musical ","https://es.wallapop.com/item/hamaca-bebe-olmitos-869188944","https://es.wallapop.com/app/chat?itemId=wzy5g7kx0ej5"
"Árbol de navidad ","https://es.wallapop.com/item/arbol-de-navidad-869188801","https://es.wallapop.com/app/chat?itemId=mzn87vnoogzn"
"plara","https://es.wallapop.com/item/plara-869188738","https://es.wallapop.com/app/chat?itemId=4z412g5nerzy"
"HORNOS- EAS ELECTRIC-EMV65VX","https://es.wallapop.com/item/hornos-eas-electric-emv65vx-869188710","https://es.wallapop.com/app/chat?itemId=8j3ekxq5e8z9"
"Temario Oposición Policía Municipal ","https://es.wallapop.com/item/temario-oposicion-policia-municipal-869188858","https://es.wallapop.com/app/chat?itemId=8j3ekxq522z9"
"SEAT Leon 2015","https://es.wallapop.com/item/seat-leon-2015-869188853","https://es.wallapop.com/app/chat?itemId=qjwpgd3714zo"
"termostato radio","https://es.wallapop.com/item/termostato-radio-869189058","https://es.wallapop.com/app/chat?itemId=8j3ekxq511z9"
"SE VENDE ","https://es.wallapop.com/item/se-vende-869189053","https://es.wallapop.com/app/chat?itemId=qjwpgd370gzo"
"Roomba estropeada","https://es.wallapop.com/item/roomba-estropeada-869188391","https://es.wallapop.com/app/chat?itemId=vjrrm9w43ljk"
"Martillo eléctrico y pala","https://es.wallapop.com/item/martillo-electrico-y-pala-869188394","https://es.wallapop.com/app/chat?itemId=8z84pg750163"
"Peugeot Bipper 2015","https://es.wallapop.com/item/peugeot-bipper-2015-869188379","https://es.wallapop.com/app/chat?itemId=p61ym7g5ld65"
"Cartuchos para impresora HP ","https://es.wallapop.com/item/cartuchos-para-impresora-hp-869188678","https://es.wallapop.com/app/chat?itemId=nzx0gy2w51z2"
"Piano vertical, Kawai NS-15 Upright","https://es.wallapop.com/item/piano-vertical-kawai-ns-15-upright-869188659","https://es.wallapop.com/app/chat?itemId=0j23orv1yr6y"
"bicicleta montaña","https://es.wallapop.com/item/bicicleta-montana-869188297","https://es.wallapop.com/app/chat?itemId=mzn87vnwpgzn"
"Sofá de 2 plazas","https://es.wallapop.com/item/sofa-de-2-plazas-869188139","https://es.wallapop.com/app/chat?itemId=36exmny8xvzd"
"Volkswagen Golf 2021","https://es.wallapop.com/item/volkswagen-golf-2021-869188418","https://es.wallapop.com/app/chat?itemId=x6qd197v3yjy"
"cochecito del bebe ","https://es.wallapop.com/item/cochecito-del-bebe-869188415","https://es.wallapop.com/app/chat?itemId=36exmny8kqzd"
"iphone 12","https://es.wallapop.com/item/iphone-12-869188400","https://es.wallapop.com/app/chat?itemId=e65gd3n75pjo"
"Sofá de dos plazas","https://es.wallapop.com/item/sofa-de-dos-plazas-869188397","https://es.wallapop.com/app/chat?itemId=mzn87vnwq2zn"
"Motor Xiaomi M365","https://es.wallapop.com/item/motor-xiaomi-m365-869188508","https://es.wallapop.com/app/chat?itemId=qzmy03575lzv"
"Bateria Acustica Tama","https://es.wallapop.com/item/bateria-acustica-tama-869188754","https://es.wallapop.com/app/chat?itemId=nzx0gy2we5z2"
"Bicicleta niña 4 a 6 años","https://es.wallapop.com/item/bicicleta-nina-4-a-6-anos-869188746","https://es.wallapop.com/app/chat?itemId=8z84pg7wkd63"
