"Название товара","Ссылка на продавца","Ссылка на чат"
"pied de clavier Millenium KS-1001","https://es.wallapop.com/item/pied-de-clavier-millenium-ks-1001-871211615","https://es.wallapop.com/app/chat?itemId=36exme24nqzd"
"vestido de comunión ","https://es.wallapop.com/item/vestido-de-comunion-871212030","https://es.wallapop.com/app/chat?itemId=nzx0gqonoez2"
"Vela personalizada","https://es.wallapop.com/item/vela-personalizada-871211943","https://es.wallapop.com/app/chat?itemId=vjrrm10258jk"
"microondas industrial","https://es.wallapop.com/item/microondas-industrial-871212210","https://es.wallapop.com/app/chat?itemId=8j3ekr0we1z9"
"Casa Rural Barreno Piscina y Spa Cartagena Murcia ","https://es.wallapop.com/item/casa-rural-barreno-piscina-y-spa-cartagena-murcia-871212211","https://es.wallapop.com/app/chat?itemId=0j23oqp73v6y"
"Reloj Casio vintage NUEVO CON ETIQUETAS ","https://es.wallapop.com/item/reloj-casio-vintage-nuevo-871211875","https://es.wallapop.com/app/chat?itemId=nz001y5olezo"
"Renault Espace 1999","https://es.wallapop.com/item/renault-espace-1999-871212186","https://es.wallapop.com/app/chat?itemId=4z412q7xgmzy"
"Sofá de tres plazas","https://es.wallapop.com/item/sofa-de-tres-plazas-871212148","https://es.wallapop.com/app/chat?itemId=e65gd9w1ygjo"
"kaitt Elite Grafeno 4.0","https://es.wallapop.com/item/kaitt-elite-grafeno-4-0-871212128","https://es.wallapop.com/app/chat?itemId=w67ynk1o376x"
"Botas de senderismo la sportiva talla 40","https://es.wallapop.com/item/botas-de-senderismo-la-sportiva-talla-40-871211293","https://es.wallapop.com/app/chat?itemId=3zl1pnqr7pjx"
"BEKO 9kg 1400 rpm Inverter A+++","https://es.wallapop.com/item/beko-9kg-1400-rpm-inverter-a---871211373","https://es.wallapop.com/app/chat?itemId=mzn870yqkyzn"
"Cojin para trona bebe","https://es.wallapop.com/item/cojin-para-trona-bebe-871211360","https://es.wallapop.com/app/chat?itemId=9jd21e3q0n6k"
"Vendo mesa de despatxo -oficina","https://es.wallapop.com/item/vendo-mesa-de-despatxo-oficina-871211353","https://es.wallapop.com/app/chat?itemId=qjwpgqk8wezo"
"Traje neopreno","https://es.wallapop.com/item/traje-neopreno-871211346","https://es.wallapop.com/app/chat?itemId=8z84p2m0nd63"
"Dos sacos dormir adultos ","https://es.wallapop.com/item/dos-sacos-dormir-adultos-871211327","https://es.wallapop.com/app/chat?itemId=nz001y5337zo"
