"Название товара","Ссылка на продавца","Ссылка на чат"
"Patinete eléctrico ZWHEEL E9D ","https://es.wallapop.com/item/patinete-electrico-zwheel-e9d-871064878","https://es.wallapop.com/app/chat?itemId=nzx0gq9lq1z2"
"Cuna, mini cuna de viaje y cambiador para bebe.","https://es.wallapop.com/item/cuna-mini-cuna-de-viaje-y-cambiador-para-bebe-871064872","https://es.wallapop.com/app/chat?itemId=e65gd9ev9kjo"
"Placainducción n","https://es.wallapop.com/item/placainduccion-n-871064966","https://es.wallapop.com/app/chat?itemId=x6qd1xwk1ojy"
"FLOTADOR. SISTEMA DE APRENDIZAJE NATACIÓN. SGLMYD","https://es.wallapop.com/item/flotador-sistema-de-aprendizaje-natacion-sglmyd-871065196","https://es.wallapop.com/app/chat?itemId=e65gd9ev4gjo"
"Banco de Pesas","https://es.wallapop.com/item/banco-de-pesas-871065186","https://es.wallapop.com/app/chat?itemId=4z412qkywmzy"
"Sifón universal / Set de desagüe","https://es.wallapop.com/item/sifon-universal-set-de-desague-871064555","https://es.wallapop.com/app/chat?itemId=p61ymqd9rd65"
"Pomo Audi TT Aluminio","https://es.wallapop.com/item/pomo-audi-tt-aluminio-871064101","https://es.wallapop.com/app/chat?itemId=mzn870p4g7zn"
"SEAT Cordoba 1999","https://es.wallapop.com/item/seat-cordoba-1999-871064216","https://es.wallapop.com/app/chat?itemId=v6g23evmp7ze"
"Bicicleta Giant Tcr Advanced","https://es.wallapop.com/item/bicicleta-giant-tcr-advanced-871062786","https://es.wallapop.com/app/chat?itemId=4z412qr7mmzy"
"Piso en venta","https://es.wallapop.com/item/piso-en-venta-871062705","https://es.wallapop.com/app/chat?itemId=qjwpgq1k8qzo"
"Cartas champions league 2021/22","https://es.wallapop.com/item/cartas-champions-league-2021-22-871064768","https://es.wallapop.com/app/chat?itemId=wzy5gq9l4xj5"
