"Название товара","Ссылка на продавца","Ссылка на чат"
"chanclas yeezy","https://es.wallapop.com/item/chanclas-yeezy-872690742","https://es.wallapop.com/app/chat?itemId=x6qd1o43yqjy"
"Cabecero y mesilla","https://es.wallapop.com/item/cabecero-y-mesilla-872690726","https://es.wallapop.com/app/chat?itemId=pzprxmgoym63"
"Marco Clip ","https://es.wallapop.com/item/marco-clip-872690708","https://es.wallapop.com/app/chat?itemId=qzmy0woxglzv"
"Botas","https://es.wallapop.com/item/botas-872690693","https://es.wallapop.com/app/chat?itemId=3zl1p7kwe8jx"
"Mesa madera redonda","https://es.wallapop.com/item/mesa-madera-redonda-872689352","https://es.wallapop.com/app/chat?itemId=w67ynl7n576x"
"cámara frigorifica","https://es.wallapop.com/item/camara-frigorifica-872689946","https://es.wallapop.com/app/chat?itemId=8z84plwl3163"
"Gta 5 Ps5","https://es.wallapop.com/item/gta-5-ps5-872689887","https://es.wallapop.com/app/chat?itemId=36exmrprrkzd"
"Cajonera con dorados","https://es.wallapop.com/item/cajonera-con-dorados-872690597","https://es.wallapop.com/app/chat?itemId=mzn87xoq52zn"
"Bicicleta B-TWIN 6/8 años edad","https://es.wallapop.com/item/bicicleta-b-twin-6-8-anos-edad-872692640","https://es.wallapop.com/app/chat?itemId=v6g23r7ye7ze"
"phone 13 mini","https://es.wallapop.com/item/phone-13-mini-872692633","https://es.wallapop.com/app/chat?itemId=xzorw13p7lz9"
"Escritorio MICKE","https://es.wallapop.com/item/escritorio-micke-872690109","https://es.wallapop.com/app/chat?itemId=xzorw131e5z9"
"Salud activa","https://es.wallapop.com/item/salud-activa-872690080","https://es.wallapop.com/app/chat?itemId=qzmy0wowqxzv"
"Bicicleta ","https://es.wallapop.com/item/bicicleta-872692549","https://es.wallapop.com/app/chat?itemId=mzn87xon27zn"
"Colchón y somier","https://es.wallapop.com/item/colchon-y-somier-872690036","https://es.wallapop.com/app/chat?itemId=9jd21rnrll6k"
"escalera plegable","https://es.wallapop.com/item/escalera-plegable-872689475","https://es.wallapop.com/app/chat?itemId=nz001lw15dzo"
"ZAPATOS TACÓN COLOR BURDEOS","https://es.wallapop.com/item/zapatos-tacon-color-burdeos-872689683","https://es.wallapop.com/app/chat?itemId=0j23ol1l8r6y"
"Maquina de coser Refrey industrial con mueble","https://es.wallapop.com/item/maquina-de-coser-refrey-industrial-con-mueble-872692135","https://es.wallapop.com/app/chat?itemId=0j23ol1xkn6y"
"Transmisor FM Bluetooth Manos Libres","https://es.wallapop.com/item/transmisor-fm-bluetooth-manos-libres-872692095","https://es.wallapop.com/app/chat?itemId=ejkkn0eodqjx"
"Jakama","https://es.wallapop.com/item/jakama-872693975","https://es.wallapop.com/app/chat?itemId=nz001lw5o7zo"
"zapatillas nuevas  ","https://es.wallapop.com/item/zapatillas-nuevas-872693936","https://es.wallapop.com/app/chat?itemId=9jd21rn3qn6k"
"se vende entradita","https://es.wallapop.com/item/se-vende-entradita-872693907","https://es.wallapop.com/app/chat?itemId=p61ymlknl765"
"Vestido de comunión ","https://es.wallapop.com/item/vestido-de-comunion-872689430","https://es.wallapop.com/app/chat?itemId=nzx0gpwg2pz2"
"Encimera de inducción Bosch ","https://es.wallapop.com/item/encimera-de-induccion-bosch-872692350","https://es.wallapop.com/app/chat?itemId=pzprxmg4nk63"
"Se vende patín ducati pro dos plus ","https://es.wallapop.com/item/se-vende-patin-ducati-pro-dos-plus-872690433","https://es.wallapop.com/app/chat?itemId=xzorw13qw7z9"
"Somier cama matrimonio 110x190","https://es.wallapop.com/item/somier-cama-matrimonio-110x190-872690393","https://es.wallapop.com/app/chat?itemId=3zl1p7kr52jx"
"bici","https://es.wallapop.com/item/bici-872693230","https://es.wallapop.com/app/chat?itemId=nzx0gpwkq1z2"
"Ropa bebe ","https://es.wallapop.com/item/ropa-bebe-872693185","https://es.wallapop.com/app/chat?itemId=pj950lx1xkze"
"Paletero varlion ","https://es.wallapop.com/item/paletero-varlion-872693169","https://es.wallapop.com/app/chat?itemId=3zl1p7kl0njx"
"zapatillas Air ","https://es.wallapop.com/item/zapatillas-air-872693133","https://es.wallapop.com/app/chat?itemId=xzorw13n25z9"
