"Название товара","Ссылка на продавца","Ссылка на чат"
"Cama articulada ","https://es.wallapop.com/item/cama-articulada-872674415","https://es.wallapop.com/app/chat?itemId=36exmr8v7qzd"
"Sudadera azul NFL Detroit Lions","https://es.wallapop.com/item/sudadera-azul-nfl-detroit-lions-872674729","https://es.wallapop.com/app/chat?itemId=qjwpgn2v2ezo"
"Renault Espace ","https://es.wallapop.com/item/renault-espace-872674254","https://es.wallapop.com/app/chat?itemId=nzx0gpr99ez2"
"Frigorífico Samsung moderno","https://es.wallapop.com/item/frigorifico-samsung-moderno-872674253","https://es.wallapop.com/app/chat?itemId=qjwpgn2994zo"
"portes y mudanzas en Madrid y fuera de Madrid ","https://es.wallapop.com/item/portes-y-mudanzas-en-madrid-y-fuera-de-madrid-872674225","https://es.wallapop.com/app/chat?itemId=mzn87xwpegzn"
"PlayStation 5","https://es.wallapop.com/item/playstation-5-872675245","https://es.wallapop.com/app/chat?itemId=3zl1p70p1pjx"
"vendo sofa cama","https://es.wallapop.com/item/vendo-sofa-cama-872675148","https://es.wallapop.com/app/chat?itemId=e65gdl7dm2jo"
"aire acondicionado y calefacción portátil","https://es.wallapop.com/item/aire-acondicionado-y-calefaccion-portatil-872674800","https://es.wallapop.com/app/chat?itemId=e65gdl72rmjo"
"Casco hjc c 91 ","https://es.wallapop.com/item/casco-hjc-c-91-872674773","https://es.wallapop.com/app/chat?itemId=mzn87xwmoyzn"
"Jabón dermatológico Genocután","https://es.wallapop.com/item/jabon-dermatologico-genocutan-872674992","https://es.wallapop.com/app/chat?itemId=wzy5g0yvwej5"
"Sillas provenzal. ","https://es.wallapop.com/item/sillas-provenzal-872674865","https://es.wallapop.com/app/chat?itemId=wzvnd52vv7jl"
"Patín Xiaomi 1 essential ","https://es.wallapop.com/item/patin-xiaomi-1-essential-872674825","https://es.wallapop.com/app/chat?itemId=mzn87xwmpgzn"
"Patinete eléctrico baggio 8 pro ","https://es.wallapop.com/item/patinete-electrico-baggio-8-pro-872674156","https://es.wallapop.com/app/chat?itemId=qzmy0w7n7yzv"
"Dispositivo electrónico ","https://es.wallapop.com/item/dispositivo-electronico-872674402","https://es.wallapop.com/app/chat?itemId=pzprxmd7e563"
"compresor corriente alterna 400v","https://es.wallapop.com/item/compresor-corriente-alterna-400v-872674378","https://es.wallapop.com/app/chat?itemId=nzx0gpr9nmz2"
