"Название товара","Ссылка на продавца","Ссылка на чат"
"esterilizador biberones ","https://es.wallapop.com/item/esterilizador-biberones-869215931","https://es.wallapop.com/app/chat?itemId=p61ym7n5ed65"
"Plancha de vapor vertical","https://es.wallapop.com/item/plancha-de-vapor-vertical-869215928","https://es.wallapop.com/app/chat?itemId=w67yng1xr76x"
"Alquiler trasteros en Bellreguard","https://es.wallapop.com/item/alquiler-trasteros-en-bellreguard-869217352","https://es.wallapop.com/app/chat?itemId=w67yng1k156x"
"Nike dunk low sp kentucky ","https://es.wallapop.com/item/nike-dunk-low-sp-kentucky-869217323","https://es.wallapop.com/app/chat?itemId=ejkkn9v5lrjx"
"Top Candela","https://es.wallapop.com/item/top-candela-869217322","https://es.wallapop.com/app/chat?itemId=8z84pgm2xr63"
"abrigo de piel ","https://es.wallapop.com/item/abrigo-de-piel-869217481","https://es.wallapop.com/app/chat?itemId=xzorwv5dvlz9"
"Vendo sofás piel búfalo gruesa , 3 y 2 plazas","https://es.wallapop.com/item/vendo-sofas-piel-bufalo-gruesa-3-y-2-plazas-869216462","https://es.wallapop.com/app/chat?itemId=4z412g7nnlzy"
"OPPO A9. ","https://es.wallapop.com/item/oppo-a9-869216813","https://es.wallapop.com/app/chat?itemId=pj950gox8mze"
"Samsung a13 64 GB azul ","https://es.wallapop.com/item/samsung-a13-64-gb-azul-869216809","https://es.wallapop.com/app/chat?itemId=xzorwv53elz9"
"Apple AirPods Pro","https://es.wallapop.com/item/apple-airpods-pro-869216807","https://es.wallapop.com/app/chat?itemId=p61ym7nkpx65"
"Extensiones de cabello Natural ","https://es.wallapop.com/item/extensiones-de-cabello-natural-869216758","https://es.wallapop.com/app/chat?itemId=8j3ekx05n7z9"
"Plancha de cabello a vapor Bellísima ","https://es.wallapop.com/item/plancha-de-cabello-a-vapor-bellisima-869216885","https://es.wallapop.com/app/chat?itemId=pj950govymze"
"Futbolín ","https://es.wallapop.com/item/futbolin-869216868","https://es.wallapop.com/app/chat?itemId=wzy5g73qlvj5"
"Peugeot Boxer 2002","https://es.wallapop.com/item/peugeot-boxer-2002-869216853","https://es.wallapop.com/app/chat?itemId=qjwpgdkqlkzo"
"surtidor agua acero inoxidable ","https://es.wallapop.com/item/surtidor-agua-acero-inoxidable-869216847","https://es.wallapop.com/app/chat?itemId=ejkkn9v52qjx"
