"Название товара","Ссылка на продавца","Ссылка на чат"
"All about Britain ","https://es.wallapop.com/item/all-about-britain-872750098","https://es.wallapop.com/app/chat?itemId=pzprxm3v1563"
"se vende, 2 rejillas delanteras BMW ","https://es.wallapop.com/item/se-vende-2-rejillas-delanteras-bmw-872750082","https://es.wallapop.com/app/chat?itemId=8j3eklo3y1z9"
"Mesa de cristal","https://es.wallapop.com/item/mesa-de-cristal-872750073","https://es.wallapop.com/app/chat?itemId=mzn87xm9l0zn"
"Kit Argentina Niños Tres Estrellas Messi ","https://es.wallapop.com/item/kit-argentina-ninos-tres-estrellas-872750903","https://es.wallapop.com/app/chat?itemId=nz001l19x7zo"
"Se venden 4 sillas","https://es.wallapop.com/item/se-venden-4-sillas-872750879","https://es.wallapop.com/app/chat?itemId=p61ymlm9dx65"
"God of war Ragknarok ","https://es.wallapop.com/item/god-of-war-ragknarok-872750636","https://es.wallapop.com/app/chat?itemId=9jd21r1dxl6k"
"carer la bisbal","https://es.wallapop.com/item/carer-la-bisbal-872750228","https://es.wallapop.com/app/chat?itemId=w67ynl9q7w6x"
"sombrilla de playa ","https://es.wallapop.com/item/sombrilla-de-playa-872750230","https://es.wallapop.com/app/chat?itemId=nzx0gpv3w1z2"
"Maquina de peluquería canina ","https://es.wallapop.com/item/maquina-de-peluqueria-canina-872750222","https://es.wallapop.com/app/chat?itemId=8z84pl9ywl63"
"Lotus 3 relojes","https://es.wallapop.com/item/lotus-3-relojes-872750155","https://es.wallapop.com/app/chat?itemId=p61yml1x4g65"
"guitarra de niño","https://es.wallapop.com/item/guitarra-de-nino-872750147","https://es.wallapop.com/app/chat?itemId=ejkkn0w18rjx"
"Libros higiene bucodental ","https://es.wallapop.com/item/libros-higiene-bucodental-872750145","https://es.wallapop.com/app/chat?itemId=3zl1p7xo8njx"
"Libro Fuenteovejuna de Lope de Vega","https://es.wallapop.com/item/libro-fuenteovejuna-de-lope-de-vega-872750126","https://es.wallapop.com/app/chat?itemId=pzprxm3vrm63"
"Piano de pared Doina.","https://es.wallapop.com/item/piano-de-pared-doina-872750119","https://es.wallapop.com/app/chat?itemId=vjrrm3vlr4jk"
"Libro Kant, crítica de la razón pura ","https://es.wallapop.com/item/libro-kant-critica-de-la-razon-pura-872750509","https://es.wallapop.com/app/chat?itemId=xzorw1oenwz9"
"Sofá terraza","https://es.wallapop.com/item/sofa-terraza-872750498","https://es.wallapop.com/app/chat?itemId=pzprxm3vp963"
"Elíptica ","https://es.wallapop.com/item/eliptica-872750497","https://es.wallapop.com/app/chat?itemId=mzn87xm95gzn"
"vendo equipo de música en perfecto estado ","https://es.wallapop.com/item/vendo-equipo-de-musica-en-perfecto-estado-872750415","https://es.wallapop.com/app/chat?itemId=36exmrgq4kzd"
"Nintendo Switch y juegos","https://es.wallapop.com/item/nintendo-switch-y-juegos-872750478","https://es.wallapop.com/app/chat?itemId=nzx0gpv32ez2"
"Jordan air 3 Georgetown size 38.5  ","https://es.wallapop.com/item/jordan-air-3-georgetown-size-38-5-872750455","https://es.wallapop.com/app/chat?itemId=p61yml1xw565"
"jol","https://es.wallapop.com/item/jol-872750053","https://es.wallapop.com/app/chat?itemId=qjwpgnvmegzo"
"Hoverboard","https://es.wallapop.com/item/hoverboard-872750038","https://es.wallapop.com/app/chat?itemId=4z412l3dowzy"
"Guantes de boxeo y cintas","https://es.wallapop.com/item/guantes-de-boxeo-y-cintas-872749954","https://es.wallapop.com/app/chat?itemId=nzx0gpv1omz2"
"zapatos de suguridas ","https://es.wallapop.com/item/zapatos-de-suguridas-872750941","https://es.wallapop.com/app/chat?itemId=wzvnd5d95djl"
"IPhone XR 128 GB","https://es.wallapop.com/item/iphone-xr-128-gb-872750937","https://es.wallapop.com/app/chat?itemId=pj950l0dlvze"
"5","https://es.wallapop.com/item/5-872750294","https://es.wallapop.com/app/chat?itemId=8z84pl9yel63"
"Piso en alquiler en Grau de Gandía","https://es.wallapop.com/item/piso-en-alquiler-en-grau-de-gandia-872750271","https://es.wallapop.com/app/chat?itemId=ejkkn0w1dqjx"
"Nevera Siemens ","https://es.wallapop.com/item/nevera-siemens-872750265","https://es.wallapop.com/app/chat?itemId=wzvnd5vxkqjl"
"cinta de correr eléctrica ","https://es.wallapop.com/item/cinta-de-correr-electrica-872750260","https://es.wallapop.com/app/chat?itemId=9jd21r4gm26k"
"Ordenador gamer, diseño y streamer","https://es.wallapop.com/item/ordenador-gamer-diseno-y-streamer-872750964","https://es.wallapop.com/app/chat?itemId=v6g23r3mqnze"
"Hacker todo tipo de redes ","https://es.wallapop.com/item/hacker-todo-tipo-de-redes-872750958","https://es.wallapop.com/app/chat?itemId=8j3eklkv98z9"
"Reformas, trabajos de todo tipo ","https://es.wallapop.com/item/reformas-trabajos-de-todo-tipo-872750386","https://es.wallapop.com/app/chat?itemId=4z412l3d4rzy"
"Bicicleta de Spinning Cecotec","https://es.wallapop.com/item/bicicleta-de-spinning-cecotec-872750388","https://es.wallapop.com/app/chat?itemId=v6g23rn8qnze"
"SOFÁ CHAISE LONGUE","https://es.wallapop.com/item/sofa-chaise-longue-872750367","https://es.wallapop.com/app/chat?itemId=vjrrm3vl38jk"
"Sofá salón extensible","https://es.wallapop.com/item/sofa-salon-extensible-872750355","https://es.wallapop.com/app/chat?itemId=p61yml1xl765"
"Reloj","https://es.wallapop.com/item/reloj-872750334","https://es.wallapop.com/app/chat?itemId=8j3eklo3k8z9"
"mancuernas 20 kilos como nuevas poco uso","https://es.wallapop.com/item/mancuernas-872750328","https://es.wallapop.com/app/chat?itemId=w67ynl9qn86x"
"peugeot","https://es.wallapop.com/item/peugeot-872750709","https://es.wallapop.com/app/chat?itemId=xzorw1wkr5z9"
"ropa en perfecto estado","https://es.wallapop.com/item/ropa-en-perfecto-estado-872750705","https://es.wallapop.com/app/chat?itemId=qjwpgnglpwzo"
"carnets conducir ","https://es.wallapop.com/item/carnets-conducir-872750694","https://es.wallapop.com/app/chat?itemId=8z84plpv4863"
"Emisor termico 1500W","https://es.wallapop.com/item/emisor-termico-1500w-872750592","https://es.wallapop.com/app/chat?itemId=wzy5g0geeej5"
"Piso en alquiler","https://es.wallapop.com/item/piso-en-alquiler-872750594","https://es.wallapop.com/app/chat?itemId=8z84plpvv163"
"Gorra Gucci","https://es.wallapop.com/item/gorra-gucci-872751037","https://es.wallapop.com/app/chat?itemId=pj950l0d90ze"
"maquina de coser Phoenix ","https://es.wallapop.com/item/maquina-de-coser-phoenix-872751019","https://es.wallapop.com/app/chat?itemId=vjrrm3my5wjk"
