"Название товара","Ссылка на продавца","Ссылка на чат"
"Chaqueta concurso ","https://es.wallapop.com/item/chaqueta-concurso-872165898","https://es.wallapop.com/app/chat?itemId=pzprx34on463"
"Nike Dunk panda ","https://es.wallapop.com/item/nike-dunk-panda-872165435","https://es.wallapop.com/app/chat?itemId=0j23okx2ye6y"
"Vestido de fiesta","https://es.wallapop.com/item/vestido-de-fiesta-872165393","https://es.wallapop.com/app/chat?itemId=3zl1px3we2jx"
"Vendo Kimono floreado ","https://es.wallapop.com/item/vendo-kimono-floreado-872165357","https://es.wallapop.com/app/chat?itemId=xzorwo9qe2z9"
"Vestido corto Pepaloves","https://es.wallapop.com/item/vestido-corto-pepaloves-872166310","https://es.wallapop.com/app/chat?itemId=8j3eko1wl7z9"
"pulsera pandora","https://es.wallapop.com/item/pulsera-pandora-872165559","https://es.wallapop.com/app/chat?itemId=0j23okx2nd6y"
"Chaqueta Quicksilver ","https://es.wallapop.com/item/chaqueta-quicksilver-872165521","https://es.wallapop.com/app/chat?itemId=3zl1px3wm4jx"
"mono de esquí niño 3 años","https://es.wallapop.com/item/mono-de-esqui-nino-3-anos-872166121","https://es.wallapop.com/app/chat?itemId=3zl1px3204jx"
"cazadora de plumas","https://es.wallapop.com/item/cazadora-de-plumas-872166077","https://es.wallapop.com/app/chat?itemId=qjwpgv0w44zo"
"Canadá zavetti parka ","https://es.wallapop.com/item/canada-zavetti-parka-872166004","https://es.wallapop.com/app/chat?itemId=w67yn92ody6x"
"bolsos","https://es.wallapop.com/item/bolsos-872165734","https://es.wallapop.com/app/chat?itemId=8j3eko1dl7z9"
"se vende vestido con chaqueta verde pistacho ","https://es.wallapop.com/item/se-vende-vestido-con-chaqueta-verde-pistacho-872165728","https://es.wallapop.com/app/chat?itemId=w67yn925l56x"
"vestido brillante ","https://es.wallapop.com/item/vestido-brillante-872165685","https://es.wallapop.com/app/chat?itemId=pj950q9pqoze"
