"Название товара","Ссылка на продавца","Ссылка на чат"
"zapato de tacón ","https://es.wallapop.com/item/zapato-de-tacon-873117642","https://es.wallapop.com/app/chat?itemId=x6qd1881mejy"
"Chaqueton","https://es.wallapop.com/item/chaqueton-873117582","https://es.wallapop.com/app/chat?itemId=8j3ek99kx8z9"
"vestido fiesta","https://es.wallapop.com/item/vestido-fiesta-873117571","https://es.wallapop.com/app/chat?itemId=ejkknqqn4yjx"
"tacones","https://es.wallapop.com/item/tacones-873117831","https://es.wallapop.com/app/chat?itemId=p61ym22mm265"
"Gafas y2K","https://es.wallapop.com/item/gafas-y2k-873117783","https://es.wallapop.com/app/chat?itemId=0j23oddoed6y"
"nike tn ","https://es.wallapop.com/item/nike-tn-873117736","https://es.wallapop.com/app/chat?itemId=9jd21qq1e96k"
"Vaqueros Carhartt","https://es.wallapop.com/item/vaqueros-carhartt-873117469","https://es.wallapop.com/app/chat?itemId=3zl1prrxvpjx"
"Calcetines de gatitos","https://es.wallapop.com/item/calcetines-de-gatitos-873117302","https://es.wallapop.com/app/chat?itemId=pzprxqq3qm63"
"chaleco plumifero lotto","https://es.wallapop.com/item/chaleco-plumifero-lotto-873117293","https://es.wallapop.com/app/chat?itemId=3zl1prrxr8jx"
"Adidas Forum Low Unisex ","https://es.wallapop.com/item/adidas-forum-low-unisex-873117283","https://es.wallapop.com/app/chat?itemId=0j23oddklv6y"
"sudadera","https://es.wallapop.com/item/sudadera-873117273","https://es.wallapop.com/app/chat?itemId=mzn87qqmx0zn"
"gafas versace medusa unisex","https://es.wallapop.com/item/gafas-versace-medusa-873117176","https://es.wallapop.com/app/chat?itemId=w67ynpp9r76x"
"Nike dunk low panda","https://es.wallapop.com/item/nike-dunk-low-panda-873117132","https://es.wallapop.com/app/chat?itemId=qzmy0881o1zv"
