"Название товара","Ссылка на продавца","Ссылка на чат"
"Mi Band 6","https://es.wallapop.com/item/mi-band-6-868600346","https://es.wallapop.com/app/chat?itemId=8z84p1vd3163"
"Luces led con mando","https://es.wallapop.com/item/luces-led-con-mando-868599490","https://es.wallapop.com/app/chat?itemId=x6qd1ylgmnjy"
"ordenador gaming","https://es.wallapop.com/item/ordenador-gaming-868599411","https://es.wallapop.com/app/chat?itemId=0j23oy97yr6y"
"tira de luces LED rgb ","https://es.wallapop.com/item/tira-de-luces-led-rgb-868598931","https://es.wallapop.com/app/chat?itemId=p61ymo938765"
"Cargador Toshiba PA 3755E-1AC3 ","https://es.wallapop.com/item/cargador-toshiba-pa-3755e-1ac3-868598916","https://es.wallapop.com/app/chat?itemId=v6g234m5gnze"
"Portatil","https://es.wallapop.com/item/portatil-868594387","https://es.wallapop.com/app/chat?itemId=36exmw9ppyzd"
"Ps4 Slim 1TB","https://es.wallapop.com/item/ps4-slim-1tb-868593846","https://es.wallapop.com/app/chat?itemId=8z84p1v5r863"
"Monitor view sonic","https://es.wallapop.com/item/monitor-view-sonic-868598522","https://es.wallapop.com/app/chat?itemId=8z84p1v0p163"
"Vendo Impresora con WIFI","https://es.wallapop.com/item/vendo-impresora-con-wifi-868597236","https://es.wallapop.com/app/chat?itemId=9jd217d1846k"
"Caja registradora, ordenador TPV","https://es.wallapop.com/item/caja-registradora-ordenador-tpv-868596201","https://es.wallapop.com/app/chat?itemId=mzn87l4pm0zn"
"Ordenador/PC portátil Lenovo ","https://es.wallapop.com/item/ordenador-lenovo-868592933","https://es.wallapop.com/app/chat?itemId=xzorw8k2n2z9"
"CASCOS PARA PC","https://es.wallapop.com/item/cascos-para-pc-868592908","https://es.wallapop.com/app/chat?itemId=qzmy04ge5yzv"
"Reloj Tactil","https://es.wallapop.com/item/reloj-tactil-868592005","https://es.wallapop.com/app/chat?itemId=qjwpgylp4gzo"
"Teclado mecánico 60% ","https://es.wallapop.com/item/teclado-mecanico-60-868591761","https://es.wallapop.com/app/chat?itemId=pj950ydgwvze"
"Logitech G29 + Pedales ","https://es.wallapop.com/item/logitech-g29---pedales-868595835","https://es.wallapop.com/app/chat?itemId=0j23oy9gpr6y"
"pantalla ordenador mesa","https://es.wallapop.com/item/pantalla-ordenador-mesa-868595767","https://es.wallapop.com/app/chat?itemId=vjrrmdypg4jk"
"acer","https://es.wallapop.com/item/acer-868595686","https://es.wallapop.com/app/chat?itemId=4z412vorlwzy"
"MacBook 16"" 522gb 16g ram m1pro  (después 2021)","https://es.wallapop.com/item/macbook-16-522gb-16g-ram-m1pro-2021-868595332","https://es.wallapop.com/app/chat?itemId=qzmy04gvgyzv"
"hoverboard","https://es.wallapop.com/item/hoverboard-868594443","https://es.wallapop.com/app/chat?itemId=vjrrmdyox9jk"
