"Название товара","Ссылка на продавца","Ссылка на чат"
"Mesa hierro forjado","https://es.wallapop.com/item/mesa-hierro-forjado-868982091","https://es.wallapop.com/app/chat?itemId=vjrrm9r1x9jk"
"Purificador Dyson Pure Cool","https://es.wallapop.com/item/purificador-dyson-pure-cool-868980775","https://es.wallapop.com/app/chat?itemId=nz001v0r0rzo"
"mueble de salón  ","https://es.wallapop.com/item/mueble-de-salon-868980050","https://es.wallapop.com/app/chat?itemId=pzprx1r2l963"
"Mesa salon Italiano","https://es.wallapop.com/item/mesa-salon-italiano-868978445","https://es.wallapop.com/app/chat?itemId=3zl1p91998jx"
"Salón Marroquí ","https://es.wallapop.com/item/salon-marroqui-868985835","https://es.wallapop.com/app/chat?itemId=0j23or3dmr6y"
"Tazas porcelana Royal Albert","https://es.wallapop.com/item/tazas-porcelana-royal-albert-868993358","https://es.wallapop.com/app/chat?itemId=8j3ekx44vlz9"
"Muebles de Cocina","https://es.wallapop.com/item/muebles-de-cocina-868992282","https://es.wallapop.com/app/chat?itemId=8j3ekx4xx1z9"
"Vitrina","https://es.wallapop.com/item/vitrina-868988165","https://es.wallapop.com/app/chat?itemId=wzvndlnm94jl"
"Muebles de almacenaje salón / cocina ","https://es.wallapop.com/item/muebles-de-almacenaje-salon-cocina-868972522","https://es.wallapop.com/app/chat?itemId=8z84pggnxr63"
"Dormitorio ","https://es.wallapop.com/item/dormitorio-868971700","https://es.wallapop.com/app/chat?itemId=e65gd335rgjo"
"Preciosa lámpara antigua de cristal","https://es.wallapop.com/item/preciosa-lampara-antigua-de-cristal-868971390","https://es.wallapop.com/app/chat?itemId=x6qd199opqjy"
"CAMA LITERA TIPO TREN","https://es.wallapop.com/item/cama-litera-tipo-tren-868971091","https://es.wallapop.com/app/chat?itemId=vjrrm993owjk"
"DORMITORIO JUVENIL","https://es.wallapop.com/item/dormitorio-juvenil-868970889","https://es.wallapop.com/app/chat?itemId=wzvndll59qjl"
"ARMARIOS VICTORIANO WELLINGTON ","https://es.wallapop.com/item/armarios-victoriano-wellington-868970686","https://es.wallapop.com/app/chat?itemId=4z412gg24wzy"
"Sofa chaise longue","https://es.wallapop.com/item/sofa-chaise-longue-868968941","https://es.wallapop.com/app/chat?itemId=wzvndllk84jl"
"Estufa de leña","https://es.wallapop.com/item/estufa-de-lena-868967288","https://es.wallapop.com/app/chat?itemId=v6g2311ow7ze"
"antigüedades ","https://es.wallapop.com/item/antiguedades-868997908","https://es.wallapop.com/app/chat?itemId=qzmy03e1qyzv"
"acuario eheim 240 litros","https://es.wallapop.com/item/acuario-eheim-240-litros-868996818","https://es.wallapop.com/app/chat?itemId=x6qd19mwlejy"
"Sofá reclinable 2 plazas seminuevo","https://es.wallapop.com/item/sofa-reclinable-2-plazas-seminuevo-868994738","https://es.wallapop.com/app/chat?itemId=4z412ge0rvzy"
"sofá","https://es.wallapop.com/item/sofa-868993683","https://es.wallapop.com/app/chat?itemId=0j23or44lr6y"
