"Название товара","Ссылка на продавца","Ссылка на чат"
"MacBook Air 13"" (2020) QWERTY - With Magic Mouse 2","https://es.wallapop.com/item/macbook-air-13-2020-qwerty-with-magic-mouse-872075690","https://es.wallapop.com/app/chat?itemId=x6qd122dvyjy"
"Surface laptop 4 Core i7","https://es.wallapop.com/item/surface-laptop-4-core-i7-872075905","https://es.wallapop.com/app/chat?itemId=qjwpgvvp5ezo"
"DOS SOFÁ DE TRES PLAZAS CADA UNO","https://es.wallapop.com/item/dos-sofa-de-tres-plazas-cada-uno-872075883","https://es.wallapop.com/app/chat?itemId=0j23okk3dr6y"
"Technics turntable SL-1210MK2 ","https://es.wallapop.com/item/technics-turntable-sl-1210mk2-872076109","https://es.wallapop.com/app/chat?itemId=xzorwoo2kwz9"
"Cuadros flores relieve","https://es.wallapop.com/item/cuadros-flores-relieve-872076102","https://es.wallapop.com/app/chat?itemId=pzprx3328k63"
"Escritorio Ikea LINNMON + 2 patas NÄRSPEL","https://es.wallapop.com/item/escritorio-ikea-linnmon---2-patas-narspel-872076097","https://es.wallapop.com/app/chat?itemId=mzn87mm24gzn"
"Cubre Colchon - topper 90x190","https://es.wallapop.com/item/cubre-colchon-topper-90x190-872075463","https://es.wallapop.com/app/chat?itemId=36exmggn2kzd"
"PSP STREET PRACTICAMENTE NUEVA ","https://es.wallapop.com/item/psp-street-practicamente-nueva-872075453","https://es.wallapop.com/app/chat?itemId=qjwpgvvdk4zo"
"CHICO GUAPO CN MIEMBRO DE 30 CM","https://es.wallapop.com/item/chico-guapo-cn-miembro-de-30-cm-872075839","https://es.wallapop.com/app/chat?itemId=36exmggxm8zd"
"Botas negras","https://es.wallapop.com/item/botas-negras-872076072","https://es.wallapop.com/app/chat?itemId=e65gd22g4mjo"
"Scalextric","https://es.wallapop.com/item/scalextric-872076285","https://es.wallapop.com/app/chat?itemId=pj950qqmnoze"
"Cabecero para cama de madera","https://es.wallapop.com/item/cabecero-para-cama-de-madera-872076275","https://es.wallapop.com/app/chat?itemId=nz001xx4rdzo"
"se vende bmx como Nueva","https://es.wallapop.com/item/se-vende-bmx-como-nueva-872075450","https://es.wallapop.com/app/chat?itemId=pzprx331n963"
"Cuenta de Epic Games de 173 juegos.","https://es.wallapop.com/item/cuenta-de-epic-games-de-173-juegos-872075435","https://es.wallapop.com/app/chat?itemId=0j23okkr5e6y"
"accesorios de baño","https://es.wallapop.com/item/accesorios-de-bano-872076232","https://es.wallapop.com/app/chat?itemId=qzmy011eexzv"
"Pack 6 libros niños","https://es.wallapop.com/item/pack-6-libros-ninos-872076009","https://es.wallapop.com/app/chat?itemId=xzorwoorn7z9"
"Pantalones Nike De La NBA sin estrenar.","https://es.wallapop.com/item/pantalones-nike-de-la-nba-sin-estrenar-872075934","https://es.wallapop.com/app/chat?itemId=8j3ekooew8z9"
"Mac Book Pro 15.4' 2014 Intel i7","https://es.wallapop.com/item/mac-book-pro-15-4-2014-intel-i7-872076168","https://es.wallapop.com/app/chat?itemId=wzy5gvv47ej5"
"Cama alta Casual 140x190","https://es.wallapop.com/item/cama-alta-casual-140x190-872075766","https://es.wallapop.com/app/chat?itemId=x6qd122dnqjy"
"Paleta Naked 2 de Urban Decay ","https://es.wallapop.com/item/paleta-naked-2-de-urban-decay-872076027","https://es.wallapop.com/app/chat?itemId=nz001xx05vzo"
"Servicio de mudanza y transporte","https://es.wallapop.com/item/servicio-de-mudanza-y-transporte-872075711","https://es.wallapop.com/app/chat?itemId=0j23okk3nm6y"
"DISCO DURO EXTERNO WESTERN DIGITAL MY PASSPORT 2TB","https://es.wallapop.com/item/disco-duro-externo-western-digital-my-passport-2tb-872075796","https://es.wallapop.com/app/chat?itemId=e65gd22ge2jo"
"iPhone XS 512gb negociable (Acepto cambio)","https://es.wallapop.com/item/iphone-xs-512gb-negociable-acepto-cambio-872075519","https://es.wallapop.com/app/chat?itemId=vjrrmvv9lljk"
