"Название товара","Ссылка на продавца","Ссылка на чат"
"tennis Barbie para niña","https://es.wallapop.com/item/tennis-barbie-para-nina-870797618","https://es.wallapop.com/app/chat?itemId=x6qd148gnyjy"
"Sudadera hombre ","https://es.wallapop.com/item/sudadera-hombre-870797826","https://es.wallapop.com/app/chat?itemId=pzprxgqe4463"
"Zapatillas Múnich ","https://es.wallapop.com/item/zapatillas-munich-870797827","https://es.wallapop.com/app/chat?itemId=nz001w3pkezo"
"Zapatillas/Playeras Lacoste Chico Blancas Running","https://es.wallapop.com/item/zapatillas-playeras-lacoste-chico-blancas-running-870797778","https://es.wallapop.com/app/chat?itemId=nzx0gw8xn7z2"
"blusa de flores ","https://es.wallapop.com/item/blusa-de-flores-870797727","https://es.wallapop.com/app/chat?itemId=nz001w3pl3zo"
"conjuntos de monedero y neceser","https://es.wallapop.com/item/conjuntos-de-monedero-y-neceser-870797729","https://es.wallapop.com/app/chat?itemId=qjwpg78wnwzo"
"bueno ","https://es.wallapop.com/item/bueno-870796735","https://es.wallapop.com/app/chat?itemId=0j23o1ddpn6y"
"Polos","https://es.wallapop.com/item/polos-870796959","https://es.wallapop.com/app/chat?itemId=0j23o1d28d6y"
"Botas Jack n Jones talle EU 42","https://es.wallapop.com/item/botas-jack-n-jones-talle-eu-42-870796836","https://es.wallapop.com/app/chat?itemId=9jd21nq9x46k"
"...","https://es.wallapop.com/item/-870796805","https://es.wallapop.com/app/chat?itemId=qjwpg785l4zo"
"bolso Blanco ","https://es.wallapop.com/item/bolso-blanco-870797415","https://es.wallapop.com/app/chat?itemId=36exmpk7dkzd"
