"Название товара","Ссылка на продавца","Ссылка на чат"
"Sofá de tres plazas","https://es.wallapop.com/item/sofa-de-tres-plazas-869012580","https://es.wallapop.com/app/chat?itemId=qzmy03mwp1zv"
"TD sistems 40 pulgadas","https://es.wallapop.com/item/td-sistems-40-pulgadas-869013942","https://es.wallapop.com/app/chat?itemId=x6qd19q3eqjy"
"productos para bebes, tengo bañera mueble, etc","https://es.wallapop.com/item/productos-para-bebes-tengo-banera-mueble-etc-869013392","https://es.wallapop.com/app/chat?itemId=wzy5g7r8kxj5"
"pañuelo de valentino","https://es.wallapop.com/item/panuelo-de-valentino-869013375","https://es.wallapop.com/app/chat?itemId=nz001v83k3zo"
"BICICLETA ELECTRICA CUBE REACTION HYBRID SL","https://es.wallapop.com/item/bicicleta-electrica-cube-reaction-hybrid-sl-869013371","https://es.wallapop.com/app/chat?itemId=ejkkn9mqorjx"
"Venta de DVD's.","https://es.wallapop.com/item/venta-de-dvd-s-869014007","https://es.wallapop.com/app/chat?itemId=p61ym783rx65"
"moto bateria ","https://es.wallapop.com/item/moto-bateria-869012742","https://es.wallapop.com/app/chat?itemId=x6qd19qo3qjy"
"Mesa Salon","https://es.wallapop.com/item/mesa-salon-869012740","https://es.wallapop.com/app/chat?itemId=v6g231pr52ze"
"plazas de garage","https://es.wallapop.com/item/plazas-de-garage-869012730","https://es.wallapop.com/app/chat?itemId=nzx0gyep87z2"
"bicicleta","https://es.wallapop.com/item/bicicleta-869012402","https://es.wallapop.com/app/chat?itemId=pzprx1km9963"
"Volkswagen Polo 2006","https://es.wallapop.com/item/volkswagen-polo-2006-869014059","https://es.wallapop.com/app/chat?itemId=0j23or82mr6y"
"canapé y colchon ","https://es.wallapop.com/item/canape-y-colchon-869013472","https://es.wallapop.com/app/chat?itemId=e65gd3q5xkjo"
"MacBook Air 2015 i7, 500Gb, BARATO","https://es.wallapop.com/item/macbook-air-2015-i7-500gb-barato-869013980","https://es.wallapop.com/app/chat?itemId=qzmy03mx5lzv"
"Piano digital clave","https://es.wallapop.com/item/piano-digital-clave-869013974","https://es.wallapop.com/app/chat?itemId=pzprx1ko0m63"
"firrucaril elictrico ","https://es.wallapop.com/item/firrucaril-elictrico-869013734","https://es.wallapop.com/app/chat?itemId=8j3ekx8drlz9"
"muebles de jardín ","https://es.wallapop.com/item/muebles-de-jardin-869013747","https://es.wallapop.com/app/chat?itemId=ejkkn9m7d9jx"
"3 colchones ortopédicos","https://es.wallapop.com/item/3-colchones-ortopedicos-869013596","https://es.wallapop.com/app/chat?itemId=e65gd3qk30jo"
"Impresora Cannon","https://es.wallapop.com/item/impresora-cannon-869013588","https://es.wallapop.com/app/chat?itemId=v6g231p51nze"
"Mesa escritorio","https://es.wallapop.com/item/mesa-escritorio-869013802","https://es.wallapop.com/app/chat?itemId=pzprx1ko3563"
"album Panini LaLiga 2016-2017","https://es.wallapop.com/item/album-panini-laliga-2016-2017-869013804","https://es.wallapop.com/app/chat?itemId=w67yngv5996x"
