"Название товара","Ссылка на продавца","Ссылка на чат"
"Anillo solitario de oro blanco con diamante","https://es.wallapop.com/item/anillo-solitario-de-oro-blanco-con-diamante-869555893","https://es.wallapop.com/app/chat?itemId=3zl1p1qqrpjx"
"rueda de fango antigua","https://es.wallapop.com/item/rueda-de-fango-antigua-869553159","https://es.wallapop.com/app/chat?itemId=0j23o3p2pd6y"
"GoPro 11 hero MINI","https://es.wallapop.com/item/gopro-11-hero-mini-869553144","https://es.wallapop.com/app/chat?itemId=wzy5g53p3ej5"
"5 pesetas 1957*58","https://es.wallapop.com/item/5-pesetas-1957-58-869554006","https://es.wallapop.com/app/chat?itemId=nzx0g0o7w1z2"
"TV SMART HAIER 32 PULGADAS","https://es.wallapop.com/item/tv-smart-haier-32-pulgadas-869553865","https://es.wallapop.com/app/chat?itemId=wzvndn1plrjl"
"Bicicleta MTB KTM 29""","https://es.wallapop.com/item/bicicleta-mtb-ktm-29-869553854","https://es.wallapop.com/app/chat?itemId=nzx0g0o75pz2"
"Faros hella originales golf mk3","https://es.wallapop.com/item/faros-hella-originales-golf-mk3-869550793","https://es.wallapop.com/app/chat?itemId=3zl1p1qxy4jx"
"Ordenador portátil Lenovo Ideapad 3 8GB/512GB","https://es.wallapop.com/item/ordenador-portatil-lenovo-ideapad-3-8gb-512gb-869551450","https://es.wallapop.com/app/chat?itemId=pzprxrnxl563"
"pack Nu skin galvanic,galvanic bodi spa y lumispa","https://es.wallapop.com/item/pack-nu-skin-galvanic-galvanic-bodi-spa-y-lumispa-869551386","https://es.wallapop.com/app/chat?itemId=4z4121725mzy"
"Sofa","https://es.wallapop.com/item/sofa-869552944","https://es.wallapop.com/app/chat?itemId=wzy5g53pvpj5"
"2 sofas ikea modelo KLIPPAN ","https://es.wallapop.com/item/2-sofas-ikea-modelo-klippan-869554391","https://es.wallapop.com/app/chat?itemId=vjrrmr0wyljk"
"HONOR X8  DE 128 GIGAS","https://es.wallapop.com/item/honor-x8-de-128-gigas-869554356","https://es.wallapop.com/app/chat?itemId=qzmy0yrk21zv"
"Colchón y base cama","https://es.wallapop.com/item/colchon-y-base-cama-869555627","https://es.wallapop.com/app/chat?itemId=nz0010550dzo"
"Mesa de comedor con 4 sillas.","https://es.wallapop.com/item/mesa-de-comedor-con-4-sillas-869555588","https://es.wallapop.com/app/chat?itemId=v6g232994lze"
"conjunto de mesa","https://es.wallapop.com/item/conjunto-de-mesa-869555483","https://es.wallapop.com/app/chat?itemId=0j23o3p50e6y"
"Asiento simulador racing corsa de cuero","https://es.wallapop.com/item/asiento-simulador-racing-corsa-de-cuero-869555461","https://es.wallapop.com/app/chat?itemId=pj9505o1o0ze"
"Mobiliario para dormitorio","https://es.wallapop.com/item/mobiliario-para-dormitorio-869555054","https://es.wallapop.com/app/chat?itemId=nzx0g0ok0pz2"
"Estructura, Pérgola, terraza.","https://es.wallapop.com/item/estructura-pergola-terraza-869554991","https://es.wallapop.com/app/chat?itemId=vjrrmr07kljk"
"Comedor completo","https://es.wallapop.com/item/comedor-completo-869554892","https://es.wallapop.com/app/chat?itemId=wzy5g53k32j5"
"mascaras de madera traidas desde egipto","https://es.wallapop.com/item/mascaras-de-madera-traidas-desde-egipto-869554867","https://es.wallapop.com/app/chat?itemId=vjrrmr0w7wjk"
"Bicicleta MTB Rockrider 5.3","https://es.wallapop.com/item/bicicleta-mtb-rockrider-5-3-869554743","https://es.wallapop.com/app/chat?itemId=vjrrmr0w88jk"
"Patinete electrico","https://es.wallapop.com/item/patinete-electrico-869554729","https://es.wallapop.com/app/chat?itemId=qjwpgpk38ezo"
"Terrario de PVC","https://es.wallapop.com/item/terrario-de-pvc-869554732","https://es.wallapop.com/app/chat?itemId=qzmy0yr58yzv"
"PlayStation 4","https://es.wallapop.com/item/playstation-4-869554563","https://es.wallapop.com/app/chat?itemId=36exmx2ypnzd"
"se vende Tcl30 se","https://es.wallapop.com/item/se-vende-tcl30-se-869554514","https://es.wallapop.com/app/chat?itemId=4z4121758vzy"
"patine eléctrico ","https://es.wallapop.com/item/patine-electrico-869549756","https://es.wallapop.com/app/chat?itemId=qzmy0yrv2lzv"
